"Name","Company","State","City","Salary","Location","Url"
"Product Engineer I","AeroVironment","CA","Simi Valley","$69k-$95k","Simi Valley, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=239507&s=149&guid=0000016e3f9e9227bcf5f88f32e43077&src=GD_JOB_AD&t=SRFJ&extid=4&exst=O&ist=L&ast=OL&vt=w&slr=true&cs=1_80df99ee&cb=1573025388745&jobListingId=3320362447"
"Software Engineer - University Graduate","PayPal","CA","San Jose","$109k-$156k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=566208&s=149&guid=0000016e3f9e9227bcf5f88f32e43077&src=GD_JOB_AD&t=SRFJ&extid=4&exst=O&ist=L&ast=OL&vt=w&slr=true&cs=1_97460b12&cb=1573025388746&jobListingId=3372861912"
"Project Engineer","LangCo NW, Inc.","WA","Oak Harbor","","Oak Harbor, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=812552&s=58&guid=0000016e3f9e9227a5a3160616f436fb&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&ea=1&cs=1_e9969fbb&cb=1573025388747&jobListingId=3408558976"
"Head of Engineering","Jovio","TX","Austin","$120k-$150k","Austin, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=811932&s=58&guid=0000016e3f9e9227a5a3160616f436fb&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&ea=1&cs=1_d66334e4&cb=1573025388748&jobListingId=3408108617"
"Senior Hardware Engineer","Scale Computing","IN","Indianapolis","","Indianapolis, IN","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=811917&s=58&guid=0000016e3f9e9227a5a3160616f436fb&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&ea=1&cs=1_f6344c7a&cb=1573025388749&jobListingId=3408095215"
"Senior Full Stack Software Engineer","Nines","CA","Palo Alto","$170k-$200k","Palo Alto, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=809029&s=58&guid=0000016e3f9e9227a5a3160616f436fb&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&ea=1&cs=1_e742d6dd&cb=1573025388750&jobListingId=3402516252"
"Project Engineer","Eng., Inc.","MI","Lansing","","Lansing, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=752219&s=58&guid=0000016e3f9e9227a5a3160616f436fb&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&ea=1&cs=1_71832b58&cb=1573025388751&jobListingId=3322724352"
"Field Engineer","ITC Defense","TX","Fort Bliss","","Fort Bliss, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=810113&s=58&guid=0000016e3f9e9227a5a3160616f436fb&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&ea=1&cs=1_896c08f6&cb=1573025388752&jobListingId=3374401040"
"Manufacturing Engineer","Avalign Thortex","OR","Portland","","Portland, OR","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=753910&s=58&guid=0000016e3f9e9227a5a3160616f436fb&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&ea=1&cs=1_07f1445b&cb=1573025388752&jobListingId=3400484667"
"Sr. Traffic and Signals Transportation Engineer","John Davenport Engineering","NC","Winston-Salem","","Winston-Salem, NC","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=796197&s=58&guid=0000016e3f9e9227a5a3160616f436fb&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&ea=1&cs=1_a9b0f294&cb=1573025388753&jobListingId=3408331737"
"Engineering Records Admin","ARB Midstream","CO","Denver","","Denver, CO","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=791254&s=58&guid=0000016e3f9e9227a5a3160616f436fb&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&ea=1&cs=1_912e4670&cb=1573025388754&jobListingId=3379232980"
"Manufacturing Engineer","Universal Laser Systems","AZ","Scottsdale","","Scottsdale, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=664436&s=58&guid=0000016e3f9e9227a5a3160616f436fb&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&ea=1&cs=1_3c744279&cb=1573025388755&jobListingId=3408571688"
"Microsoft Engineer","Business Technology Professionals, Inc.","NY","Buffalo","$45k-$65k","Buffalo, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=715473&s=58&guid=0000016e3f9e9227a5a3160616f436fb&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&ea=1&cs=1_01f02063&cb=1573025388756&jobListingId=3111121351"
