date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Tue Nov 12 2019 07:30:14 GMT-0800 (Pacific Standard Time), Product Manager,"Austin, TX",Current Employee ,Best company i've worked for,I have been working at Adobe full-time for more than a year,," The company has fantastic work/life balance and gives you a lot of autonomy. If you want to work from home, they're cool with it. If you want to work in the office, they're cool with it. 

- The company genuinely values employees, they want to retain people and will absolutely let you move teams/products/office locations/cities to keep your experience and knowledge in the company rather than watching you walk out. 

- Shantanu 

- Sr mgmt is good, they have experience in the space and have the people management chops to make working easier/enjoyable 

- They have a clear strategy & vision thats guiding their product investments and they communicate it regularly"," It's gets a little crunch-y leading up to product launches or big announcements, but thats kind of expected

- Adobe is a company built on acquisitions, and while the business strategy is usually rock solid, sometimes the comms isn't. It's tough to get any insight about what other business units are doing unless leadership gives a super high level read out during an all hands or there's a specific task that requires collaboration. 

- Some decisions are made from a bit too far up the org chart, things can get a bit ""top heavy"" at times",Find ways to share even higher level info about what other business units are doing and disseminate info across the product silos.,5.0,5.0,5.0,5.0,5.0,5.0
Tue Nov 05 2019 10:40:37 GMT-0800 (Pacific Standard Time), Senior Computer Scientist,"San Francisco, CA",Former Employee ,A great place to work!,I worked at Adobe full-time for more than 10 years,,Very creative & innovative place full of technically sound people. Work environment is really good & they take good care of employees.,Compensation is a bit low when compared to other companies in the area.,,5.0,5.0,5.0,4.0,3.0,4.0
Mon Nov 04 2019 11:16:57 GMT-0800 (Pacific Standard Time), Marketing Manager,"San Jose, CA",Current Employee ,An Amazing Employer That Wants To Help You Grow,I have been working at Adobe full-time for less than a year,,"A lot of companies expect you to just sit, put your head down, work for 8 hours, and go home. This is NOT that place. Adobe prides itself on its company culture and it shows tremendously through the leadership, its people, and its dedication to innovation. Some cool things about Adobe off the bat: they have a learning fund that encourages you to take classes, go back to school, or even go to conferences to help you develop in your career. There are a lot of on-site events for holidays, volunteer opportunities, and more so there is always something cool going on. Of course the wellness center is pretty awesome (and there are fitness classes you can take), and the food is pretty on point. 

One major thing that has been a refresher is that Adobe and the people who work here really put an emphasis on constructive and positive feedback: everyone here wants you to succeed. That energy carries throughout the workplace. You also feel very empowered to to help others as well, which creates this community and continuous cycle of trust, positivity, and communication. 

I will say this: Adobe is not for the faint of heart. ""Good enough"" isn't enough here. If you're okay with that, and you're an individual who likes to thrive, push, and succeed, then you will fit in just fine. There will be days where you will be putting in your time, and you'll have a 10 hour day. There are some days where you might leave a little early. What I will say is that you WILL take pride in the work you do, and nothing here is meaningless, at least in my opinion.","A work from home option would be nice, but I can also understand why they'd want people in office as it can be very hard to foster a work culture if employees are remote.",Keep doing what you're doing and continue to push the company culture! #AdobeLife,5.0,5.0,5.0,5.0,5.0,5.0
Thu Oct 24 2019 10:25:00 GMT-0700 (Pacific Daylight Time), Javascript Developer,"New York, NY",Current Employee ,Great Company,I have been working at Adobe full-time for more than 3 years,,"Good benefits, good work/life balanace",Not as remote friendly as they could be,,5.0,5.0,5.0,5.0,5.0,5.0
Fri Nov 01 2019 16:02:27 GMT-0700 (Pacific Daylight Time), Commercial Account Executive,"Denver, CO",Current Employee ,Marketo Low Salary,I have been working at Adobe full-time for more than a year,1,"Great co-workers, good product, great work-life balance","ok management, bad pay, bad communication",,3.0,5.0,4.0,3.0,2.0,3.0
Sat Nov 02 2019 05:00:03 GMT-0700 (Pacific Daylight Time)," Manager, Customer Success","Washington, DC",Former Employee ,Amazingly well run company,I worked at Adobe full-time for more than 5 years,,"Superb executive leadership team, strong product portfolio, great benefits",Work/life balance not always balanced.,,4.0,2.0,4.0,3.0,5.0,5.0
Thu Oct 24 2019 16:23:42 GMT-0700 (Pacific Daylight Time), Software Engineer,"San Jose, CA",Current Employee ,Great place to work!,I have been working at Adobe full-time for more than a year,,"Great culture and people.
Flexible work.
Seems to genuinely care about diversity and social efforts.","Communication can be off at times between different departments (product management, design, engineering).",,4.0,4.0,5.0,4.0,4.0,3.0
Tue Oct 08 2019 21:33:23 GMT-0700 (Pacific Daylight Time), Software Engineer,"South San Francisco, CA",Current Employee ,short title for your review,I have been working at Adobe full-time for more than 3 years,,"Very good company, going to stay here for a while",Very good benefits and friendly team,,5.0,5.0,5.0,5.0,5.0,5.0
Wed Oct 09 2019 02:53:05 GMT-0700 (Pacific Daylight Time), Senior Systems Engineer,"San Mateo, CA",Current Employee ,Growing (and profitable) cloud company,I have been working at Adobe full-time for more than a year,,"Legacy software company that successfully has moved into the cloud (like Microsoft)
Company has a great culture, excellent benefits, and is competitive for compensation.
Company has significant growth, is moving into the B2B enterprise cloud software space (Magento/Marketo), and is profitable (unlike many other cloud companies)
SF and SJ locations","Company is a large enterprise and as such has some of the issues you would expect
Company acquisitions can be somewhat difficult when part of a company being acquired",,5.0,5.0,5.0,5.0,5.0,4.0
Sat Nov 09 2019 18:36:26 GMT-0800 (Pacific Standard Time), Globalization Software Engineer,"San Jose, CA",Former Employee ,Really bad,I worked at Adobe full-time for more than a year,,The Cons really makes the Pros disappear.,The manager completely changed the process of hiring in the middle of interview. Imaging you were working for them by giving them a part of your career.,No integrity. No bottom line.,1.0,1.0,1.0,1.0,1.0,1.0
Wed Oct 16 2019 13:10:33 GMT-0700 (Pacific Daylight Time), Account Manager,"Chicago, IL",Current Employee ,"Great benefits, moves extremely slow",I have been working at Adobe full-time for more than 3 years,,"Adobe has great work life balance, maternity/paternity leave, employee stock programs, and PTO.","With all of these great benefits people stay a long time, which leads to decreased opportunities for advancement. Lots of people coasting in middle management.",,4.0,5.0,4.0,3.0,5.0,3.0
Mon Oct 07 2019 21:31:10 GMT-0700 (Pacific Daylight Time), Operations Analyst,"Lehi, UT",Former Employee ,"Hit and Miss on the specific teams, but Great Company",I worked at Adobe full-time for more than a year,," Competitive wages
- Outstanding benefits package
- Interesting and engaging work"," Workloads are extremely unevenly distributed, and if you wind up on a team that does not have a good balance it is EXTREMELY tough to transition away internally",Be more involved in balancing workloads across teams so some teams aren't pulling 60+ hour weeks while other teams just have to show up and collect a paycheck,4.0,2.0,3.0,4.0,5.0,3.0
Sun Sep 15 2019 21:47:39 GMT-0700 (Pacific Daylight Time), Software Engineer,"San Jose, CA",Current Employee ,Great company with plenty of beenfits,I have been working at Adobe full-time for more than a year,2,"Unlimited PTO, Wellness benefits, Gym and multi cuisine cafes",Not great career advancement for engineers,,5.0,4.0,5.0,4.0,4.0,3.0
Sat Sep 14 2019 04:41:07 GMT-0700 (Pacific Daylight Time), Senior Manager,"Lehi, UT",Current Employee ,Adobe,I have been working at Adobe full-time for more than 5 years,2,"Great benefits
Great maternity/ paternity leave
Summer and winter NA shutdowns","Limited growth since no one leaves
Adobe functions on collaboration which delays project significantly",,5.0,5.0,5.0,3.0,5.0,5.0
Wed Oct 02 2019 17:37:57 GMT-0700 (Pacific Daylight Time), Senior Software Engineer,"San Jose, CA",Current Employee ,Good company.,I have been working at Adobe full-time for more than a year,,Innovative and successful company with good benefits.,Can be hard to get flexible schedule.,,4.0,5.0,3.0,2.0,4.0,5.0
Mon Sep 23 2019 14:39:33 GMT-0700 (Pacific Daylight Time), Project Lead,"San Jose, CA",Current Employee ,Good,I have been working at Adobe full-time for more than a year,1,Good Work-life balance if you are thinking of personal time.,"Low pay, not enough room for salary hike.",,4.0,5.0,3.0,4.0,3.0,3.0
Wed Sep 25 2019 04:18:48 GMT-0700 (Pacific Daylight Time), Account Executive,"Raleigh, IL",Current Employee ,Some things good; some things bad,I have been working at Adobe full-time for more than 8 years,,"Benefits
Time off for illness, pregnancy, vacation
sabbatical after 5 years",Extreme pressure to close deals makes for sloppy contracts that can be problematic in subsequent years,Put less pressure on reps to close bad potentially bad business,4.0,,,,,
Mon Sep 09 2019 18:56:22 GMT-0700 (Pacific Daylight Time), Senior Analyst,"Philadelphia, PA",Former Employee ,"Great time, great work-life balance",I worked at Adobe full-time for more than 3 years,,Management was particularly helpful in helping you evolve in your role.,Pay is average for the Philadelphia area and less than competitive for other cities.,,5.0,5.0,4.0,5.0,3.0,5.0
Mon Sep 23 2019 20:33:32 GMT-0700 (Pacific Daylight Time), Engineer,"San Jose, CA",Former Employee ,Great Work Life balance,I worked at Adobe full-time for more than a year,,"Workload is manageable , and flexible office hours",Salary doesn't get adjust well,,3.0,3.0,3.0,3.0,2.0,2.0
Sun Sep 01 2019 08:56:46 GMT-0700 (Pacific Daylight Time), Engineering Manager,"San Jose, CA",Current Employee ,Great benefits and people.,I have been working at Adobe full-time for more than 3 years,2,"Great benefits
Work life balance
Generous time off
Stable and profitable company 
Values diversity","Lots of old timers who may not be open to new ideas
Slow moving company
Jobs often moved to India",,5.0,5.0,5.0,4.0,4.0,5.0
Wed Sep 04 2019 11:13:21 GMT-0700 (Pacific Daylight Time), Senior Ops Manager,"Lehi, UT",Current Employee ,Dysfunctional Chaos,I have been working at Adobe full-time for more than 3 years,7,"People are some of the brightest I have ever had the pleasure to work with, shutdowns are a blessing",Management has start up mentality not enterprise. Hard for them to shift thinking and be more structured in how to execute. BYU grad culture is very limiting for anything other than white male.,"Diversity should not just be politically correct 'talk'. Male dominated culture continues as we mostly hire BYU grads. 2 out of 10 are female which does not promote diversity. Bright people expect to work hard and be rewarded for accomplishments, not ignored or passed over to ensure the BYU male gets rewarded the most.",3.0,2.0,2.0,2.0,4.0,2.0
