date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Thu Sep 05 2019 09:18:07 GMT-0700 (Pacific Daylight Time), Software Engineer,"Austin, TX",Current Employee ,Great stuff,I have been working at Apple full-time for more than 3 years,,Great stuff no doubt about it,"Nada, zero, nula, ou, you know",,5.0,5.0,5.0,5.0,5.0,5.0
Thu Aug 28 2014 21:07:35 GMT-0700 (Pacific Daylight Time),,,Current Employee ,"Challenging, Rewarding, but ZERO work/life balance. Most satisfying , most difficult and most rewarding job ever.",I have been working at Apple full-time for more than 10 years,955,"We work with geniuses - in every department, We create innovative products that thrill our customers and create new product categories - who else can say that?","ZERO ZERO ZERO work/life balance. Execs have been saying for YEARS that they understand and will make it better. But in actuality, it gets worse every year! It is obviously top management LIP SERVICE because if they meant it, they could fix it tomorrow. They have hundreds of BILLIONS in the bank. If they REALLY cared about employee work/life balance, they could bring aboard the right number of folks to make that issue dissolve. Sick of hearing the lies. Just don't lie about wanting to fix it, when they clearly DON'T care",,4.0,1.0,3.0,3.0,3.0,3.0
Tue Nov 12 2019 15:30:15 GMT-0800 (Pacific Standard Time), Designer,"Cupertino, CA",Current Employee ,fair experience,I have been working at Apple full-time for less than a year,,fast pace and learn during process,sometimes it will be stressful,,5.0,4.0,5.0,5.0,5.0,4.0
Wed Nov 13 2019 11:11:12 GMT-0800 (Pacific Standard Time), Genius,,Former Employee ,Amazing company culture.,I worked at Apple part-time for less than a year,,There was always room for growth and the encouragement to be transparent with your peers and management.,Sometimes the Genius Bar was too hectic with smaller retail locations.,,5.0,5.0,5.0,5.0,5.0,5.0
Wed Nov 13 2019 11:39:33 GMT-0800 (Pacific Standard Time), Sales,"Century City, CA",Current Employee ,Best Place to learn and grow.,I have been working at Apple part-time for more than 8 years,,"Great benefits and fun, friendly atmosphere.",Fast-paced environment with many challenges.,,5.0,5.0,5.0,5.0,5.0,5.0
Wed Nov 13 2019 09:37:54 GMT-0800 (Pacific Standard Time), Store Administrator,"San Francisco, CA",Current Employee ,Great Benefits,I have been working at Apple full-time for more than 5 years,,There are some awesome benefits.,Busy. Always Busy. Sometimes I feel burned out.,,4.0,1.0,4.0,4.0,3.0,4.0
Mon Nov 11 2019 17:28:25 GMT-0800 (Pacific Standard Time), Sales,,Current Employee ,Ok,I have been working at Apple part-time for less than a year,,"Easy, Fun, Different, Management, Co-workers","Customers, Location, Schedule, Boring, Hours",,5.0,,,,,
Mon Nov 11 2019 17:59:35 GMT-0800 (Pacific Standard Time), Genius,"Milwaukee, WI",Current Employee ,Great Job,I have been working at Apple full-time for more than a year,,Good hours and decent pay,"no cons overall, it was fine to work there.",,5.0,,,,,
Tue Nov 12 2019 07:15:52 GMT-0800 (Pacific Standard Time), Senior Project Manager,"Cupertino, CA",Current Employee ,Great company,I have been working at Apple full-time for more than 5 years,,Great company culture and values,Work life balance can be challenging for some,,5.0,3.0,5.0,4.0,4.0,5.0
Sun Nov 10 2019 06:43:10 GMT-0800 (Pacific Standard Time), Product Specialist,"Manhattan Beach, CA",Former Employee ,Fun Culture & Work Environment,I worked at Apple part-time for more than a year,," Competitive salary - Fantastic Management - Paid vacation, health benefits, insurance, and much more. - Generous Employee discounts on Apple Products", Can be difficult to advance positions and no clear path to corporate positions,,5.0,5.0,5.0,4.0,5.0,5.0
Fri Nov 08 2019 19:25:47 GMT-0800 (Pacific Standard Time), Software Engineer,,Current Employee ,Great impact,I have been working at Apple full-time for more than 5 years,,Cool company. Good benefits. Impressive vision,Some internal competition though nothing too bad,,5.0,4.0,4.0,5.0,5.0,5.0
Mon Nov 04 2019 19:45:26 GMT-0800 (Pacific Standard Time), Technical Expert,"Lake Grove, NY",Current Employee ,The company really cares about its employees but retail can still be very stressful,I have been working at Apple part-time for more than a year,1,"Benefits are awesome, they work with your schedule, they start a lot higher than minimum wage",Customers use you as a punching bag. Retail is extremely busy and tiring during the holidays,,5.0,3.0,3.0,5.0,5.0,3.0
Thu Nov 07 2019 20:22:09 GMT-0800 (Pacific Standard Time), Senior Program Manager,"Cupertino, CA",Former Employee ,Exciting place and cool projects,I worked at Apple full-time,,You are hired as a submit matter expert so your team replies on you and you have this opportunity to give valuable input and make an impact.,Being a subject matter expert you hav to own your own career path.,,5.0,,,,,
Fri Nov 08 2019 08:29:12 GMT-0800 (Pacific Standard Time), Packaging Intern,"Cupertino, CA",Former Employee ,Great Experience,I worked at Apple full-time for more than a year,,Great exposure Great people- some of the best in the industry Great perks,Lengthy workflows Work-life balance- Hard to manage both Work load/amount,,5.0,3.0,4.0,5.0,4.0,4.0
Wed Nov 06 2019 16:31:45 GMT-0800 (Pacific Standard Time),,, ,Love my job,I have been working at Apple,,I love working from home. My managers have always focused on helping me improve and move up in my career. They are so supportive and I feel like they really have my back. I feel like the training is adequate and I am prepared for calls when I get to the phones. I love my opportunity for advancement and have a lot of different avenues I can take within the company.,"Work/life balance is pretty bad. They do offer different schedule choices but I always have to either work weekends or a super late shift and I don’t get to spend time with my family. Every time my new schedule releases, I always refresh my resume thinking I’m going to find another place to work that has more reliable schedule but I can’t ever beat the pay that Apple offers so I’m just forever stuck with a terrible schedule that changes every 4 months. If Apple could figure out how to make the scheduling better for At-Home advisors, it would literally be the perfect place to work.",,4.0,,,,,
Wed Nov 06 2019 21:49:05 GMT-0800 (Pacific Standard Time), Red Zone Specialist,,Former Employee ,Great Team Makes a Difference!,I worked at Apple part-time,,Really enjoyed who I worked with and the daily downloads to breakdown the agenda for the day.,Low pay and management threw me into the wolves (on the floor) too fast in my opinion.,,4.0,,,,,
Thu Nov 07 2019 12:16:51 GMT-0800 (Pacific Standard Time), Systems Engineer,"Austin, TX",Current Employee ,Apple,I have been working at Apple full-time for more than 10 years,,"Great coworkers, good pay, good benefits",Partisan atmosphere within leadership was palpable.,,4.0,3.0,3.0,4.0,4.0,3.0
Tue Nov 05 2019 20:34:56 GMT-0800 (Pacific Standard Time), Senior Systems Engineer,,Former Employee ,iCloud Engineer,I worked at Apple full-time for more than a year,,Positive environment. Emphasis on inclusion and equality. Great benefits.,None to mention at this time,,5.0,3.0,5.0,5.0,5.0,5.0
Wed Nov 06 2019 09:14:05 GMT-0800 (Pacific Standard Time), Business Expert,,Current Employee ,Great Benefits,I have been working at Apple full-time for more than 8 years,,Great benefits. Work-Life balance. Amazing training provided by company. Company does value its employees and fosters feedback culture. Down to earth people you work with.,Store Management can drastically make or break your experience.,,4.0,5.0,5.0,5.0,4.0,3.0
Tue Nov 05 2019 06:45:27 GMT-0800 (Pacific Standard Time), Technical Expert,"Lawrenceville, NJ",Current Employee ,Apple Store Position - Best place to work retail,I have been working at Apple full-time for more than a year,,"Fast Paced, and always busy so your day moves fast -Leadership generally cares -Change is handled in the best way possible -They Gave you multiple breaks throughout the day which helps you reset and breaks up the day. -Great benefits and perks -Very cool internal opportunities with career experiences.","Still retail schedule, You have to work weekends, some stores might be good about giving you one weekend day off and there. -Long days, You are scheduled for 9 hours including a 1 hour lunch break, So the days are a bit longer, but still move fast.",,5.0,4.0,5.0,5.0,5.0,5.0
