date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Tue Nov 12 2019 12:36:28 GMT-0800 (Pacific Standard Time), Analyst,"Princeton, NJ",Current Employee ,Great Company,I have been working at Bloomberg L.P. full-time for more than a year,,"Good Pay
Good work life balance",Some of the work is boring,none,5.0,4.0,4.0,5.0,5.0,4.0
Mon Nov 11 2019 19:40:30 GMT-0800 (Pacific Standard Time), Data Editor,"Washington, DC",Former Employee ,Great company and great people,I worked at Bloomberg L.P. full-time for more than 3 years,,I had a great 4 years at Bloomberg News and would recommend anyone to work there. I particularly liked my team and keep in touch with some of them.,"It's been four years since I've worked there but growth seems to have stalled a bit, limiting upside opportunities for talented people.",,5.0,5.0,4.0,4.0,5.0,4.0
Sun Nov 10 2019 09:55:34 GMT-0800 (Pacific Standard Time), Software Engineer,"New York, NY",Former Employee ,Great,I worked at Bloomberg L.P. full-time for more than a year,,Relaxed environment with interesting tech.,Office politics are definitely a con.,,4.0,4.0,4.0,4.0,4.0,4.0
Thu Nov 07 2019 20:18:29 GMT-0800 (Pacific Standard Time), Many Roles In the Newsroom,,Former Employee ,Sad Deterioration of a Once-Promising News Outfit ,I worked at Bloomberg L.P. full-time for more than 10 years,6,"Competitive pay (although they're whittling it down fast), decent health care, 401(k), free snacks and coffee.","What little journalistic talent remains at Bloomberg News is no match for the mass of mediocrity that has risen up there. In the past five years, the standard of quality has gone from excruciatingly high to preposterously low. 

While political correctness and identity politics run rampant, gender discrimination is still quite prevalent, despite all the internal corporate propaganda stating otherwise. And nobody, man nor woman, should feel comfortable growing old there. Experience has become a liability as the company is clearly focused on lowering the average age (and salary) of non-management employees through attrition, targeted layoffs and firings.

You shouldn’t consider Bloomberg News as a mid-career journalist. If you’re age 40 or older, don’t even bother applying. You probably won't even land an interview, let alone get hired. They have been actively recruiting minorities and LGBTQ people, though. So there might be some exceptions if you fit any of those categories. It does seem like a good fit for a kid just out of college looking to get some experience and then move on to something better. Sadly, it’s become that kind of place.",No advice because it all appears to be going according to their plan.,2.0,2.0,2.0,1.0,3.0,2.0
Wed Oct 23 2019 12:58:40 GMT-0700 (Pacific Daylight Time), Senior Software Developer,"New York, NY",Former Employee ,Awesome place to work with amazing benefits,I worked at Bloomberg L.P. full-time for more than a year,2,"Medical Care
Aquariums
Equipment
Located in NYC
A building full of really smart people","Not much work from home
No remote work
The monolith needs to be turned into more microservices","Please Michael, run for president!",5.0,5.0,5.0,5.0,5.0,5.0
Tue Oct 29 2019 16:21:57 GMT-0700 (Pacific Daylight Time),,"New York, NY",Current Employee ,sde,I have been working at Bloomberg L.P. full-time for more than a year,,great job stable free snacks,no cons good experience so far,,5.0,,,,,
Tue Nov 05 2019 05:00:57 GMT-0800 (Pacific Standard Time), Account Manager,"New York, NY",Former Employee ,Ageist,I worked at Bloomberg L.P. full-time for more than 8 years,4,Great Benfits - 100% Paid Medical - Philanthropy - Dollars for Hours match for volunteer work,"Firm has an issue with experienced workers. There is a ""Glass Ceiling"" but instead of being about gender, it is about age. Once this was not the case but current mgmt seems to be intent on lowering the average age and experience level of employees",If you are planning on selling the company do it already.,3.0,2.0,2.0,3.0,3.0,2.0
Tue Nov 12 2019 20:42:28 GMT-0800 (Pacific Standard Time), Software Engineer,"New York, NY",Current Employee ,"Great company, still lots of room for improvement",I have been working at Bloomberg L.P. full-time for more than a year,," Center of fintech around the world
- Many areas of software development that you can work in; encourages internal mobility
- Great philanthropy focus
- Open workspace culture
- Great benefits (health, 401k, relo bonus)"," Lots of tech debt
- Many client-facing teams are stacked with red-tape; hard to get meaningful change going without convincing the top",,3.0,5.0,4.0,4.0,5.0,2.0
Mon Oct 28 2019 15:03:41 GMT-0700 (Pacific Daylight Time),,,Current Employee ,Data Analyst,I have been working at Bloomberg L.P. full-time for more than 3 years,," Great benefits
- Solid work/life balance", Data teams lagging in terms of moving operations from manual entry to smoother automated processes,,4.0,5.0,4.0,3.0,3.0,3.0
Thu Oct 24 2019 19:44:02 GMT-0700 (Pacific Daylight Time), Manager,,Current Employee ,Great place to work,I have been working at Bloomberg L.P. full-time for more than a year,,Company really knows how to take care of the employees. Great atmosphere,Commute to work is the only con,,5.0,5.0,5.0,5.0,5.0,5.0
