date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Sat Nov 02 2019 17:40:06 GMT-0700 (Pacific Daylight Time), Software Engineer,"San Francisco, CA",Current Employee ,Good company,I have been working at Dropbox full-time for less than a year,,"Good food(the best part), good environment,","Product is not competitive
Management needs some improvement.",,5.0,5.0,5.0,5.0,5.0,5.0
Mon Sep 23 2019 20:40:55 GMT-0700 (Pacific Daylight Time), Account Executive,"Austin, TX",Current Employee ,Great place to work,I have been working at Dropbox full-time for more than a year,,"In-house chefs serving premium breakfast/lunch, generous wellness benefits, excellent choice of office snacks/drinks, fun and collaborative environment, cool vibe",no cons specific to Dropbox,,5.0,5.0,5.0,5.0,5.0,5.0
Mon Oct 14 2019 14:08:26 GMT-0700 (Pacific Daylight Time), Research,"San Francisco, CA",Current Employee ,Avoid this place,I have been working at Dropbox full-time for less than a year,7,"1. Food; hands down best food in tech. 
2. Well decorated office.","1. Poor leadership; director+ are indecisive, lack vision, and risk averse. 
2. Lack customer centric thinking; Nothing the company has built or is currently doing is grounded in customer needs. As a result, you have a stale company and flatlining user-base. 

If you have a choice between DBX or another established tech company, save yourself the headache and choose anywhere but here.",Hire more experienced industry leaders.,1.0,1.0,1.0,1.0,2.0,1.0
Fri Sep 13 2019 10:19:38 GMT-0700 (Pacific Daylight Time), Manager,,Former Employee ,great place to work,I worked at Dropbox full-time for less than a year,,"everything, culture, benefit, people, work life balance.",growing company comes with growing pain.,,5.0,5.0,5.0,4.0,5.0,5.0
Tue Sep 10 2019 15:34:52 GMT-0700 (Pacific Daylight Time), Senior Software Engineer,"San Francisco, CA",Current Employee ,Great place to work and be creative,I have been working at Dropbox full-time for less than a year,,"Really appreciates you as an employee. Perks, pay and benefits are great. Work can be challenging or mediocre depending on the team you are in. Company culture is uplifting to say the least. Lots of creative energy flowing around.",Management is young and inexperienced. It shows in multiple iterations of the same product.,,5.0,5.0,5.0,4.0,5.0,3.0
Wed Aug 28 2019 19:12:48 GMT-0700 (Pacific Daylight Time), Software Engineer,,Current Employee ,A mixed bag,I have been working at Dropbox full-time for more than a year,6,"Good compensation
Nice new building
A product that's actually useful and beneficial to its users
Many talented ICs (love my team and partner teams, but generally hate the management)","Bad management. 
Food is good but the logistics are terrible. Lines for days.
Poor culture, nothing is ever questioned or opposed. Being anything other than a koolaid drinker wouldn't be cupcake.
Did I mention bad management?","Promote people into management who have experience and are capable, not just the favored few who have been here a long time. It's also ok to hire management from outside. It's ALSO ok to get rid of managers instead of assuming the problem is the team because they say all the right BS to their management.",3.0,4.0,3.0,3.0,4.0,2.0
Mon Sep 02 2019 12:13:11 GMT-0700 (Pacific Daylight Time), Product Support Specialist,,Current Employee ,Great Company,I have been working at Dropbox full-time for more than a year,,"Benefits are amazing! Great Perks, Wonderful People!","If you are not good in a constantly changing environment, this might not be a fit for you.",,4.0,4.0,4.0,3.0,5.0,3.0
Sun Aug 11 2019 13:31:30 GMT-0700 (Pacific Daylight Time), Software Engineer,"Seattle, WA",Current Employee ,"Great place to work, impactful projects",I have been working at Dropbox full-time for more than 3 years,,"Amazing people, great office, and impactful projects",A bit of a hike for Eastsiders,,5.0,5.0,5.0,5.0,5.0,5.0
Tue Aug 13 2019 21:12:51 GMT-0700 (Pacific Daylight Time),,,Current Employee ,Fantastic work-life balance,I have been working at Dropbox full-time for more than 3 years,,"Great people, work life balance, and mentorship.",Lots of changes. Must be agile.,,4.0,5.0,5.0,4.0,5.0,4.0
Thu Aug 15 2019 07:40:09 GMT-0700 (Pacific Daylight Time),,, ,Out of touch with reality,I have been working at Dropbox,7," TuckShop food is amazing.
- Work/life balance means that most employees can work at home a few days a week.
- Cool office space and moving to new office soon."," Compensation below market.
- Equity value deceasing and most employees underwater due to continued slowing growth and increased costs.
- Company is out of touch with reality and sugar coats all communications. No real vision expect somehow magically connecting work. 
- Long time Dropbox employees promoted to senior leadership without much experience outside of the company. It’s amazing how badly things run when their only real jobs have been at Dropbox.
- Bloated organization with many long time employees just resting and beating.","Clean house, get experienced leadership to help, improve compensation, and formulate a coherent vision for the future.",1.0,5.0,1.0,3.0,1.0,3.0
Mon Jun 24 2019 23:40:10 GMT-0700 (Pacific Daylight Time), Director,,Former Employee ,Good benefits; Little achievements,I worked at Dropbox full-time for more than a year,12,"Good benefits and one of the best food in the area; could be a great place if your goal is to have a ""good time"".","Culture is the keyword here but many people here think culture is only about free stuff. There are too many people doing similar jobs and the organization structure and achievement is sorely lacking. ""Nice"" culture creates passive aggressive behavior and lack of courage to do the right things. Stay away if you are an achiever.",Empower middle managers since they are the ones who will help scale the company beyond current stage.,2.0,4.0,2.0,1.0,3.0,2.0
Tue Jun 18 2019 12:59:51 GMT-0700 (Pacific Daylight Time),,,Former Employee ,Good place to balance work/life,I worked at Dropbox full-time,,Pay was substantial and work/life balance reasonable.,Can't think of any at the moment.,,5.0,,,,,
Wed Jun 12 2019 17:16:44 GMT-0700 (Pacific Daylight Time), Account Executive,"Austin, TX",Current Employee ,Culture!,I have been working at Dropbox full-time for more than a year,,"The Culture, The people, The over all environment","Smaller office, you will gain weight with the amazing food.",,5.0,5.0,5.0,5.0,5.0,5.0
Sun Jun 09 2019 23:01:24 GMT-0700 (Pacific Daylight Time), Security Architect,"San Francisco, CA",Current Employee ,Nice all around,I have been working at Dropbox full-time for more than 3 years,,They feed you and hand you great projects,What else could you ask for?,Pay more. Seriously.,5.0,4.0,5.0,5.0,3.0,5.0
Fri Jun 14 2019 12:22:08 GMT-0700 (Pacific Daylight Time),,,Former Employee ,It's an amazing company!,I worked at Dropbox full-time for more than 3 years,2,"Great culture and people- super smart, dedicated, friendly. The values are for the most part lived in the day to day. You'll have all the resources you need to get your job done. There is a lot of opportunity and mobility. The benefits are out of this world. Some recent strategic changes to the product that are really exciting!","The experience can vary based on your manager and I don't think there's a great way to coach and grow leaders that are not serving their team the best. 
There needs to be a tighter link between product feedback from customers small and large and product development. It's a hyper competitive market and they need to respond quicker to competition and customer asks.","Implement better feedback loops! You hire great people but pay attention to those managers that are not performing where you thought they would- I bet the signs form their team are coming in loud and clear. Overall my time at Dropbox was magical and it's a great place to work, learn and grow.",4.0,5.0,5.0,5.0,5.0,4.0
Mon Jun 03 2019 07:08:14 GMT-0700 (Pacific Daylight Time), Senior Software Engineer,"New York, NY",Current Employee ,"Great place to work, normal big company woes",I have been working at Dropbox full-time for less than a year,,"Big, successful tech company that makes money by selling a product rather than its users’ private data; product is beloved by many; practically limitless scope for career growth of individual contributors, without needing to transition to management; effective processes for high-level product and technical decision-making; great work/life balance; top-tier office and job perks.","Reorgs are common and engineers tend to move teams a lot, reducing incentives to write maintainable code; aggressive internal deadlines add incentives to write unmaintainable code in order to ship quickly; issues are bounced around as teams refute “ownership” of the code in question; no strong company-wide standard of people management is in evidence, and managers’ aptitude for the job varies; career advancement seems to hinge more on following the letter of the leveling guidelines than actual job performance; NYC office gets next to no natural light.",Take people management more seriously as a skill; work with technical leadership to foster a stronger culture around code quality.,4.0,5.0,5.0,5.0,5.0,4.0
Thu Jun 13 2019 05:49:44 GMT-0700 (Pacific Daylight Time),,,Former Employee ,DON'T BOTHER WORKING HERE: RUTHLESS - ARROGANT - OUT OF TOUCH WITH REALITY,I worked at Dropbox full-time,9,"Okay pay, decent benefits, great product","Run by a bunch of arrogant kids that think they know it all. My manager had no social skills - when I first started and was in the process of moving from one state to another, I asked for two weeks to complete the moving process and his answer was ""I don't get paid to resolve your housing arrangements."" Then, I honestly filled out a survey and pointed out the lack of empowerment, when I pointed out the bad decisions he was making, he was up set and fired back with a new set of performance rules just for me. He manages a territory without having put foot in it, until recently and would not listen to advice.","Deliver what you preach: Truly care for employees, don't leave it up to managers that care more about their pride and not about DBX, protect your people when they speak their mind. Put someone that knows about the culture of a territory to manage it vs. an American that has no clue about the territory or the culture of the territory and is out of touch with reality, and arrogantly wants to impose his views in a different culture.",1.0,1.0,1.0,1.0,1.0,1.0
Mon Apr 29 2019 15:00:02 GMT-0700 (Pacific Daylight Time),,"San Francisco, CA",Former Employee ,Don't Be Wooed by the Food,I worked at Dropbox full-time for less than a year,14,"TuckShop serves up the best food in the Bay Area. Great benefits including health, dental, vision, commuter subsidy, cell phone, health/wellness subsidy, and more. Outside of work specialty events such as company picnic and holiday party were a blast. Great support teams for employee on-boarding. Fun work environment and great community of people to work around.","Don't let the food distract you from what is going on. I was merely hired as a diversity box to check. Upper level leadership states that diversity and inclusion are ""important"" and a ""high-priority"" but in researching the trends of POCs and women in the Dropbox workplace, you will see that there are major swings, not allowing for POCs to get comfortable in the workplace. You will also be paid less than your counterparts who are in the same role, with the same level of experience but display a less diverse demographic background. ERGs were great to find community in but that message needs to not only be a safe space to find community but it should mean something to upper level leadership. 

Dropbox promotes people into positions of power who have never lead a team before and who should never be allowed the opportunity to offer guidance to other human beings. There is zero intention behind the hiring and separation process which directly displays the patriarchal, ""Boy's Club,"" stigma of the Bay Area Tech Industry.

If you want to make an impact here, I highly suggest knowing someone higher up and not deviating from their ideologies. New and differing ideas are not welcomed from my understanding.

There is also not a very clear direction that this product is heading in. There are multiple different value propositions, giving employees the feeling of having their hands in too many buckets at one time. There is also no clarity on who to turn to when trying to problem solve.","Be intentional about your hiring and promotion process. Often times length of service, age, traditional tech industry demographics, or technical acumen does not directly correlate to high quality leadership. Hiring people that are different from you may actually benefit the overall camaraderie of your organization and provide a higher ability to achieve greatness.",3.0,3.0,4.0,3.0,5.0,3.0
Sun May 05 2019 09:21:09 GMT-0700 (Pacific Daylight Time), Software Engineer,,Current Employee ,Takes care of employees,I have been working at Dropbox full-time for more than a year,,Cares about employees and tries to improve after gathering feedback.,Should move at faster pace.,,5.0,4.0,5.0,4.0,4.0,4.0
Mon Apr 22 2019 22:45:41 GMT-0700 (Pacific Daylight Time), Product Operations,"Seattle, WA",Current Employee ,you will make a big impact here.,I have been working at Dropbox full-time for less than a year,2,"great culture (have been in tech ~6 years, best culture I've experienced thus far)
-they really take care of you -- all the food, snacks, drinks you could ever want + lots of learning & development opportunities on a regular basis, learning stipend, VTO, lots of other great perks/benefits
-I have learned a ton in my current role but generally manage work / life balance pretty well","Work/life balance depends on your team/role, and mine, personally tends to fluctuate depending on projects I'm working on. There could always be more women/people of color in leadership positions, but I know it's a priority for the company.",Continue to add more diversity to leadership.,5.0,4.0,5.0,5.0,5.0,4.0
