date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Mon Sep 09 2019 17:33:25 GMT-0700 (Pacific Daylight Time), Senior Software Dev Engineer,"Bellevue, WA",Current Employee ,Best Place to Work,I have been working at Expedia Group full-time for more than 5 years,,Excellent work ethics and work life balance,may be a little less salary than other big players,Increase the stock bonus,5.0,5.0,5.0,5.0,3.0,5.0
Thu Nov 14 2019 15:43:50 GMT-0800 (Pacific Standard Time), Senior Marketing Manager,"Bellevue, WA",Current Employee ,Good enough place to work,I have been working at Expedia Group full-time for more than 8 years,,"Great work-life balance and flexibility
Marketing VPs Gourav Pani , Greg Taylor, Murari are very strong
Most people are easy and fun to work with
People reach across teams to help each other","No manager training leads to people doing whatever they want with their teams.
New campus in Seattle is currently really hard to commute to from the Eastside if you don't live in Bellevue or Redmond. 
Compensation is low compared to Microsoft and FANG",Train your managers to lead with clarity.,4.0,5.0,4.0,4.0,3.0,4.0
Wed Nov 06 2019 18:43:39 GMT-0800 (Pacific Standard Time), Software Engineer,,Current Employee ,Great company to work for,I have been working at Expedia Group full-time,," Great work life balance
- Depending on the team, can be very supportive", Low end of the salary range for most SDE's,,4.0,,,,,
Wed Nov 06 2019 09:35:33 GMT-0800 (Pacific Standard Time), Senior Product Manager,"Seattle, WA",Current Employee ,Good but slow,I have been working at Expedia Group full-time for less than a year,,"Nice people
Nice offices
Cool leadership in product team",I literally did not have enough work to do,Hire more engineers,4.0,5.0,4.0,4.0,4.0,5.0
Mon Nov 04 2019 14:41:01 GMT-0800 (Pacific Standard Time), SDE1,,Current Employee ,wlb good company and people are helpful,I have been working at Expedia Group full-time,,"work-life balance good, people are helpful",not too much good change,,4.0,,,,,
Tue Nov 05 2019 01:35:39 GMT-0800 (Pacific Standard Time), Associate Market Manager,"Boston, MA",Current Employee ,"Good job, good benefits, difficult to grow",I have been working at Expedia Group full-time for more than 5 years,,"Good work life balance, good people, great benefits","Significant bottleneck in sales organization, progression after one promotion is rare",,4.0,5.0,5.0,2.0,4.0,3.0
Mon Nov 04 2019 08:50:43 GMT-0800 (Pacific Standard Time), Account Manager,,Current Employee ,"Not the Best, Not the Worst",I have been working at Expedia Group full-time for more than 3 years,5," Amazing benefits
- Flexible working hours
- Travel perks
- Access to communicate with anyone in the company
- As of recent, a lot of training resources for new hires
- The company is HUGE and global, so there are opportunities to transfer almost anywhere
- Expedia Group is a powerhouse in online travel so business growth will likely maintain even in unfavorable economic periods--therefore job security is not a major concern"," Extremely top-heavy
- Lack of diversity in management
- Limited career growth opportunities
- Labels itself as a platform tech company, does not pay as such
- If you rub elbows with the right executives & directors, you will soar in this company; however hard work and consistent success will not necessarily get you to where you want to be","Overall, Expedia Group has the means of being one of the best places to work. Period. Having global access to resources and teams, stellar benefits, and a general progressive disposition (flexible scheduling, modern offices, open lines of communication) are all amazing building blocks to creating the ideal work environment. However, the company needs to continue building on these things to truly move in the right direction in being an ""exceptional place where people come to do their best work"". Below are a few of the things I believe are hindering the company's progression:

- Stop focusing on how to place your white male buddies additional Executive Director and Senior Director positions and focus on promoting the growth and success of the associates that truly drive the business
- We see that you're trying to ""promote"" diversity & inclusion in the company, but saying and doing are two different things
- Really take the Rate Your Stay results about growth, development, and compensation to heart as opposed to acknowledging it is a problem and putting a band-aid over it
- You've done a great job in creating open lines of communication, however it means nothing if little to no action comes of what your associates are highlighting as pain points and concerns",3.0,5.0,3.0,2.0,5.0,3.0
Tue Oct 29 2019 11:51:28 GMT-0700 (Pacific Daylight Time),,"Bellevue, WA",Former Employee ,Nice place to work,I worked at Expedia Group full-time for less than a year,," Nice work culture, lots of flexibility
- Very relaxed environment", Nothing wrong to say about the company,,5.0,5.0,5.0,5.0,5.0,5.0
Sun Oct 20 2019 23:26:44 GMT-0700 (Pacific Daylight Time), Senior Data Engineer,"Bellevue, WA",Former Employee ,"Happening place, loved working here",I worked at Expedia Group full-time for more than a year,2,"Flexible
Smart colleagues
Fun culture
Futuristic and challenging
Time off and other perks
For people who love travel and food
Taking leaves for travel never discouraged
Truely diverse
Best for women
Better than Average work life balance","Going through reorganization
Moving to Seattle",Keep doing good work,5.0,5.0,5.0,5.0,4.0,4.0
Wed Oct 16 2019 12:14:07 GMT-0700 (Pacific Daylight Time), Human Resources,"Bellevue, WA",Former Employee ,Good place to work,I worked at Expedia Group full-time for more than 5 years,2,Very fast paced and challenging environment,Work/life balance isn't what it used to be. The move to Seattle is difficult for east siders,Skip level meetings are needed between Director/VP and individual contributors to better understand lack of empowerment which limits the ability to move quickly and make good decisions.,4.0,2.0,4.0,2.0,4.0,3.0
