date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Thu Nov 07 2019 13:33:56 GMT-0800 (Pacific Standard Time), Vertical Market Manager,"San Francisco, CA",Current Employee ,The best place I've ever worked,I have been working at Facebook full-time for less than a year,,"Incredible people and a collaborative, open environment where job satisfaction is at the core of company culture and team players shine.",Not really a con but as the company grows I hope we retain this culture.,,5.0,5.0,5.0,5.0,5.0,5.0
Thu Feb 16 2017 19:37:03 GMT-0800 (Pacific Standard Time),,"Menlo Park, CA",Current Employee ,"Fast paced company with high expectations, but incredibly fair. You won't a place that cares more about it's people.",I have been working at Facebook full-time for more than a year,367," Incredible benefits 
- Excellent compensation that rewards strong performance 
- Lots of autonomy 
- Tons of room for growth
- Very transparent from the top down
- Strong leadership
- Intelligent and caring colleagues
- The most fair and well thought out review process you will find everywhere 
- Exciting work"," If you don't learn to make the work life balance work for you, it can be exhausting. But you'll also be given lots of support with this if you ask for it. 
- It doesn't matter how good you are at your job, chances are you're going to be surrounded by a ton of other people who are just as good if not better. Imposter syndrome is real, but if you got an offer, you probably belong here too.","Keep doing what you're doing, keep an eye on employee burnout, keep supporting your people and keep pushing them, and the rest of the world, forward.",5.0,5.0,5.0,5.0,5.0,5.0
Sun Aug 18 2019 20:08:23 GMT-0700 (Pacific Daylight Time), Production Engineer,"Menlo Park, CA",Former Employee ,Know what you are getting yourself into,I worked at Facebook full-time for more than 3 years,74,"Facebook is a good company to work for. They pay well. They have great perks. At the beginning, life is good.

Facebook rewards ambition.","The appeal quickly wears off. Your experience at Facebook highly depends on the team you join.

Facebook does not have the best people managers. If you join a team with a good manager who knows the system, you will be more likely to have a productive, prosperous time at Facebook. If you join a team with a bad manager, your work-life balance will be horrible. You will feel extreme pressure with the Performance cycle review every six months. Worse yet, you may even blame yourself for what's happening, not realizing the role your manager plays until it is too late.

Facebook is a good company for new college graduates. Even with a bad experience, you can learn so much about practical, applied technology here. For those with several years of experience, or with family commitments, be careful. Come into Facebook with a clear sense of what you need from Facebook that you cannot get anywhere else. Be prepared to leave when that is delayed, or not a possibility, or comes at a cost to your family or external commitments.

For most people, Facebook is not a company that you join and happily work at for the rest of your life. Facebook is a temporary stop that will squeeze as much productivity out of you as it can. When that stops, it forces you out or makes you want to leave.",,2.0,1.0,5.0,2.0,5.0,3.0
Tue Feb 16 2016 17:17:42 GMT-0800 (Pacific Standard Time),,"Menlo Park, CA","Site Selection Program Manager in Menlo Park, CA",Pleasantly Surprised,I have been working at Facebook,408,"I'm a 55 year old working in a company where the average age is 28, and I've never been happier. I have always wanted to work in a company where I wasn't the proverbial square peg, and after nearly 30 years in the work force, I believe that I have found the company that complements my ideology for how a company should operate. Here are the ""Pros"" as I see them...

- Leadership: Mark Zuckerberg, Sheryl Sandberg, Chris Cox and the rest of the leadership team. Inspiring, smart and totally real.
- The Culture: The openness is a real thing, we're trusted to do the right thing, mistakes are expected, being yourself is important and encouraged, humility is encouraged and expected, building trust is paramount, the mission of making the world a more open and connected place isn't just a cool phrase because it guides everything. It's not about us, it's about everyone else.
- The People: Smart and nice is what I find. The diversity is better than any other company I've worked at and it's getting better. Those that are figuring out how to make what we do better for everyone are really good at implementing their ideas. Two years ago I didn't know what this company really was or if it had a secure future. I can clearly see now that they have what it takes to last, and it's sincere.
- Management: Managers are hired because they're good managers and not because they're good at something else. The management track is different than the contributor track and they're equal in importance.
- Benefits: Working in the Valley it's hard to differentiate all the benefits employees receive and Facebook is at least equal to all the major tech companies, but coming from Seattle the benefits are nothing short of incredible.

Granted, I haven't been with the company for very long and I'm still in the honeymoon period, but I can tell what's real and what's not; this place is for real.","Like any tech company, the work is big and complicated so work/life balance can suffer from time to time. The difference is that it's the passion within the individuals that drives them to work long hours and forego time off. Of course there can be times when schedule demands force the imbalance, but it's not such that 10-12 hours days become commonplace and expected regardless. We do what we do to get the job done; no one is killing themselves because there's an order to do so.

Being able to eat to your hearts/stomachs content can be dangerous to the waistline, but that's a self-control thing and not the company's issue.","Keep doing what you're doing and fight hard to not be complacent. I believe that humility is the key so don't ever lose that thinking. Your motives will always be suspect, but if you're able to look in the mirror everyday and know that your motives are pure, that's all that matters. Walking the talk is the best evidence there is.",5.0,4.0,5.0,4.0,5.0,5.0
Wed Nov 06 2019 12:55:48 GMT-0800 (Pacific Standard Time), Partner Account Manager,"Austin, TX",Current Employee ,Great atmosphere to grow and succeed,I have been working at Facebook full-time for more than a year,,"Amazing benefits , incredible culture, really good food",None that I can think of,,5.0,5.0,5.0,5.0,5.0,5.0
Wed Nov 06 2019 14:51:06 GMT-0800 (Pacific Standard Time), Critical Facility Engineer,"Prineville, OR",Current Employee ,Highly Rewarding and Challenging Career,I have been working at Facebook full-time for less than a year,,"Open collaboration with highly motivated and intelligent coworkers.
Very rewarding salary and bonus programs. Zero boredom, always a challenge and opportunity.",Challenges can seem overwhelming at times.,,5.0,5.0,5.0,5.0,5.0,5.0
Wed Oct 23 2019 20:45:24 GMT-0700 (Pacific Daylight Time), Software Engineer,"Menlo Park, CA",Current Employee ,"Fast pace, flat culture, great people",I have been working at Facebook full-time for more than a year,3,"FB-unique pros:
- Super flat culture. Weekly Q&As with execs that are really open and casual, purposeful de-emphasis on titles. The emphasis is on ideas and impact; aspiring meritocracy
- Fast pace! Some view this as a con, but if you are high-energy and easily bored like me, this is ideal. Plus, this includes fast career growth. If you can perform, you will be rewarded quickly.
- Great people! ""Brilliant jerk"" behavior, as seen in these kinds of companies, is generally less tolerated/prevalent here than elsewhere
- Generally best engineering pay among big-tech employers


Less unique pros you've probably heard of (still awesome):
- Top-class benefits (including INSANE parental benefits)
- Amazing tech infrastructure, a great place to go very tech-deep
- Campus is basically Disneyland"," Recent newsmedia. It's easy to either feel discouraged or develop a bit of an ""us versus them"" mentality when the media/public seem both technically ill-informed and antagonistic towards your company.
- It's an increasingly mature company, which means the pace is (slowly) slowing down. This affects the culture; fewer people are mission-driven or down for a passionate ""hacker"" culture.","Keep up the [Mark's] recent push to ""take the offensive"" and evangelize the company's principles! Employees recognize the need for increasing work with regulators, but we broadly don't think that a continued ""apology tour"" is helpful (or warranted). We love being mission-driven and publicly aligned with you.",5.0,5.0,5.0,5.0,5.0,5.0
Thu Oct 31 2019 16:49:11 GMT-0700 (Pacific Daylight Time), Software Engineer V,"Menlo Park, CA",Current Employee ,Great company,I have been working at Facebook full-time for more than 5 years,,"Great company to work for. 
Interesting problems to solve
Smart people",Quite Bad work life balance,,5.0,2.0,5.0,5.0,4.0,5.0
Tue Oct 15 2019 20:57:58 GMT-0700 (Pacific Daylight Time), Learning and Development,"San Francisco, CA",Current Employee ,Best work of your career,I have been working at Facebook full-time for more than 3 years,4,"Amazing work and meaningful challenges
Solid people and community",Intense workload so you need to manage your time well to have good balance,Keep leading in unconventional ways—it works...,5.0,3.0,5.0,5.0,5.0,5.0
Tue Oct 29 2019 07:42:17 GMT-0700 (Pacific Daylight Time),,"Las Cruces, NM",Current Employee ,Hardest interview process I've ever been through - totally worth it,I have been working at Facebook full-time for less than a year,,The interview process was grueling but after 6 months I'll have a hard time adjusting to a 'normal' job again. I came from healthcare where the world was on fire 24/7 and that's just not my reality anymore.,There's a ton to learn and a great deal of it is tribal knowledge; i.e. it takes some time to figure out your go-to people for information.,,5.0,5.0,4.0,4.0,5.0,4.0
Wed Nov 06 2019 20:34:53 GMT-0800 (Pacific Standard Time), Data Analyst,"Austin, TX",Former Employee ,A Stumbling and Lost Giant,I worked at Facebook full-time for less than a year,2,Health insurance is of excellent quality and a very fair price for employee contributions. The meals provided are of good quality and are free as are the snacks that are provided.,"(I worked in the Austin, Tx office under the Community Operations organization)

Rampant hostile political atmosphere
Team leadership and IC's will undermine and berate service team members to push their agendas forward. This is often overlooked by leaderhip and results in burnout and lack of empathy from everyone. This in turn produces subpar results and half-baked solutions. No one wins.

Sloppy processes
It's a benefit of a doubt to even say there are processes. Most of the internal processes are poorly documented and no one has or wants to give time to onboard new hires (see comment below on the culture driving self-absorbed motives). Getting anything done is 60% figuring out the best way forward, 20% fighting off the political backlash from making said decision and not the one the loudest stakeholder in the room wanted, and 20% is actually spent doing the work. So much waste. No concept of agile or the fundamentals of development practices in parts of Community Operations.

No humanity in the human facing part of the org
Working in Community Operations often felt like working in a call center. People often don't care about their work and they don't care to look beyond the ""what's in it for me"" philosophy running the show to see the people that the organization is supposed to help. We're talking about posts around some of the worst stuff out there- and the lack of empathy around it is nauseating and explains alot of the trouble Facebook has been getting into.

Custom everything means sloppy everything
So many of the internal tools are custom- even the ones that don't need to be! Often the tools are under supported (or supported by a staff that isn't willing to take feedback) so you end up with subpar tools supporting a massive company that is in desperate need of some tools that are built with intent and full functionality behind them.

Culture breeds self-absorbed motives within people
Facebook's culture is oriented around ""impact""- what impact did YOU have this performance evaluation period. It's not enough to say that you helped remove content that was harmful to minors (as an example unrelated to my direct experience). The impact needs to tie back to numbers- how many lines of code, how much money was saved, how many productive hours were saved-- not one of the questions asked is about how it helps the PEOPLE that use Facebook. It is all inward focused on the individual contributor- and as such the individual contributors act accordingly. There is not team oriented thought or conduct in my experience across Community Ops. There is only ""What's in it for me?"" 

HRBP are often ill informed on processes and policies and rotate like the second hand on a clock
You never know what you're going to get with the HRBP group- some are warm and empathetic others are very clearly only there to protect the company (meaning they'll pigeon hole you into a defensive position). I didn't have a great experience with them and even in my exit process they got details wrong- like really important details. Kind of disappointing. 

Middle management is hijacking the company for personal gain and Upper Management hasn't caught on yet
When I hear Mark talk- I see someone who really does believe in the mission behind the company- to make the world a more connected place. But I'm not sure that he or his team see the snakes in the grass that are not aligned to that mission and only looking for ways to achieve their personal gain. It's frightening given how much power and authority Facebook has and I really hope that this issue is sorted before things go to far.","Be mindful of what behavior you are driving given the way expectations are set
Take a hard look at what Facebook says it wants to do and what it's really doing- are they aligned?
For Community Ops- the org is there to support the users of Facebook- the humans on the other side. I'd encourage you to take a deep walk into the org to see if the individual members are really thinking of those people when they do their work.",3.0,2.0,2.0,2.0,5.0,2.0
Sat Nov 09 2019 09:00:19 GMT-0800 (Pacific Standard Time), Senior Staff Software Engineer,"Seattle, WA",Current Employee ,Good company overall,I have been working at Facebook full-time for more than 3 years,,"Interesting challenges, smart people, great pay and benefits",Focus on Ads is tiresome,,4.0,2.0,2.0,5.0,5.0,3.0
Fri Oct 25 2019 06:59:14 GMT-0700 (Pacific Daylight Time),,"Altoona, IA",Current Employee ,Great Place to work,I have been working at Facebook full-time for less than a year,,"Tons of things to learn
Great Work Life Balance
Amazing Team",Nothing that i can think,,5.0,5.0,5.0,5.0,5.0,5.0
Sat Nov 02 2019 11:25:27 GMT-0700 (Pacific Daylight Time), Senior Software Engineer,"Menlo Park, CA",Current Employee ,"Great place to grow, superior internal mobility",I have been working at Facebook full-time for more than 3 years,2," large range of technical problems, working alongside motivated people (often industry leaders)
- people management is taken seriously; it’s a separate career track, generally done by those with aptitude and care for others
- growth oriented culture; you’re always pushed to tackle something that challenges you
- switching teams is low-barrier; hackamonth concept allows for a two way try out (team/you)"," constant negative press associated with the company 
- mandatory promotion to E5 with a “you’ll be fired after 36 months if you’re not on track to get promoted” policy
- data oriented to a fault, at times. everything has to be proven to others; experience and believability weighting is lacking 
- tricky to achieve work life balance since expectations are high and the pace is fast",Don’t let your people get chewed up by the punishing performance review process every six months. Help them grow at their own pace and look to longer term goals.,4.0,3.0,5.0,5.0,5.0,4.0
Tue Oct 22 2019 15:46:56 GMT-0700 (Pacific Daylight Time), Software Engineer,"Seattle, WA",Current Employee ,Great place to work,I have been working at Facebook full-time for more than a year,,"I work on things that I find very interesting and have few boundaries towards success. The perks/benefits are huge, and I really appreciate the free meals.","Can err on the sides of being too results oriented half to half, and I am worried about the company's direction in open source.",,5.0,5.0,5.0,5.0,5.0,4.0
Wed Oct 30 2019 12:38:16 GMT-0700 (Pacific Daylight Time), Content Strategist,"Menlo Park, CA",Current Employee ,"Changing goals, constant thrash, good benefits",I have been working at Facebook full-time for more than a year,1,"Great benefits, lots of flexibility, autonomy, resources","Changing goals, hard to maintain consistency among constant thrash",,4.0,3.0,3.0,1.0,5.0,1.0
Wed Oct 16 2019 13:15:26 GMT-0700 (Pacific Daylight Time), Software Engineer,"Menlo Park, CA",Current Employee ,IC4,I have been working at Facebook full-time for more than a year,," Great benefits
- Excellent culture", High housing prices in the area,,5.0,5.0,5.0,5.0,5.0,5.0
Mon Oct 14 2019 14:42:48 GMT-0700 (Pacific Daylight Time), Sales Representative,"San Francisco, CA",Current Employee ,best place,I have been working at Facebook full-time for more than a year,,best culture and pay and would come work here,hard to get in,,5.0,5.0,5.0,5.0,5.0,5.0
Mon Oct 07 2019 13:22:20 GMT-0700 (Pacific Daylight Time), Datacenter Capacity Engineer,"Altoona, IA",Current Employee ,Doesn't get any better than working at Facebook,I have been working at Facebook full-time for less than a year,2," Benefits
- Teamwork
- Work Culture
- Flexibility
- Pay
- Structure",I have no cons here.,,5.0,5.0,5.0,5.0,5.0,5.0
Tue Oct 08 2019 19:54:14 GMT-0700 (Pacific Daylight Time), Technical Recruiter,"Menlo Park, CA",Current Employee ,Loving it!,I have been working at Facebook full-time for more than 3 years,1,"Great people, free food, amazing recruiters and sources; everyone is smart and highly capable",none that I can think of,,5.0,5.0,5.0,5.0,5.0,5.0
