date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Fri Sep 06 2019 16:36:52 GMT-0700 (Pacific Daylight Time), Field Tech,,Former Employee ,"Great work environment, good benefits",I worked at HP Inc. full-time for more than 10 years,,"Loved working there, my managers were great and work was good. They gave us good tools and I liked being in the field. The job training was great too. Best job I ever had.",Some field jobs were a little stressful at times. I guess that came with the job.,,5.0,4.0,5.0,5.0,5.0,5.0
Mon Nov 11 2019 14:26:32 GMT-0800 (Pacific Standard Time), Senior Software Systems Engineer,"San Diego, CA",Current Employee ,Declining in San Diego,I have been working at HP Inc. full-time for more than 10 years,,Flexible work hours and varied work,HP in San Diego is growing smaller in each year,,4.0,5.0,3.0,1.0,4.0,3.0
Fri Nov 08 2019 19:58:26 GMT-0800 (Pacific Standard Time), Director Sales Operations,"Houston, TX",Current Employee ,Be ready for constant change,I have been working at HP Inc. full-time for more than 8 years,,"Benefits, range of opportunities within the company, ability to work across the globe if you have the chops.","Constant change, continued ongoing restructuring can be disorienting.",Control the continued need to realign.,4.0,5.0,4.0,4.0,4.0,3.0
Thu Nov 07 2019 13:56:46 GMT-0800 (Pacific Standard Time), Supply Chain Manager,,Current Employee ,Good Place to Work,I have been working at HP Inc. full-time,,"Good Culture, good pay and benefits",Nothing to note at this time,,5.0,,,,,
Tue Nov 05 2019 08:12:37 GMT-0800 (Pacific Standard Time), Account Service Manager,"Palo Alto, CA",Current Employee ,Great company to work for,I have been working at HP Inc. full-time for more than 8 years,,Great company and great Employees very customer focused,No major Cons at this time,Grow the 3D Business it is your best chance to bring back HP to its glory days.,4.0,3.0,5.0,5.0,3.0,4.0
Fri Nov 01 2019 11:03:35 GMT-0700 (Pacific Daylight Time), Intern ,,Current Employee ,HP,I have been working at HP Inc. full-time for less than a year,,"HP is a fantastic company to work for. They truly care about both their employees and their employees loved ones. They are great about working around school schedules, doctors appointments, personal days off.",currently going through it right now as a company,,5.0,5.0,5.0,5.0,5.0,5.0
Wed Oct 30 2019 09:33:21 GMT-0700 (Pacific Daylight Time), Operations Lead,"Vancouver, WA",Current Employee ,Experience dependent on direct manager / unknown future for HP,I have been working at HP Inc. full-time for more than 3 years,,"Dion did a good job, no opinion on new CEO.","Declining market, going through org changes to plan for future....15% layoffs for new CEO is a bold move.",,4.0,4.0,5.0,4.0,4.0,3.0
Wed Oct 30 2019 12:52:38 GMT-0700 (Pacific Daylight Time), Senior Product Manager,"Palo Alto, CA",Former Employee ,Friendly and supportive environment,I worked at HP Inc. full-time for more than 5 years,,"Opportunities to learn
Friendly people
Global scale and exposure","Slow or legacy processes
Many reorganizations
Work in silos",,4.0,3.0,5.0,5.0,3.0,3.0
Tue Nov 12 2019 20:34:13 GMT-0800 (Pacific Standard Time), Mechanical Engineer Specialist,"Vancouver, WA",Former Employee ,On the decline,I worked at HP Inc. full-time for more than 5 years,,"Flexible work hours
-Great people 
-Highly skilled engineers","Schedule driven rather than quality
-Current situation (2019) is very unstable and uncertain.",You get plenty of feedback from your staff. Listen.,3.0,5.0,4.0,2.0,3.0,4.0
Wed Nov 06 2019 22:00:17 GMT-0800 (Pacific Standard Time), Financial Analyst,,Current Employee ,Good company culture,I have been working at HP Inc. full-time for more than 8 years,,"Good company culture, Flexible working hours","Job insecurity, hard to get promoted",,3.0,,,,,
Sun Oct 20 2019 19:16:35 GMT-0700 (Pacific Daylight Time), Web & Database Developer,"San Diego, CA",Former Employee ,Great company to work for,I worked at HP Inc. full-time for more than a year,1," Great coworkers who are smart, hard-working, friendly
- Good perks that come with a big company: college tuition reimbursement, onsite gym & workout classes, onsite volleyball court & soccer field (these might have gotten taken down though) occasional free lunches, etc.
- Generally pretty good retention--lot of mentors/people to learn from"," Older company that was downsizing a lot--over the ~2 years I was there, I saw the physical campus shrink in size to be 1/3 of the original size.
- Having company stock doesn't mean very much",,4.0,5.0,5.0,4.0,4.0,5.0
Sat Nov 02 2019 11:07:22 GMT-0700 (Pacific Daylight Time),,,Current Employee ,Meh - 2 and half stars at best,I have been working at HP Inc. full-time,,"+ Great people in IC roles
+ Management consists of mostly good people and relatively transparent 
+ Minimal bureaucracy
+ Nice offices and flexibility w/ remote work"," watch your back if you are over 50
- watch your back if you are a US-based employee
- salaries are not competitive 
- minimal opportunities for advancement, if you are based in US
- awful products to get behind; this company will become as relevant as Acer in the next 10 years.","Quit the slaughterhouse approach like HPE. Get back to R&D roots.....your products, support and strategy are awful.",2.0,4.0,3.0,1.0,4.0,2.0
Thu Oct 17 2019 16:26:01 GMT-0700 (Pacific Daylight Time),,,Current Employee ,Good workplace,I have been working at HP Inc. full-time,,Great company to work for,Training is less than expected,,5.0,2.0,5.0,5.0,,
Fri Nov 01 2019 20:46:53 GMT-0700 (Pacific Daylight Time), Senior Manager,"Palo Alto, CA",Current Employee ,Reinventing or just hanging on?,I have been working at HP Inc. full-time for more than 10 years,,"Easy work
Highly predictable and repeatable work
Great quality of life",Management is in denial of business outlook and leadership is risk adverse.,"New external executive leadership is needed. Moving deck chairs around is not a solution.
Learn to use collaborative and web-conference technologies and eliminate all the expensive executive travels.",2.0,4.0,2.0,2.0,2.0,1.0
Wed Oct 16 2019 11:48:17 GMT-0700 (Pacific Daylight Time), Account Manager,,Current Employee ,Inside Account Manager,I have been working at HP Inc. full-time for more than 5 years,,"1. Great Work-Life Balance
2. Improved internal career advancement opportunity
3. Collaborative culture","1. Dismal investments in people development - specifically around new employee onboarding experience (completely inconsistent based on which team and/or organization you end up in)
2. Competitive pay - From a tech company perspective, HP is more of a GE t rather than your Googles and FB. Market competitiveness for pay is at mid-low range rather than the top of the industry.",,5.0,5.0,5.0,4.0,3.0,5.0
Wed Oct 30 2019 05:55:23 GMT-0700 (Pacific Daylight Time), Senior Program Manager,"Alpharetta, GA",Former Employee ,Was Ok,I worked at HP Inc. full-time for more than 10 years,,For the most part the people were nice to work with,Upper management started getting to micromanagement,,3.0,1.0,3.0,3.0,3.0,1.0
