date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Mon Nov 11 2019 11:22:08 GMT-0800 (Pacific Standard Time), Sales Consultant,"Tucson, AZ",Current Employee ,Couldn't be better!,I have been working at Intuit full-time for more than a year,,Best job I have ever had!,I can't think of anything. Five word minimum.,Keep up the good work!,5.0,5.0,5.0,5.0,5.0,5.0
Fri Nov 08 2019 15:01:31 GMT-0800 (Pacific Standard Time), Senior Program Manager,"Mountain View, CA",Current Employee ,Annually the company receives numerous accolades for a good reason,I have been working at Intuit full-time for more than a year,1,"Investment in its employees 
Commitment to tech women
Work/life balance 
Flexible work hours
New ideas are encouraged and welcome 
Collaborative work environment
Dedication to creating strong work culture
People are extremely nice and friendly",Find ways to create more cohesion across teams and sites,I'm proud to say I work at Intuit.! The company lives its brands through its core values. Keep up the great work. Your support and commitment to employees goes a long way and it shows!,5.0,5.0,5.0,5.0,5.0,5.0
Sun Nov 10 2019 09:48:02 GMT-0800 (Pacific Standard Time), Inbound Sales,"Tucson, AZ",Current Employee ,Best company I've ever worked for,I have been working at Intuit full-time for less than a year,,Great training; great base pay; employee friendly; mangement is very supportive of nurturing employees and wants you to engage with customers to find a solution for them rather than just selling,None that I can think of,,5.0,5.0,5.0,5.0,5.0,5.0
Sun Nov 10 2019 15:59:53 GMT-0800 (Pacific Standard Time), Executive Assistant,"San Diego, CA",Current Employee ,Silicon Valley in San Diego,I have been working at Intuit full-time for less than a year,,"The list is long. Beautiful campus that has multiple areas to promote working outside in the San Diego weather. 
Several walking trails to help promote fitness. 
Onsite cafe that has several types of cuisines, as well as made to order items, all of which are subsidized. 
Free coffee, snacks and flavored waters (sparkling / flat).
Several onsite social events.","Conference rooms often a challenge securing for large meetings. 
IT support team extremely short staffed so end users often have to fend for themselves.",,5.0,4.0,4.0,4.0,4.0,
Sat Nov 09 2019 03:06:28 GMT-0800 (Pacific Standard Time), Senior Product Consultant,"Tucson, AZ",Current Employee ,Incredible Company to Work For,I have been working at Intuit full-time for more than 5 years,,"The people and culture, the mission to power prosperity, opportunities to grow, compensation and benefits.","Sometimes the rate of change can be overwhelming for customers and staff. It’s exciting, but it keeps us on our toes.","The culture is incredible and we are doing amazing things to shape the future. Continue to find innovative ways to keep employees in the loop of changes across all of Intuit. Our customers and partners see us as one company, but we can be rather silo’d at times, even within a given product. This can prevent amazing innovations from being properly shared and celebrated and can cause friction in sales conversations.",5.0,5.0,5.0,5.0,5.0,5.0
Thu Nov 07 2019 19:53:39 GMT-0800 (Pacific Standard Time), Experienced Tax Professional,"New York, NY",Current Employee ,Great place to work,I have been working at Intuit full-time for more than a year,,"flexible hours
-team atmosphere
- great managers"," have to deal with software support
- more customer service based",,5.0,,,,,
Thu Nov 07 2019 07:22:38 GMT-0800 (Pacific Standard Time), Sales Consultant,"Tucson, AZ",Current Employee ,Great Company to work for,I have been working at Intuit full-time for more than a year,,They care about their team members and are always looking for ways to make our job easier!,Sometimes we are too big which causes one hand to not always know what is happening in the other.,Continue to create transparency between all the different teams.,5.0,5.0,5.0,5.0,4.0,4.0
Wed Nov 06 2019 10:15:43 GMT-0800 (Pacific Standard Time), Product Manager,"Boise, ID",Current Employee ,Product Managers Disneyland,I have been working at Intuit full-time for less than a year,,"Amazing focus on customer empathy and solving real customer problems. Access to data, research, and designers is phenomenal. Its fun to learn fast and deliver awesome.",The Boise office is overflowing & at capacity. Parking can be difficult and the office could use a cafeteria. Great news is a second building next door has been announced so hope this is coming.,Proud to work for a company that has such amazing values and truly acts on them. Keep up the good work!,5.0,5.0,5.0,5.0,5.0,5.0
Wed Nov 06 2019 10:23:03 GMT-0800 (Pacific Standard Time), Finance Leader,"Mountain View, CA",Current Employee ,Best company and culture I have worked for!,I have been working at Intuit full-time for less than a year,,Managers and teams are all so flexible and supportive. I have been nothing but supported since joining and feel so good about coming to work every day. Working with line leaders has been nothing but rewarding and fun. I never imagined a finance role could be this rewarding. I truly enjoy coming to work every day.,"No major cons, Sometimes systems are a bit fragmented but that is because at Intuit they are willing to try new things and be right on the cutting edge of tools and tech.",Keep doing what you are doing and make sure to maintain the culture and supportive management.,5.0,5.0,5.0,5.0,5.0,5.0
Wed Nov 06 2019 10:25:48 GMT-0800 (Pacific Standard Time), Risk Analyst,"Los Angeles, CA",Current Employee ,Best work environment!,I have been working at Intuit full-time for more than a year,,They care so much about their employees and their customers!!,There are no cons.,,5.0,5.0,5.0,5.0,5.0,5.0
Wed Nov 06 2019 10:33:36 GMT-0800 (Pacific Standard Time), Workforce Management Analyst,"Boise, ID",Current Employee ,Exceptional Company,I have been working at Intuit full-time for less than a year,,"1. Once you are in at the company there seems to be endless opportunities for growth and development.

2. Great work environments focused on keeping the employee happy and healthy. This is a huge win for anyone considering a position with this company!

3. Incredible culture centered around inclusion and encouragement.

4. Support and positivity from the top down.","*So far, I've got nothing to complain about. The opportunity I was given literally changed my life for the better!*",Keep being such a positive voice for employees and pushing them to do their best in the encouraging ways you are!,5.0,5.0,5.0,5.0,5.0,5.0
Wed Nov 06 2019 10:36:16 GMT-0800 (Pacific Standard Time), Underwriter,"Los Angeles, CA",Current Employee ,Great Place to Work!,I have been working at Intuit full-time for more than a year,,"Awesome Culture, Activities, Perks, and Benefits to being an employee here!",No Major Con's! Only Minor things that are typical of most businesses..,"Be fair to all Employees and pay attention to and recognize people for their individual contributions, whatever they may be, so that they can have more pride in their work, and know that they matter!",5.0,5.0,5.0,4.0,4.0,5.0
Wed Nov 06 2019 10:38:47 GMT-0800 (Pacific Standard Time), Customer Service Representative,"Boise, ID",Current Employee ,Great Environment,I have been working at Intuit full-time for less than a year,,"Great support here at Intuit, they are always wanting you to reach any of your personal goals! They make sure this is not a dead end job.",Can be pretty hard to get time off.,,5.0,4.0,5.0,5.0,5.0,5.0
Wed Nov 06 2019 10:52:32 GMT-0800 (Pacific Standard Time), Product Designer,"San Diego, CA",Current Employee ,Glad I left agency life behind,I have been working at Intuit full-time for less than a year,,"Great pay & benefits. 
Forward thinkers.
Plenty of growth opportunities.","Office politics are a factor, but no more than any other place I've worked.",,5.0,5.0,5.0,5.0,5.0,5.0
Wed Nov 06 2019 11:06:44 GMT-0800 (Pacific Standard Time), Software Engineer,"Mountain View, CA",Current Employee ,A company with strong customer focus that values diversity and it's employees,I have been working at Intuit full-time for more than a year,,"1. Good perks and benefits
2. Employees are friendly and ready to offer a helping hand. Excellent teamwork.
3. Good balance of work ethics and opportunities to destress and enjoy
4. Ease of mobility and freedom to work on what interests you the most including with teams focussed on development for the future, research and offers opportunities to pitch new ideas that can be sponsored.
5. Offers both depth and breadth, stay in the same or learn and grow in new roles or domains or technologies.",1. Focussed on accounting and tax software. Hasn't spread it's wings into multiple domains.,,5.0,5.0,5.0,5.0,5.0,5.0
Wed Nov 06 2019 11:34:08 GMT-0800 (Pacific Standard Time), Onboarding Specialist,"Reno, NV",Current Employee ,Fantastic Company,I have been working at Intuit full-time for less than a year,,Family Atmosphere - Truly care about the employees - Phenomenal Benefits - Unfathomable Perks,"Initial training seemed a bit inadequate, but the longer I am here, the more I am learning and am pleased with the help I have received along the way.","Improve the training for new hires to be more specified to the role the person is actually stepping into. Provide more ""floor"" support for new agents once they are on the floor and actually interfacing with the customers by assigning a ""seasoned"" agent to work side by side with them without having their own workload to have to focus on.",5.0,5.0,5.0,5.0,5.0,5.0
Wed Nov 06 2019 11:39:34 GMT-0800 (Pacific Standard Time), Senior Business Analyst,"Tucson, AZ",Current Employee ,Great place to work!,I have been working at Intuit full-time for more than 8 years,,Great salary and benefits. Nice work/life balance. Friendly colleagues. Track equality in wages!,Growth opportunities are limited. Few openings.,,5.0,5.0,5.0,3.0,5.0,5.0
Wed Nov 06 2019 11:41:34 GMT-0800 (Pacific Standard Time), Sales Offering Specialist,"Fredericksburg, VA",Current Employee ,"Intuit Fredericksburg, VA",I have been working at Intuit full-time for more than a year,,I was able to excel and be promoted within 1 year,I do not have any cons,,5.0,5.0,5.0,5.0,5.0,5.0
Wed Nov 06 2019 15:10:14 GMT-0800 (Pacific Standard Time), Group Manager,"Plano, TX",Current Employee ,Opportunity to Grow,I have been working at Intuit full-time for more than 5 years,,Able to develop professionally in a rich feedback environment. A positive environment where peers work together to reach goals and help the bigger team to succeed. A place where the company values are actually part of decision making.,"Particular division is in multiple time zones and countries across the globe. Coordinating meeting times is at times a challenge, but this is no different for other companies with global presence.",Team is new together it will take some effort and time to be fully coordinated and aligned like the previous team,5.0,5.0,5.0,5.0,5.0,5.0
