date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Wed Nov 13 2019 06:58:01 GMT-0800 (Pacific Standard Time), Executive Search,"Sunnyvale, CA",Former Employee ,Great culture and place to learn,I worked at LinkedIn full-time,,So impressed with how they were able to keep the culture during early times of rapid growth. Ability to work around very smart people. Very accepting culture.,"Got to be a bit political as the company grew after 8,000 employees",,5.0,4.0,5.0,4.0,5.0,5.0
Thu Nov 07 2019 14:34:00 GMT-0800 (Pacific Standard Time), Data Analyst,,Current Employee ,good place,I have been working at LinkedIn full-time,,"good coworker, good food, good everything","none,no no no no no",,5.0,5.0,5.0,5.0,5.0,5.0
Sun Nov 03 2019 19:20:55 GMT-0800 (Pacific Standard Time), Software Engineer,"San Jose, CA",Current Employee ,Work life balance,I have been working at LinkedIn full-time for less than a year,,work life balance is better,technology not good as facebook and google,,5.0,5.0,5.0,5.0,5.0,5.0
Tue Oct 29 2019 18:27:19 GMT-0700 (Pacific Daylight Time), Recruiter,"San Francisco, CA",Current Employee ,Great food,I have been working at LinkedIn full-time for more than a year,,"Great culture, food, gym, lot of transparency from leadership",Not a lot of ways to climb the ladder,,5.0,4.0,5.0,3.0,5.0,4.0
Mon Oct 14 2019 10:20:24 GMT-0700 (Pacific Daylight Time), Program Manager,"San Francisco, CA",Former Employee ,Life changing opportunity,I worked at LinkedIn full-time for more than 5 years,3,"Great work/life balance, awesome perks, best-in-class 401k matching + insurance","Getting really large and bureaucratic post MSFT acquisition. Easy place to get lazy as benefits are awesome, people are really smart, and it roles are becoming more specialized",,5.0,5.0,5.0,5.0,5.0,4.0
Wed Oct 23 2019 10:55:15 GMT-0700 (Pacific Daylight Time)," Manager, Customer Success",,Current Employee ,"great company, feel very grateful for the opportunity to work here",I have been working at LinkedIn full-time for more than 5 years,,"amazing health benefits, 401k match, cafe","hard to get promoted, day to day can be the same",,5.0,,,,,
Wed Oct 23 2019 13:05:23 GMT-0700 (Pacific Daylight Time), Software Engineer,"Sunnyvale, CA",Current Employee ,Best place I've ever worked on,I have been working at LinkedIn full-time for more than a year,,"Great culture (sounds cliché, but it's the first time I've seen a company actually acting on their values), great food, great balance with personal life, amazing people working there.","Nothing wrong about LinkedIn. Don't love that it's located in the Bay Area, but that's where tech is.",Open more offices across the USA :D,5.0,5.0,5.0,5.0,5.0,5.0
Tue Oct 22 2019 23:09:11 GMT-0700 (Pacific Daylight Time), Software Engineer,"Mountain View, CA",Current Employee ,Great WLB and colleagues,I have been working at LinkedIn full-time for more than a year,,I have work with an amazing team of Engineers as well as other,Ember.js and dev tooling could be much better,,5.0,5.0,5.0,4.0,5.0,5.0
Mon Oct 07 2019 12:56:39 GMT-0700 (Pacific Daylight Time), Sales Development Representative,"San Francisco, CA",Current Employee ,"Good place to work, boring job",I have been working at LinkedIn full-time for more than a year,1,"Mentorship, tech perks! fun environment, great culture and community, endless activities and groups to join at the office",impromptu change of quotas and sales does not participate in InDays,,5.0,4.0,5.0,5.0,3.0,4.0
Wed Oct 09 2019 10:54:36 GMT-0700 (Pacific Daylight Time), Enterprise Account Executive,"San Francisco, CA",Current Employee ,Amazing Culture,I have been working at LinkedIn full-time for more than a year,,"Amazing culture, people, products",Challenging to hit your quota and terrible data quality around account ownership/territories,,5.0,5.0,5.0,4.0,5.0,4.0
Thu Oct 10 2019 08:11:13 GMT-0700 (Pacific Daylight Time), Android Engineer,,Former Employee ,Great Company,I worked at LinkedIn full-time,,Wonderful team with lots of career support,Large company comes with bureaucracy,,5.0,,,,,
Wed Oct 09 2019 10:54:36 GMT-0700 (Pacific Daylight Time), Enterprise Account Executive,"San Francisco, CA",Current Employee ,Amazing Culture,I have been working at LinkedIn full-time for more than a year,,"Amazing culture, people, products",Challenging to hit your quota and terrible data quality around account ownership/territories,,5.0,5.0,5.0,4.0,5.0,4.0
