,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,company
0,Sat Nov 02 2019 17:40:06 GMT-0700 (Pacific Daylight Time), Software Engineer,"San Francisco, CA",Current Employee ,Good company,I have been working at Dropbox full-time for less than a year,,"Good food(the best part), good environment,","Product is not competitive
Management needs some improvement.",,5.0,5.0,5.0,5.0,5.0,5.0,dropbox
1,Mon Sep 23 2019 20:40:55 GMT-0700 (Pacific Daylight Time), Account Executive,"Austin, TX",Current Employee ,Great place to work,I have been working at Dropbox full-time for more than a year,,"In-house chefs serving premium breakfast/lunch, generous wellness benefits, excellent choice of office snacks/drinks, fun and collaborative environment, cool vibe",no cons specific to Dropbox,,5.0,5.0,5.0,5.0,5.0,5.0,dropbox
2,Mon Oct 14 2019 14:08:26 GMT-0700 (Pacific Daylight Time), Research,"San Francisco, CA",Current Employee ,Avoid this place,I have been working at Dropbox full-time for less than a year,7.0,"1. Food; hands down best food in tech. 
2. Well decorated office.","1. Poor leadership; director+ are indecisive, lack vision, and risk averse. 
2. Lack customer centric thinking; Nothing the company has built or is currently doing is grounded in customer needs. As a result, you have a stale company and flatlining user-base. 

If you have a choice between DBX or another established tech company, save yourself the headache and choose anywhere but here.",Hire more experienced industry leaders.,1.0,1.0,1.0,1.0,2.0,1.0,dropbox
3,Fri Sep 13 2019 10:19:38 GMT-0700 (Pacific Daylight Time), Manager,,Former Employee ,great place to work,I worked at Dropbox full-time for less than a year,,"everything, culture, benefit, people, work life balance.",growing company comes with growing pain.,,5.0,5.0,5.0,4.0,5.0,5.0,dropbox
4,Tue Sep 10 2019 15:34:52 GMT-0700 (Pacific Daylight Time), Senior Software Engineer,"San Francisco, CA",Current Employee ,Great place to work and be creative,I have been working at Dropbox full-time for less than a year,,"Really appreciates you as an employee. Perks, pay and benefits are great. Work can be challenging or mediocre depending on the team you are in. Company culture is uplifting to say the least. Lots of creative energy flowing around.",Management is young and inexperienced. It shows in multiple iterations of the same product.,,5.0,5.0,5.0,4.0,5.0,3.0,dropbox
5,Wed Aug 28 2019 19:12:48 GMT-0700 (Pacific Daylight Time), Software Engineer,,Current Employee ,A mixed bag,I have been working at Dropbox full-time for more than a year,6.0,"Good compensation
Nice new building
A product that's actually useful and beneficial to its users
Many talented ICs (love my team and partner teams, but generally hate the management)","Bad management. 
Food is good but the logistics are terrible. Lines for days.
Poor culture, nothing is ever questioned or opposed. Being anything other than a koolaid drinker wouldn't be cupcake.
Did I mention bad management?","Promote people into management who have experience and are capable, not just the favored few who have been here a long time. It's also ok to hire management from outside. It's ALSO ok to get rid of managers instead of assuming the problem is the team because they say all the right BS to their management.",3.0,4.0,3.0,3.0,4.0,2.0,dropbox
6,Mon Sep 02 2019 12:13:11 GMT-0700 (Pacific Daylight Time), Product Support Specialist,,Current Employee ,Great Company,I have been working at Dropbox full-time for more than a year,,"Benefits are amazing! Great Perks, Wonderful People!","If you are not good in a constantly changing environment, this might not be a fit for you.",,4.0,4.0,4.0,3.0,5.0,3.0,dropbox
7,Sun Aug 11 2019 13:31:30 GMT-0700 (Pacific Daylight Time), Software Engineer,"Seattle, WA",Current Employee ,"Great place to work, impactful projects",I have been working at Dropbox full-time for more than 3 years,,"Amazing people, great office, and impactful projects",A bit of a hike for Eastsiders,,5.0,5.0,5.0,5.0,5.0,5.0,dropbox
8,Tue Aug 13 2019 21:12:51 GMT-0700 (Pacific Daylight Time),,,Current Employee ,Fantastic work-life balance,I have been working at Dropbox full-time for more than 3 years,,"Great people, work life balance, and mentorship.",Lots of changes. Must be agile.,,4.0,5.0,5.0,4.0,5.0,4.0,dropbox
9,Thu Aug 15 2019 07:40:09 GMT-0700 (Pacific Daylight Time),,, ,Out of touch with reality,I have been working at Dropbox,7.0," TuckShop food is amazing.
- Work/life balance means that most employees can work at home a few days a week.
- Cool office space and moving to new office soon."," Compensation below market.
- Equity value deceasing and most employees underwater due to continued slowing growth and increased costs.
- Company is out of touch with reality and sugar coats all communications. No real vision expect somehow magically connecting work. 
- Long time Dropbox employees promoted to senior leadership without much experience outside of the company. It’s amazing how badly things run when their only real jobs have been at Dropbox.
- Bloated organization with many long time employees just resting and beating.","Clean house, get experienced leadership to help, improve compensation, and formulate a coherent vision for the future.",1.0,5.0,1.0,3.0,1.0,3.0,dropbox
