date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Tue Nov 12 2019 22:00:09 GMT-0800 (Pacific Standard Time), Group Finance Manager,"Seattle, WA",Current Employee ,Great Place to Work,I have been working at Microsoft full-time for more than 10 years,,"Decent pay, multiple roles, ability to change disciplines, strong and supportive culture",Big company you might get lost or get a small area to manage,None,5.0,4.0,5.0,5.0,4.0,5.0
Mon Jan 28 2013 18:20:34 GMT-0800 (Pacific Standard Time),,"Redmond, WA",Current Employee ,Thoughts after 10 years....,I have been working at Microsoft full-time for more than 10 years,1580,"1. If you love tech, this is a great place. No doubt you'll talk tech (mostly the MSFT stack) from enterprise to consumer - from PCs to phones to Xboxes - from datacenter to desktop.

2. What were GREAT benefits are now VERY GOOD (took a small step down) but still probably better than you'll find at 99% of large corporations. If you've got family - the value of the benefits is even higher. 401k match is nice.

3. Even with it's struggles MSFT is still a cash printing machine. This means if you can keep your nose clean and do reasonable work, you can have a stable job, pay your bills, feed your family, and not worry (too much) about layoffs. The stock you own likely won't tank, but probably won't go up much either. You'll get a bonus each year and some stock. It's a decent life if you aren't looking to light the world on fire.","Brand on Your Resume: After many years of losing market share and struggling to be at the front end of innovation and the fact that there's 90,000 employees, don't think MSFT is necessarily going to be attractive on your resume to more agile and smaller companies.

Managing Your Career: Make you say this out loud so it registers - 90,000 employees work there. Double that for vendors. It is VERY hard to ""stand out"" and move up in the company. Don't expect your manager to be much of an advocate or enabler to help you meet your career goals - they are basically trying to survive the stack rank every year too. Not familiar with the stack rank? Check out the 2012 Vanity Fair article called ""Microsoft's Lost Decade"".","I'll type it here - but I don't they are listening...
1. Help proven talent move laterally in the company for new opportunities.
2. Kill/evolve the stack rank. Here's basically how it's viewed:. 30% of the company gets 1s and 2s - and they are happy. 50% get 3s and that basically feels like getting a ""C"" in school. This sucks for talented people when a multitude of UNCONTROLLABLE conditions keep you from getting into 1 or 2 range. The 20% getting anything below a 3 are walking dead. In summary, 70% of the company walk away from the review cycle feeling like crap. This is no good.

After 10 years, I'm leaving - it's just a matter of time until I find the right opportunity. I need to find a company spends 90% of it's time building technology experiences, as opposed to 90% of its time building PowerPoints. And I expect to refuse the exit interview - because if you really cared what I thought, you wouldn't ask me after I decided to leave.",4.0,4.0,2.0,2.0,4.0,
Tue Nov 12 2019 10:44:49 GMT-0800 (Pacific Standard Time), Senior Service Engineer,"Redmond, WA",Current Employee ,A Place to learn and explore,I have been working at Microsoft full-time for more than 10 years,,Learning curve and growth mindset,Managers need training to motivate employees,Please change or review managers frequently to ensure they don't dictate or threaten employees,5.0,3.0,4.0,5.0,4.0,3.0
Wed Nov 06 2019 15:17:25 GMT-0800 (Pacific Standard Time), Product Advisor,"San Juan, PR",Current Employee ,Great place to start your career,I have been working at Microsoft part-time for more than 3 years,1,"Great benefits even if your part-time
Good pay for the work 
Lots of growth if willing to relocate",Lots of self-learning and networking to achieve growth,,5.0,4.0,5.0,5.0,5.0,4.0
Fri Nov 08 2019 08:33:07 GMT-0800 (Pacific Standard Time), Principal Software Engineer,"Charlotte, NC",Current Employee ,Great company to work for,I have been working at Microsoft full-time for more than 10 years,,"Great culture, especially after Satya became CEO. Lots of innovation.",Career opportunities are very limited outside of Redmond.,Be more open to have teams outside of Redmond.,5.0,5.0,5.0,3.0,5.0,5.0
Fri Nov 08 2019 15:14:44 GMT-0800 (Pacific Standard Time), Software Engineer,"Redmond, WA",Current Employee ,Pretty good and Happy,I have been working at Microsoft full-time for more than 5 years,,Work life balance and flexible,Not open source and fast paced,,5.0,4.0,4.0,4.0,3.0,3.0
Thu Nov 07 2019 06:26:48 GMT-0800 (Pacific Standard Time), Manager,,Current Employee ,Great Work Place,I have been working at Microsoft full-time for more than 10 years,,"Smartest group around you, land of opportunities","Slow in pace, Politics, Fear of failure",,5.0,5.0,5.0,5.0,5.0,
Sat Nov 02 2019 16:10:58 GMT-0700 (Pacific Daylight Time), Sales,"Houston, TX",Former Employee ,Amazing and fast paced,I worked at Microsoft full-time for more than 5 years,1,Great salary and benefits. Tons of new stuff to learn.,"Toxic politics and arrogance, especially in middle management.",,5.0,3.0,5.0,5.0,5.0,5.0
Wed Nov 06 2019 07:57:16 GMT-0800 (Pacific Standard Time), Technology Strategist,,Current Employee ,Great Place at Great Time,I have been working at Microsoft full-time for more than 5 years,," Visionary CEO and innovative company
- Opportunity for broad exposure as Microsoft is in every customer segment
- Good overall pay and benefits"," Process/beaurocracy typical of large company
- HR processes can be outdated/career limiting at times",,5.0,,,,,
Wed Nov 06 2019 10:57:12 GMT-0800 (Pacific Standard Time), Principal PM,,Current Employee ,Great Company,I have been working at Microsoft full-time for more than 10 years,,Cultural transformation over the past few years makes this a great place to work. Stock price is on an upswing after a long time.,Some inertia in middle management results in creating barriers to people bringing in their best to work,Get out of the way when people are trying to do great work,5.0,5.0,4.0,3.0,5.0,3.0
Sat Nov 02 2019 16:10:58 GMT-0700 (Pacific Daylight Time), Sales,"Houston, TX",Former Employee ,Amazing and fast paced,I worked at Microsoft full-time for more than 5 years,1,Great salary and benefits. Tons of new stuff to learn.,"Toxic politics and arrogance, especially in middle management.",,5.0,3.0,5.0,5.0,5.0,5.0
Mon Nov 04 2019 20:36:31 GMT-0800 (Pacific Standard Time), SERVICE ADVISOR,"Bellevue, WA",Current Employee ,Services Advisor - Microsoft,I have been working at Microsoft full-time for more than 5 years,,Consistent customer focused culture. Excellent benefits!,Work life balance is decreased by 7 day/ 16 hour per day staffing necessities.,,5.0,3.0,5.0,5.0,4.0,4.0
Tue Nov 05 2019 12:52:31 GMT-0800 (Pacific Standard Time),,,Current Employee ,As a Microsoft leader my experience has been phenomenal.,I have been working at Microsoft full-time for more than 10 years,,"Satisfaction with innovating and implementing new ideas and concepts, growing businesses, and providing leadership and direction for my customers and colleagues.","Work-life balance can be challenging but Microsoft is flexible and accommodating. With the growth of the company, new opportunities to grow into a new role has become a challenge.",Continue expanding the business and implementing new concepts and products.,5.0,3.0,5.0,4.0,4.0,4.0
Mon Nov 04 2019 13:56:36 GMT-0800 (Pacific Standard Time), Technical Specialist,"Dallas, TX",Current Employee ,the nadellaissance is alive and well,I have been working at Microsoft full-time for more than 3 years,,"fun projects, smart people, innovative products, flexibility to change teams","work/life balance, pay starts out on the low side","keep on keepin' on, nice work Satya!",5.0,4.0,5.0,5.0,5.0,5.0
Sat Nov 02 2019 18:56:58 GMT-0700 (Pacific Daylight Time), Product Advisor,"Durham, NC",Former Employee ,Fun job with lots of upward mobility,I worked at Microsoft part-time,,You can move up in the company if you really want to,"Shifts are annoying, mostly all day",,5.0,3.0,5.0,5.0,5.0,4.0
Sat Nov 02 2019 11:12:29 GMT-0700 (Pacific Daylight Time), SDE1,"Seattle, WA",Former Employee ,"big company, great place",I worked at Microsoft full-time for more than 3 years,,"smart people, people from top school. good enviornment",sometimes developers need to talk with each other to avoid conflicts. Sometimes there is rework.,,5.0,4.0,4.0,4.0,4.0,4.0
Fri Nov 01 2019 11:33:36 GMT-0700 (Pacific Daylight Time), SDE1,,Former Employee ,I have been working full-time for 1yr,I worked at Microsoft full-time,,"No free food, but paid option is good",No cons at this time,,5.0,,,,,
Wed Oct 30 2019 17:12:43 GMT-0700 (Pacific Daylight Time), Senior Product Manager,"Redmond, WA",Current Employee ,Great place to work,I have been working at Microsoft full-time for more than 5 years,,Great perks and work life balance in most cases,"Slow release cycles, so things take longer to release.",,5.0,5.0,5.0,5.0,5.0,5.0
Wed Oct 30 2019 17:49:35 GMT-0700 (Pacific Daylight Time), Business Program Manager,"Redmond, WA",Current Employee ,Great place to work,I have been working at Microsoft full-time for more than 3 years,,"Good work/life balance, benefits are great, good projects, working with lots of smart people","Some office politics, bureaucracy, hard to change roles",,5.0,5.0,4.0,3.0,4.0,4.0
Thu Oct 31 2019 13:25:26 GMT-0700 (Pacific Daylight Time), Hardware Engineer,"Atlanta, GA",Current Employee ,technology company,I have been working at Microsoft full-time for more than 10 years,,"Cash machine. In its latest quarter, Microsoft generated $4.2 billion in operating cash flows on $20 billion in revenue.
Franchise businesses. Microsoft has a set of blockbuster business segments. They include Windows, Office, the Xbox and the server division. 
The cloud. This is a megatrend in technology.","Brain drain. Microsoft has had various departures of top executives.
Lack of focus. With huge cash flows, Microsoft has been aggressive in investing in new businesses.
Threats. Cash-cow businesses are always fat targets for competitors.",thank you for your service,5.0,4.0,5.0,5.0,5.0,5.0
Wed Nov 13 2019 12:22:46 GMT-0800 (Pacific Standard Time), Group Engineering Manager,"Redmond, WA",Former Employee ,I Love Microsoft,I worked at Microsoft full-time for more than 10 years,,"Great mission.
Smart and visionary leaders.
Great strategy.","Mileage varies depending on the organization and leader. Some groups have fanatic managers, however, there are others with leaders who will use their teams for their own political gain, so do your homework.",Find a way to filter out the narcissistic in the hiring process. It sucks working for them and they are masters of covering their tracks and the damage they leave behind.,4.0,4.0,4.0,5.0,5.0,4.0
Mon Oct 28 2019 22:22:49 GMT-0700 (Pacific Daylight Time),,,Current Employee ,something,I have been working at Microsoft full-time,,"good work lifebalance
nice work location",slow pace for promotion and …,,5.0,,,,,
