date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Mon Oct 28 2019 00:18:48 GMT-0700 (Pacific Daylight Time),,"Santa Clara, CA",Current Employee ,great place to work,I have been working at NVIDIA full-time for more than a year,,"great place to work, lots to learn and freedom to explore",salary hikes might be lower than expected,keep up the good work,5.0,4.0,5.0,5.0,2.0,4.0
Sun Oct 27 2019 09:57:39 GMT-0700 (Pacific Daylight Time),,"Santa Clara, CA",Current Employee ,Senior QA dev,I have been working at NVIDIA full-time for more than a year,,"Great work life balance
Cutting edge technology
CEO is exceptional","Compensation could be better
Review process could be improved",,5.0,5.0,5.0,5.0,3.0,5.0
Tue Oct 22 2019 13:07:09 GMT-0700 (Pacific Daylight Time), Senior Systems Software Engineer,"Santa Clara, CA",Current Employee ,Amazing Innovation with exemplary leadership,I have been working at NVIDIA full-time for more than 3 years,,Ownership with failures. Leadership navigates teams to right projects based on their skillset. Pivots quite fast.,Chaos with a few groups and sometimes does not help with the larger vision.,,5.0,5.0,4.0,4.0,4.0,5.0
Thu Oct 10 2019 00:44:03 GMT-0700 (Pacific Daylight Time), Senior Software Developer,"Santa Clara, CA",Current Employee ,Great innovative company with lots of possibilities,I have been working at NVIDIA full-time for more than 8 years,,"Flexibility and focus on results rather than formal procedures, so it is convenient to work here.
Great appreciation for innovation, research and improvements.
Steady growth in terms of career, and a lot of possibilities for personal development - like internal lectures/conferences, partner programs with universities, web learning portals, domain experts, etc.
Bleeding edge technology and experts in multiple fields, ties to the scientific R&D - and you can take part in any of those fields and acquire knowledge from experts.
Competitive salaries.
Management is mostly built of people with serious practical background, so they have a lot of understanding what is going on, and a vision that is both very practical, AND innovative.
Feeling that you build and shape future.","Mentioned flexibility doesn't work well for all of the people - some people feel comfortable with more strict, managed environment, strictly formulated tasks and timeframes, and don't appreciate too much of the individual freedom.
Resources of the company are more limited to those of a bigger companies which sometimes may be perceived as a good thing sometimes (work smarter, not harder), but otherwise it limits the potential possibilities.","IT infrastructure needs to be even better (it is being improved, but at rates that are slower that is desirable).",5.0,5.0,5.0,5.0,5.0,5.0
Wed Oct 23 2019 10:50:09 GMT-0700 (Pacific Daylight Time), Software Engineer,"Santa Clara, CA",Current Employee ,"Okay for a while, not a place to stay",I have been working at NVIDIA full-time for more than 8 years,," Salary and Bonuses are less than say, Google or Amazon, but still quite good. ESPP in particular is great generally, and has been amazing over the past 10-ish years.
- Fellow engineers tend to be dedicated and skilled.
- Being in a fabless semiconductor company provides unique challenges compared to say, transmitting advertisements 1% faster."," A switch to ""Agile"" development was done by people who have no idea what Agile is
- Depending on your team, if you don't put 6 hours in per day in JIRA, you will get a nag email. Helping other teams? No way! Going to meetings? Well, not too many...
- Corners are cut frequently. You will never feel proud of your work, always surprised it shipped.
- Does some task require special expertise? Well here is a 1 hour meeting about it a week after the task needs to be done. Maybe just read the slides, no time to actually attend that meeting. Want to read a book to understand the topic better? No way, there is no JIRA task for that.
- Employees complained about lack of Learning and Development resources so, they paid for Coursera. Not enough for all employees, so you may have to wait. No support for learning on the job, so I guess the idea is that you'll log in on a weekend to watch videos that are often freely available.
- Very few retros/post-mortems, multiple chips will go by without your team stopping to explore why testplans are always being trimmed to be actually completed, and even then very few changes will be implemented.
-Maybe you will work 12 hours a day , 7 days a week for months. Well enjoy your expensed lunches and dinners on the weekend, that's all it's going to get you. Counts for nothing towards management, Just say No when they ask.",,2.0,2.0,3.0,3.0,4.0,3.0
Mon Oct 07 2019 14:06:46 GMT-0700 (Pacific Daylight Time), Senior ASIC Design Engineer,"Austin, TX",Current Employee ,Great company,I have been working at NVIDIA full-time for more than 3 years,,"You can focus on your job, not dealing with the company. The engineering managers are also engineers. People work hard and are smart. Compensation is excellent. Nvidia is involved in a lot of very exciting technologies. Benefits are also good, and work hour expectations in my group are reasonable.","Some higher-ups are very opinionated, so significant decisions are often dictated by them. Certain significant people are very demanding, which can create some stress at times. It's a slightly aggressive culture, in terms of pushing for difficult challenges.","Show more appreciation. But honestly management is doing a good job. Although sometimes I wish certain people were a little more laid back, I do like that everyone works hard and gets a lot done.",5.0,5.0,4.0,4.0,5.0,5.0
Thu Oct 03 2019 16:32:20 GMT-0700 (Pacific Daylight Time), Senior Systems Engineer,"Santa Clara, CA",Current Employee ,"good culture, smart people",I have been working at NVIDIA full-time for more than 10 years,,"The company culture is designed for engineers to be able to do their best work. Honesty is rewarded, covering up is not. That's unusual in the tech world.
Rank and seniority don't mean a lot. If your idea is good, it doesn't matter who you are or how long you've been here.
Lots of people here who literally wrote the book on their technological specialty.
Zero tolerance for ethnic/racial/gender/age discrimination. That's not from HR, it's everywhere. Do or say something that appeals to stereotype or prejudice and people think you're an idiot. Maybe that's how things are in 2019 techworld, but it sure is refreshing.
The commitment to reducing our environmental footprint is genuine. The stuff I've fought for at other companies along those lines is already happening here. Company strongly encourages commuting by bike, public transit, carpool or work from home.","IT is under-resourced, and gets snookered by consultants and the occasional snake oil salesman.","Spend more on IT, and outsource less. IT needs to take user feedback more seriously.",5.0,4.0,5.0,5.0,5.0,4.0
Wed Oct 02 2019 12:10:55 GMT-0700 (Pacific Daylight Time), DevTech Engineer,"Durham, NC",Current Employee ,Great company that cares about employees and keeps up with market change,I have been working at NVIDIA full-time,,"Competitive pay
AMAZING benefits
Great senior leadership; Jen-Hsun has kept the company up-to-date and adapted to a very fluid market
Company's first priority in investment is people, not corporate fluff
Remote work (some positions)
Big company but startup culture
Ability to move within company",Some work can be repetitive at times (not always),,5.0,5.0,5.0,5.0,5.0,5.0
Tue Sep 24 2019 11:17:24 GMT-0700 (Pacific Daylight Time), Verification Design Engineer,"Austin, TX",Current Employee ,Inspiring leadership whom employees and shareholders actually believe in!,I have been working at NVIDIA full-time for more than a year,2,"Very competitive salary and benefits for this industry.
Very high level of technical and corporate transparency across teams/sites (this is in striking contrast to many other so-called leading companies in this industry!)
Everyone believes in and works towards the company's goals and vision.
High employee morale and corporate pride.
Shared sense of success (and failures too) - not a ""me"" culture.
Employees feel valued.
Minimal politics that would block technical people from achieving their goals.
Agile decision making and course correction to stay on track with product roadmaps.
Company does not live in the past or rest too much on past success.
Fair amount of work/life balance (as long as you take responsibility).","Not suitable for people who aren't self-starters - often frustrating when onboarding to a new team to get very little help from peers which results in wasted trial/error.
A lot of tribal knowledge and sparse/outdated internal documentation/websites make it difficult and inefficient to find information.
Matrixed org structure leads to firstline managers with unmanageable amount of direct reports resulting in very low opportunity for focused one-on-one time, coaching, and development.
Too much focus on projects and staffing at Headquarters - this leads to limited growth/movement opportunities for people outside of California.
Rapid growth is stressing the company's resources and historically closeknit culture.","Thank you for being open, transparent, and most of all trusting your employees with the technical knowledge that you share globally within the company.

NVIDIA has grown up into a 14k+ employee global enterprise. It's time to realize that the old matrix/flat org structure isn't scalable anymore and doesn't support employee development. This is in large part due to managers who can no longer deliver results AND develop their people if their staff/scope is too large. 

Top level leadership should change the message to project/team managers that good talent may not necessarily exist (or want to live) in Santa Clara and they MUST be open to supporting cross-site teams. Otherwise, non-California employees will miss out on growth opportunities, get frustrated, and will be quickly recruited away by your competitors.",5.0,4.0,5.0,3.0,5.0,4.0
Fri Sep 27 2019 10:27:21 GMT-0700 (Pacific Daylight Time), Senior Software Engineer,"Santa Clara, CA",Current Employee ,Great place to work,I have been working at NVIDIA full-time for more than a year,,"Who doesn't like video games, robots, self driving cars, AI, and high performance computing all in one company? There are projects in almost every area of hardware and software design. Great culture around designing the highest performance products based on what can be done verses what is ""good enough"". The benefits are good, Jensen understands and cares about employees.","Deadlines can be tight, a lot is asked of employees to deliver at times, so can be stressful like most companies.","Mostly, keep doing what you are doing. Tech companies depend on good engineers having interesting work, the tools to do a good job, and keeping overheads of meetings and process low.",5.0,4.0,5.0,5.0,5.0,5.0
