date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Mon Sep 16 2019 20:25:13 GMT-0700 (Pacific Daylight Time), Staff Engineer,"San Diego, CA",Former Employee ,Staff Engineer,I worked at Qualcomm full-time for more than 8 years,,"location, smart engineering, san diego",growth is an issue as you progress,,5.0,3.0,4.0,,,
Mon Nov 11 2019 12:20:34 GMT-0800 (Pacific Standard Time),,,Current Employee ,Design Engineer,I have been working at Qualcomm full-time,,Good Benefits except for the base,Less base than other companies.,,4.0,,,,,
Fri Nov 08 2019 13:47:35 GMT-0800 (Pacific Standard Time), Director of Engineering,"San Diego, CA",Former Employee ,Well stabilized Organization,I worked at Qualcomm full-time for more than 10 years,,"Innovation, Leadership, Technology and opportunities","Highly competitive. Silos, cost and project redundancies",,5.0,,,,,
Sat Nov 09 2019 00:40:37 GMT-0800 (Pacific Standard Time), Staff Engineer,"San Diego, CA",Current Employee ,Bright Teammates,I have been working at Qualcomm full-time for more than 5 years,,Very smart colleagues. to work with,Work pressure is pretty high.,,5.0,3.0,5.0,5.0,4.0,3.0
Wed Nov 06 2019 11:09:32 GMT-0800 (Pacific Standard Time), Senior Technical Writer,"San Diego, CA",Former Employee ,The greatest employer for many many years; but things have definitely changed.,I worked at Qualcomm full-time for more than 10 years,,On-site gyms & cafe. Bi-annual reviews w/ possible bonuses/raises. Industry leading technology. Flex hours.,Constantly defending against law suits. Substantial budget cutbacks & fear of layoffs.,"Diversify product offerings. Renegotiate royalty structure once and for all, to avoid constant legal battles.",4.0,5.0,5.0,5.0,5.0,3.0
Tue Nov 05 2019 08:02:26 GMT-0800 (Pacific Standard Time), Senior Staff Engineer,"San Diego, CA",Former Employee ,Used to be great place to work at,I worked at Qualcomm full-time for more than 5 years,,Leading technology in some area,Politics among teams prevents collaboration,,4.0,4.0,3.0,4.0,4.0,3.0
Mon Nov 04 2019 09:16:15 GMT-0800 (Pacific Standard Time), Engineering Manager,"Bridgewater, NJ",Former Employee ,"Good place to work, may not be good in the long term",I worked at Qualcomm full-time for more than 10 years,,"Great people, good pay, good benefits.
Work/Life Balance is left up to the employees.","If there's a layoff the workers go first, upper level managers go last.",Consider laying yourselves off before the workers.,4.0,4.0,4.0,3.0,5.0,3.0
Thu Oct 31 2019 09:25:30 GMT-0700 (Pacific Daylight Time), Intern,,Former Employee ,Intern at Qualcomm,I worked at Qualcomm part-time for less than a year,,It was a great company to work for.,"No complaints, it was a great experience.",,5.0,,,,,
Wed Nov 13 2019 13:50:01 GMT-0800 (Pacific Standard Time)," Salary Not High Enough, Bonus Not Much","San Diego, CA",Current Employee ,salary not enough,I have been working at Qualcomm full-time for more than 3 years,,ok to work for.. good people,"salary not high enough, bonus not much",increase salary,3.0,3.0,2.0,3.0,2.0,3.0
Sun Oct 27 2019 08:05:48 GMT-0700 (Pacific Daylight Time),,"San Diego, CA",Former Employee ,Principal Financial Analyst,I worked at Qualcomm full-time for more than 8 years,,"A company that cares about their finance organization and provides all the right systems and tools to do your job efficiently and effectively. Lots of onsite perks including several on campus gym facilities. Excellent compensation and bonuses if you succeed in your role. Lots of room to grow inside your current business area or even outside through rotating within the company. Very bright, innovative people to work with.",Many layoffs over the course of several years,,4.0,3.0,5.0,5.0,5.0,5.0
Fri Oct 25 2019 13:49:30 GMT-0700 (Pacific Daylight Time),,,Current Employee ,Great company,I have been working at Qualcomm full-time,,Everything was great. I enjoyed it,None I can think of,Keep doing good,5.0,5.0,5.0,5.0,5.0,
Wed Oct 23 2019 20:32:39 GMT-0700 (Pacific Daylight Time), Engineer,"San Diego, CA",Current Employee ,Fun and Boring at the same time,I have been working at Qualcomm full-time for less than a year,1,"Good pay for San Diego
Lunch Meetings have free food for my team
Great learning for new grad - managers give you lots of time to learn
It's in San Diego","Close to 0 RSU
Salary is alright but there's a lot of better companies
Workload can be a lot
Night meetings with Bangalore once in a while",If you expect the best product you can't just pay ok or good salary,4.0,3.0,4.0,4.0,3.0,4.0
Fri Nov 08 2019 22:21:16 GMT-0800 (Pacific Standard Time), Marketing,,Former Employee ,One trick pony,I worked at Qualcomm full-time for more than 3 years,,Sweet spot of the cellular market,CEO has no skill nor vision for acquisition to expand the company,,3.0,3.0,2.0,3.0,3.0,1.0
Mon Oct 21 2019 11:52:32 GMT-0700 (Pacific Daylight Time),,"New York, NY",Former Employee ,good you must try,I worked at Qualcomm part-time for more than a year,,"free life
no worries
high salary package",no i coudlnt find yet,,4.0,4.0,4.0,4.0,4.0,4.0
Tue Nov 05 2019 00:49:04 GMT-0800 (Pacific Standard Time), Staff Engineer,,Former Employee ,Good benefits,I worked at Qualcomm full-time,,"Good benefits, work-life balance and good opportunities in SD",Lots of folks seem jaded,"Get non-technical, poor people skilled managers out of the way to get the best out of the engineers",3.0,4.0,4.0,4.0,4.0,3.0
Mon Oct 21 2019 08:18:06 GMT-0700 (Pacific Daylight Time), IT Analyst,"Boston, MA",Former Employee ,Good Company,I worked at Qualcomm full-time for more than a year,,opportunities for success and improvement,management was slow reacting generally,I enjoyed all your help.,4.0,5.0,5.0,4.0,4.0,4.0
Fri Nov 01 2019 14:05:44 GMT-0700 (Pacific Daylight Time), Senior Program Manager,"San Diego, CA",Current Employee ,Too big and ruthless senior management,I have been working at Qualcomm full-time for more than 3 years,,"Good Benefits, health plan, work spaces","Too many levels of management 
Environment is too political",,3.0,3.0,2.0,4.0,4.0,2.0
Wed Oct 09 2019 17:05:57 GMT-0700 (Pacific Daylight Time), Staff Engineer,"San Diego, CA",Former Employee ,Good work-life balanced,I worked at Qualcomm full-time for more than 5 years,,Good work-life balanced. Not much pressure.,Relatively lower salary. Caring Wall Street's feeling much more than their engineers' feeling.,,4.0,5.0,3.0,3.0,2.0,4.0
Wed Oct 09 2019 22:19:35 GMT-0700 (Pacific Daylight Time), Principal Engineering Manager,,Current Employee ,good company,I have been working at Qualcomm full-time for more than 10 years,,Interesting projects when you are in the right group at the right time.,Most groups are too top heavy.,Keep your technical people occupied with interesting projects.,4.0,4.0,3.0,4.0,4.0,2.0
Tue Oct 15 2019 12:11:20 GMT-0700 (Pacific Daylight Time), Staff IT Project Manager,"San Diego, CA",Former Employee ,"Lost their way in terms of investing in employees, loyalty, and best places to work at",I worked at Qualcomm full-time for more than 5 years,1,Fortune-100 environment with lots of skill expansion opportunities,Too many legal battles around the world took its toll on Q's values. Even the best are dispensable due to the allure of off-shoring in the face of financial crunch to pay legal bills.,Get new management,3.0,3.0,1.0,3.0,3.0,1.0
Thu Nov 07 2019 23:09:42 GMT-0800 (Pacific Standard Time), Engineer,"San Jose, CA",Current Employee ,Engineer,I have been working at Qualcomm full-time for more than 3 years,,Flex-time off policy and some smart engineers,"Talent isn’t appreciated in this company at all. It’s a very political place, with a lot of political power given to directors of groups. So if your director is good, you can get better salary, better bonuses and timely promotions.
If your director isn’t good, good luck getting promoted even to senior engineer (btw promotion = 10k salary increase, which is way too small).

If you are in remote site (not in SD that is), good luck with finding opportunities for career growth within the company. Utterly disgraceful management, with loads of VPs reporting each other, who do nothing valuable for growth of this company. Upper management doesn’t really care for even basic needs of engineers (like monumental pay increase, creating work-friendly environment). Review system is biased and managers don’t really care about third party opinions (why even take them, if you don’t care about them?)

There are better companies out there. Avoid like plague.","Value your employees. Typically engineers. They are the ones who fill your pockets and make you filthy rich. Pay them well. Assist them in their personality development and career growth (typically at remote sites) and most importantly, stop making the place a political ground.",1.0,2.0,3.0,1.0,1.0,1.0
