date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Mon Nov 11 2019 19:01:34 GMT-0800 (Pacific Standard Time), Director,"Herndon, VA",Current Employee ,Most Innovative Company,I have been working at Salesforce full-time for more than 8 years,,Company with long term vision and strategy. 1-1-1 philanthropic model to help communities gives the employees a fulfilling experience. Working with super smart people always making right decisions to give customers a whole new experience. Great place to work with work life balance.,Long hours but rewarding experience.,,5.0,5.0,5.0,5.0,5.0,5.0
Sun Jul 21 2019 08:24:56 GMT-0700 (Pacific Daylight Time), Enterprise Account Executive,,Current Employee ,Be Careful What You Ask For....,I have been working at Salesforce full-time for more than 10 years,83,"Decent benefits, awesome technology, pioneered SaaS, like my teammates","Been here well over 10 years. Used to be my dream job. Now it’s just a job. Plan to retire in a few years or else I’d been running for the door. We used to chase Oracle (the enemy). With all the former ORCL leadership that has joined SFSC we have become the enemy. Senior sales management has little respect from the sales teams. They manage up, make you fabricate false forecasts, belittle you, treat you like chattel. Some execs have multiple harassment issues filed with HR, yet they not only remain they are promoted. I once called HR for the potential need for a FMLA and was informed that Salesforce was an “employment at will” company. Seriously, where’s the Ohana. Fortunately I didn’t require the FMLA. I’ve pulled a lot of punches in this review out of respect for the Salesforce I used to know and luv. Said enough...",Company need a BIG dose of introspection.,3.0,4.0,3.0,3.0,3.0,1.0
Sat Nov 09 2019 17:32:29 GMT-0800 (Pacific Standard Time), Senior Product Analyst,,Current Employee ,Good company,I have been working at Salesforce full-time for less than a year,2,"People are very humble and willing to help.I have the independence to control my workload, and I also like that I feel my work is connected to both my team and the company's overall strategy.Diversity & Inclusion is really good, Interesting work and endless opportunities .Good benefits and a lot of VTO activities to get involved in.","Was told that there is flexibility to work from home but it depends on the teams.My team prefers working in the office.I prefer working remote as I feel I am productive when I work from home as I can work more without having to stress out being stuck but I am pressurized to get to work.Being a global company, I think the managers need to be offer many remote/home-based work options and not micro manage about working from the office. Of course those instructions need to come from the leadership which this company lacks.","If you really call yourself a global company and believe in the term OHANA, then leadership should give the employees the freedom to telecommute/work remote if they want to and not pressurize them to come into the office.",5.0,4.0,5.0,3.0,5.0,3.0
Tue Oct 29 2019 10:49:31 GMT-0700 (Pacific Daylight Time),,"Chicago, IL",Current Employee ,Great place to work... if you aren't in Sales.,I have been working at Salesforce full-time for more than 3 years,14,"Salesforce runs a sales organization like no other. Even if you have been a seller for 30 years, one full year at Salesforce will elevate your game. You will leave here a far better seller than when you arrived. Their operational expertise, sales execution, deal inspection, etc., are better than anyone in the business (for now). 

I've worked with some of the smartest people I ever have in Enterprise software. Imagine the top 10% of the sellers at your current company. Now imagine that the entire Salesforce sales organization consists entirely of that top 10%. Yeah, that describes the intensity.","The executive leadership team at Salesforce exemplifies the values they espouse and they truly believe that the world can be changed by business. Unfortunately, the values that are core to our belief system (doing what's right for the customer, trust, etc.) do not filter down to the actual sales process. There's a tendency to encourage customers to do things unnatural to their buying process, all in the interest of making the month. 

You will subjected to immense pressure here. The company, to their credit, has tried to emphasize wellness with meditation rooms in each office, etc. But much like volunteer time off, I know very few sales people that have time to enjoy those perks outside of offsites.

With only 50% of AEs exceeding plan, your success depends entirely on timing and territory. AEs who have not missed their number in years come to Salesforce only to fail because the alchemy involved in assigning quotas. There's a reason why so many AEs turn over after less than 2 years. 

It's unfortunate as the company really wants to do well in the world. The","Re-evaluate the sales team's metrics for success and what will ultimately make the company successful long term. As a leader, I'm evaluated on one thing - ACV. Financially, there's no incentive to develop my sales reps, make them better, help them find new roles within the company, help them evolve into the next generation of leaders, etc. 

Your incentive plan dictates the actions you want leaders to take. If ACV is a manager's only focus, what do you think the manager will focus on to the exclusion of all else? Incorporate metrics around employee satisfaction, retention, development, etc. The message you have been sending is that salesforce does not want leaders, only sales managers. 

More importantly, based on the metrics that are important to the company (i.e. growth and ACV), the managers who excel are the ones that drive their teams into the ground. Yes, it's an enterprise software company and yes, ACV matters, but the question leadership needs to ask itself is ""at what expense?"" 

In my little over 3 years here, it's apparent there's been a shift in the culture. Whether that's the ""Oracle"" undercurrent that's been forming over the past few years or simply challenges in the business, Salesforce has definitely lost it's glimmer as a destination career. When I first joined, I truly believed I would work here for the next 20 years. After 3 years, I can't wait to get out.",3.0,1.0,4.0,2.0,3.0,4.0
Fri Nov 08 2019 06:03:17 GMT-0800 (Pacific Standard Time), Enterprise Account Executive,"Boston, MA",Current Employee ,Starting to see growing pains but still incredible place to work,I have been working at Salesforce full-time for more than 3 years,1,Most recognized product stack in the industry that customers love and build their careers on.,Our internal complexities are sometimes difficult to shield from customers.,"Remember our ""customer success"" roots and try to remember to build relationships with customers throughout the year.",5.0,3.0,4.0,5.0,5.0,4.0
Fri Nov 08 2019 11:02:27 GMT-0800 (Pacific Standard Time), SMTS Software Engineer,"Burlington, MA",Current Employee ,Best place to work,I have been working at Salesforce full-time for more than 3 years,,"I have worked here for 3+ years. Great culture, benefits, technology and work life balance. I have previously worked at couple other top places to work but nothing like Salesforce.",Complexity due to lot of acquisitions.,,5.0,5.0,5.0,5.0,5.0,5.0
Wed Oct 30 2019 08:49:46 GMT-0700 (Pacific Daylight Time), Executive Assistant,"San Francisco, CA",Current Employee ,Amazing Company with Uncanny Kindness,I have been working at Salesforce full-time for less than a year,2," Fast to put ideas into actions.
- Management backs eachother up.
- Management back employees up.
- The company has unlimited resources for employees to use.
- The IT department is always there to help within seconds.
- People genuinely want you to succeed.
"," The company moves very fast.
- There is very little room for mistakes.
- People expect you to put in 110% all the time, which is easy if you love your job.",Keep dialogue open with all employees. Make sure to acknowledge good work that you see.,5.0,5.0,5.0,5.0,5.0,5.0
Wed Oct 30 2019 11:16:13 GMT-0700 (Pacific Daylight Time), Lead Solutions Engineer,"Chicago, IL",Current Employee ,Best Career Move I Ever Made,I have been working at Salesforce full-time for less than a year,2,"The culture, the benefits, the opportunity. They ask a lot of their employees, but give you the resources to succeed. Would absolutely recommend working here to anyone.",The sales side of things can be hyper-politicized at times. We're a high-performing sales team with big quotas and big goals; with that comes big egos.,,5.0,5.0,5.0,5.0,5.0,5.0
Sun Nov 10 2019 18:40:02 GMT-0800 (Pacific Standard Time), Sales,,Former Employee ,Not going to retain top sales talent,I worked at Salesforce full-time for more than a year,5," Great product and vision 
- great benefits 
- decent salary"," if you are coming for consistent huge commission checks think again. 
- quotas over 400% of PY actuals 
- comp plans do not encourage the right behavior, if you can even figure them out 
- you will sell, but will take multiple years to paint a vision that ends up in a sale large enough to hit your quota."," review and adjust comp plans. 
- You are going to lose a ton of talent on the front lines if you don’t, if you even care. 
- Incent sales teams to create strategic customers.",3.0,4.0,5.0,5.0,3.0,4.0
Fri Nov 01 2019 15:40:29 GMT-0700 (Pacific Daylight Time), Senior Sales Engineer,"San Francisco, CA",Current Employee ,Not a Safe Place to work. Completely Corrupt HR Organization and massive bullying,I have been working at Salesforce full-time for more than a year,13,"Well Known Product
Well Thought Out Documentation
Good Equipment
Plenty of Events & Snacks","* Yelled at for seeing Doctor while employed
* Scheduled Vacation Prior to Initiating Employment, later yelled at for being on leave when we had previously scheduled
* Massive Manipulation and Lying
* Use of Sexual Innuendo to Manipulate in Sales
* Constant Changing of Hours and Needs making home life and commuting unbearable
* Management Yelling in Conference Rooms
* Inpatient Colleagues who disconnect calls while on phones with clients
* Talking to other colleagues is very frowned on in other departments
* Absolutely no bad talk allowed of company anywhere, despite the difficulties you will be fired if any word of a complaint is uttered.
* Constant Stream of people coming and going. Definite preference for young people. 
* Forced Signing of Documents due to duress.
* Use and training given to management on guilt shamming and utilizing coworkers to destroy team members.
* Very little severance to compensate for medical issues associated with employment.","You arent going to change a thing, so just avoid this place like the plague.",2.0,1.0,2.0,3.0,4.0,1.0
