date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Mon Jul 01 2019 01:57:52 GMT-0700 (Pacific Daylight Time),,,Current Employee ,Process assistance,I have been working at Amazon full-time,,Looks nice and it’s awful,Nothing to be described,,5.0,,,,,
Sun Jan 10 2016 17:33:15 GMT-0800 (Pacific Standard Time),,"Seattle, WA",Current Employee ,You Get What You Put In,I have been working at Amazon full-time,2009,"Really smart people, a lot of opportunity for growth, always encouraged to be innovative, think big, and create something new. Competitive salary and benefits with other major tech companies. 100% self motivating work environment. No dress code and 4 legged friends are welcome.","You have to be self motivated. NO ONE will hold your hand and tell you that you're doing a great job. If you need constant affirmations from management, this company isn't for you.",More on-boarding training before new employees are thrown in the fire. The first couple of weeks can be very confusing on where to find the information you need that pertains to your job.,5.0,4.0,5.0,5.0,5.0,5.0
Sat Feb 20 2016 18:05:10 GMT-0800 (Pacific Standard Time), Senior Engineering Manager,"Seattle, WA",Current Employee ,"Exciting Work, Abusive Culture",I have been working at Amazon full-time for more than 8 years,1905,"Jeff Bezos and his ""S-Team"" are brilliant and continue to make great decisions for long-term growth. 

You work with smart people, you work on exciting projects, you are pushed to your limits...which can be rewarding when you accomplish great things. The diversity of the potential work and innovation can be very alluring. I've often called Amazon my ""Sexy Mistress...she's emotionally abusive, but she's so sexy that I go back for more punishment.""","The management process is abusive, and I'm currently a manager. I've seen too much ""behind the wall"" and hate how our individual performers can be treated. You are forced to ride people and stack rank employees...I've been forced to give good employees bad overall ratings because of politics and stack ranking.","Don't pretend that the recent NY Times article was all about ""isolated incidents"". The culture IS abusive and it WILL backfire once stock value starts to drop. I'm an 8 year veteran and I no longer recommend former peers to interview with Amazon.",3.0,3.0,3.0,3.0,4.0,4.0
Fri Feb 23 2018 13:41:40 GMT-0800 (Pacific Standard Time), Software Development Manager,"Phoenix, AZ",Current Employee ,An Amazing Place to Work,I have been working at Amazon full-time for less than a year,743,"I've been at Amazon for a month now, and I've seen none of the horror stories being communicated to the public, although Amazon is a large enough company that I'm sure there are good pockets and bad pockets. Everyone here is really smart, and wants to succeed both personally, and as a company. People collaborate and help each other, focus on data, and truly focus on the customer. Every company I've ever worked for talks about how important the customer is, but on day 2, they're forgotten. Amazon seems to genuinely focus on what's best for the customer, and it's awesome to be in meetings where people actually bring that up, and make decisions focused on long-term customer satisfaction.

The opportunities to learn here are literally unlimited, and the opportunity to take on new responsibility is as well. I honestly believe you can be as awesome as you want here.","No cons, so far - seriously. Like I said, I'm sure Amazon has some bad pockets in it here and there, but this is an amazing job, an amazing opportunity, and the biggest thing I have to complain about is that it's a little chilly in our building. I can live with that.

Does Amazon demand high quality, measurable results? Yes! Is it hard work? Yes! Is it rewarding? Yes! So I'm not calling that a 'con'. Work/life balance seems comparable to other places I've worked - not worse.",,5.0,4.0,5.0,5.0,5.0,5.0
Tue Dec 17 2013 12:31:58 GMT-0800 (Pacific Standard Time), Software Development Manager,"Seattle, WA",Current Employee ,"Can be amazing for some people, horrible for others",I have been working at Amazon full-time for more than 3 years,1385,"Amazon is doing lot's of cool stuff...but lots of boring stuff too. There are really well run teams...and very badly run teams. The experience for software managers and engineers is all over the board, from really run low operational load teams to teams where people burn out after a year.

 - Amazon is built, quite deliberately, to be Darwinian. You can generally expect that anyone who's been here for more than 2 years is competent and motivated or they wouldn't have survived. You can count on them as long as your priorities are aligned. There aren't many slackers here, and they don't survive long.
 - We work on so much stuff that there's always an opportunity to find amazing cool stuff to work on (note that it's an 'opportunity', one that you have to pursue)
 - A chance to make a huge difference
 - A place where you can learn a lot about all kinds of things, both technical and about yourself
 - Amazon encourages high mobility - even your manager can't prevent you from moving to another team within 6 weeks (normally, more than a few months under unusual conditions).
 - Your friends and family have actually heard of the place you work and have at least a vague notion of what Amazon does without you having to explain"," You're responsible for your own career progression and finding the places and teams that are doing the stuff you want to do. No one is going to take you by the hand and help you with that.
- Amazon is built, quite deliberately, to be Darwinian. The strong survive and the weak perish (metaphorically speaking) and the 'bar' is constantly increasing. The level of performance that would have been acceptable five years ago will get you canned today. It's a kind of crucible that'll help you develop a harder edge, if you can survive, that can serve you well in your career and in life, but it's often not a pleasant experience.

I wouldn't recommend it as a place to work for just anyone.","Stack ranking is a horrible practice since it's rife with favoritism. It's also not Amazonian in that it's not data based (arbitrarily designating a certain percentage of employees that must be put on performance management isn't a data driven criterion) and it's not frugal (effectively forcing an individual out of the company in one division who would make the grade in another is either retaining someone who doesn't meet the bar or a waste of talent). The goal is to force managers to actually make the hard decisions about how their team members compare with each other (not everyone can be exceptional), but it has more defects than virtues. Replace it with a common comparison of each person against the bar for their position, based on data. The percentages that are assigned to each performance category will turn out how they turn out, but there will be an evaluation mechanism that's fair and frugal.",4.0,3.0,3.0,5.0,5.0,4.0
Thu Mar 23 2017 08:51:55 GMT-0700 (Pacific Daylight Time),,"Seattle, WA",Former Employee ,We are now in a world where we are condescended to by our inferiors,I worked at Amazon full-time for more than 5 years,553,This company gets A list performance from C list employees. The culture is quick and hard charging. You are always working in relevant and meaningful projects.,"Maybe because the company recruits C listers who have neither merit (intelligence, strategic vision) nor pedigree (academic or professional accomplishments), most of those who become successful do so in treacherous, low cunning ways.

Imagine the Lannisters in Game of Thrones attacking the Starks in Game of Thrones; or Rawls and Burrell attacking McNulty and Daniels in The Wire; or Barrow and O'Brien attacking Mr Bates in Downton Abbey. This is every day leadership behavior at Amazon. The culture at Amazon is so infested with these middling talent weasels who have juked the stats and schemed their way to positions of power that new employees coming in actually start thinking that this behavior is normal and expected if you want to ""manage people.""

The work itself was stimulating and fulfilling, but the sneering condescension of the d bags that cheated and skated their way through high school and party colleges, then just converted their winky nod nod good 'ol boy shenanigans into a ""ask no questions, have no introspection"" company culture have made manifest some of the worst criticisms of capitalism. Any left leaning political aspirant would look at this business organism and immediately have content to lash out against the corruption that can come in free enterprise where hard work is not rewarded, and the connected, incestuous, privileged class lounge their way to wealth while treating their employees and customers like some kind of filth their shoe picked up on the street.","Bezos you bought the Washington Post and hired Jay Carney to be your PR head. There is nothing I can write here that you would deign listen to, because you are a hack. You must be mad that Expedia beat you to the punch and hired Chelsea Clinton to serve on their board of directors.

For those grasping Weasels that have squirmed and back stabbed your way to success, you know who you are. You won't care what is written here because ""You got yours, Eff them.""

For those truly diligent and hard working employees that don't want to believe the story from NY times that called Amazon a ""Snake Pit"" because you don't want to think you actually are involved in such a dystopian landscape of anti-business ethics: ""Always yell with the crowd. It is the only means to be safe.""",4.0,2.0,2.0,1.0,5.0,1.0
Sat Nov 09 2019 23:07:32 GMT-0800 (Pacific Standard Time), Customer Service Supervisor,"Winchester, KY",Former Employee ,"Great job, if you can handle the pressure",I worked at Amazon full-time for more than a year,1,"Great culture, customer centric, pay was good","Constantly changing standards without warning, causing frustration on leadership and agents alike",,5.0,4.0,5.0,4.0,5.0,4.0
Tue Nov 12 2019 15:54:42 GMT-0800 (Pacific Standard Time), Sortation Associate,"Garland, TX",Former Employee ,Best Job i ever had,I worked at Amazon part-time for more than a year,,"Amazing Co Workers, fun to work with",It's sometimes hot in there with no air conditor,,5.0,,,,,
Tue Nov 12 2019 18:34:13 GMT-0800 (Pacific Standard Time), Amazon Delivery Driver,"Milford, MA",Current Employee ,Good place to work and plenty of overtime,I have been working at Amazon full-time for less than a year,,"Good pay, friendly coworkers, option to do overtime",Sometimes you have to work over 8 hours in order to complete one day of work,,5.0,2.0,4.0,3.0,4.0,4.0
Tue Nov 12 2019 17:58:16 GMT-0800 (Pacific Standard Time), Cloud Support Engineer,,Current Employee ,Great team and place to work,I have been working at Amazon full-time,,Great team Growth opportunities Good leadership,The only con is that my job was pretty similar day in and day out.,,4.0,,,,,
