date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Tue Nov 12 2019 11:16:45 GMT-0800 (Pacific Standard Time), Manager,"Raleigh, NC",Current Employee ,Great place to work,I have been working at Cisco Systems full-time for more than 5 years,,"Strong leadership, amazing work/life balance, work hard/play hard atmosphere",Not much room for growth with certain departments due to very little turnover.,,5.0,5.0,5.0,3.0,5.0,5.0
Mon Nov 11 2019 15:25:14 GMT-0800 (Pacific Standard Time), Business Analyst,"Raleigh, NC",Current Employee ,Love the Culture,I have been working at Cisco Systems full-time for more than a year,,"Great company culture, flexible work schedule, lots of exposure",Company is shifting strategies so can experience some growing pains- but this also creates a great opportunity to be part of the transformation,,5.0,5.0,5.0,4.0,4.0,4.0
Mon Nov 04 2019 20:46:30 GMT-0800 (Pacific Standard Time), Program Manager,"San Jose, CA",Current Employee ,Awesome place to work for,I have been working at Cisco Systems full-time for more than 10 years,1,Great perks. Work/life balance. Ability to work remotely,Threat of layoffs always hanging over your head.,,5.0,5.0,5.0,4.0,4.0,4.0
Sun Nov 03 2019 22:24:18 GMT-0800 (Pacific Standard Time), Engineer,"San Jose, CA",Current Employee ,Great place to work with lots of exciting projects,I have been working at Cisco Systems full-time for more than 10 years,,"work culture
compensation
team work and great group dynamics; everyone covers others back",multiple projects at same time.,,5.0,4.0,5.0,5.0,5.0,5.0
Fri Nov 01 2019 14:05:39 GMT-0700 (Pacific Daylight Time), Customer Experience Manager,"Boulder, CO",Former Employee ,Customer Experience is the new Cisco Gig!,I worked at Cisco Systems full-time for more than 8 years,,"#1 place to work, great benefits, remote work potential","BIG company and trend is to hire within San Jose, CA or RTP, NC",Trust your people to do the right thing!,5.0,4.0,4.0,5.0,5.0,4.0
Tue Oct 29 2019 20:51:45 GMT-0700 (Pacific Daylight Time), Consulting Engineer/Customer Delivery,"Honolulu, HI",Current Employee ,Amazing organization,I have been working at Cisco Systems full-time for less than a year,,"Culture, Benefits, Pay, Education Opportunities",None; this place is amazing.,Keep up the good work.,5.0,5.0,5.0,5.0,5.0,5.0
Wed Nov 13 2019 06:52:23 GMT-0800 (Pacific Standard Time), Director,"Raleigh, NC",Former Employee ,Cisco Director Comp,I worked at Cisco Systems full-time for more than 10 years,,"Comp, Flexibility, Benefits, Travel, Talent",Requires ability to constantly navigate politically,,4.0,4.0,4.0,4.0,5.0,4.0
Tue Nov 12 2019 15:19:43 GMT-0800 (Pacific Standard Time), Busineess Analyst,"Raleigh, NC",Former Employee ,Great big company,I worked at Cisco Systems full-time for more than 3 years,,Great benefits and employee stock purchase program. Lots of learning opportunities and work from home flexibility. Industry leader with a global reach,"Can be difficult working with people across the country, or in other countries. Such a large company, that it's easy to get bogged down in your small team. Some legacy employees seem to just coast by",,4.0,5.0,5.0,5.0,4.0,5.0
Mon Nov 11 2019 15:22:50 GMT-0800 (Pacific Standard Time), Principal Product Manager,"San Jose, CA",Former Employee ,Ageism Supreme,I worked at Cisco Systems full-time for more than 10 years,,"Good benefits
Good pay
Great bonuses if you're a grade 12 and a leadership pet","Your career at Cisco will end after 15 years and 4 years in the same position
Algorithmic layoff approach devised by McKinsey rolls around the organization
No matter what you do it WILL catch you eventually
NEVER plan to have a 20 year career as a loyal employee at Cisco, you'll get laid off 100%",be as obnoxiously adverse to experience to yourselves as you are to long term employees.,2.0,5.0,1.0,2.0,4.0,2.0
Tue Oct 22 2019 04:19:51 GMT-0700 (Pacific Daylight Time),,"New York, NY","Sales in New York, NY",Excellent career foundation location!,I worked at Cisco Systems for more than 8 years,,Had many opportunities for personal and professional growth! great company that truly empowers people to spread their wings and fly.excellent company to build a foundation in the tech industry.,Limited upside potential once you get to a certain level. Tends to be political as well. Not unlike many large companies.,Continue giving newer and younger employees opportunities. Excellent brand hallmark and breeding ground for outstanding tech talent.,5.0,5.0,5.0,4.0,5.0,4.0
Sun Nov 03 2019 17:21:23 GMT-0800 (Pacific Standard Time), Senior Software Engineer,"San Jose, CA",Current Employee ,Good place to work,I have been working at Cisco Systems full-time for more than 8 years,1,"* Depending on the project, but lately Cisco has been working on latest technology stack
* Good work life balance
* Lot of perks other than salary","* Less stock options as compared to other top companies in bay area
* Too much politics especially for growth",Need to pay more to retain good talent,3.0,5.0,4.0,3.0,3.0,3.0
Mon Oct 21 2019 08:10:07 GMT-0700 (Pacific Daylight Time), Business Development Manager,"Denver, CO",Current Employee ,Best Company I have ever worked for (out of 7 ) !,I have been working at Cisco Systems full-time for more than 10 years,,"1) A lot of very smart people everywhere around 2) Collaborative environment from Top and down 3) Focused on objectives and not on distractors (your appearance, time in the office or connected, others) 4) Encouragement for social responsibility and Give-Back activities 5) Equal Opportunities for everyone","1) A lot of work that challenges your ability to Managed your Time 2) As many other big corporations, in order to move fast there are frequent organizational changes that may impact people regardless of their performance",,5.0,5.0,5.0,4.0,5.0,5.0
Mon Nov 04 2019 09:15:23 GMT-0800 (Pacific Standard Time), Marketing Specialist,"Austin, TX",Current Employee ,Pretty good overall,I have been working at Cisco Systems full-time for more than 3 years,," Great people
- Lots of perks especially if you're in an office
- Very flexible
- Lot's opportunities to learn and grow, especially if you're early in career", Management always has too many priorities which makes it hard to know where you fit in. The work you put into a project may not amount to any long term value,,4.0,5.0,4.0,4.0,5.0,3.0
Sun Nov 03 2019 17:00:28 GMT-0800 (Pacific Standard Time), Design Engineer,"Chicago, IL",Current Employee ,"Great Environment, but very limited opportunities for growth",I have been working at Cisco Systems full-time for more than 3 years,,"Very good Salary for , Benefits, Work","Lack of engagement from management, disconnect with other employees, hard to feel at home",,4.0,2.0,2.0,5.0,5.0,3.0
Sat Oct 19 2019 18:57:38 GMT-0700 (Pacific Daylight Time), Software Engineer,"San Jose, CA",Current Employee ,Software Engineer at Cisco,I have been working at Cisco Systems full-time for more than 3 years,,"Great work culture, new products",Legacy collaboration tools and some old infrastructure,,5.0,5.0,5.0,5.0,5.0,5.0
Fri Nov 01 2019 08:57:02 GMT-0700 (Pacific Daylight Time)," Manager, Operations","San Jose, CA",Former Employee ,Too Political,I worked at Cisco Systems full-time for more than 10 years,,"Flexible Working Hours, there are always parties, free food if you know where the events are, bonus is a plus, leadership at the C level are transparent","Middle level management is too, very, extremely political, too many “yes” managers and employees, middle level has a good old boys club, business is heavily tied to macroeconomic political factors and decisions, lack of accountability, lack of appreciation for business results","Reward those that love the needle and not the “yes sir” employees/managers/directors, help employees develop in career goals instead of moving you protected employees in strategic positions",4.0,5.0,3.0,4.0,4.0,1.0
Thu Oct 17 2019 21:32:49 GMT-0700 (Pacific Daylight Time), Software Engineer,"San Jose, CA",Current Employee ,Good to be in Cisco,I have been working at Cisco Systems full-time for more than 5 years,,"* Networking
* Excellent team mates
* Work Culture",None of them in cons,,5.0,5.0,5.0,5.0,5.0,3.0
Wed Oct 16 2019 19:19:47 GMT-0700 (Pacific Daylight Time), Senior Director,"San Jose, CA",Former Employee ,Best Place To Work,I worked at Cisco Systems full-time for more than 8 years,,"Flexible work life balance, great culture",Reorganization can be more frequent than desired due to company going through a transition from hardware focused to software and recurring revenue,,5.0,5.0,5.0,4.0,4.0,4.0
Tue Oct 29 2019 09:46:52 GMT-0700 (Pacific Daylight Time),,"San Jose, CA",Current Employee ,Global Events Program Manager,I have been working at Cisco Systems full-time for more than 10 years,,"Innovative, Forward Thinking, Amazing Technology",Constant Restructuring; Must adapt to change,,4.0,3.0,3.0,4.0,4.0,3.0
Mon Oct 14 2019 09:58:20 GMT-0700 (Pacific Daylight Time), Senior Human Resources Manager,"Research Triangle Park, NC",Current Employee ,Great Company,I have been working at Cisco Systems full-time for more than 10 years,,"Innovation, endless resources, focus on people and experiences, work/life balance, great benefits","Big company, lots of people to keep up with",,5.0,5.0,5.0,5.0,5.0,5.0
Thu Oct 10 2019 16:20:03 GMT-0700 (Pacific Daylight Time), Data Scientist,"San Francisco, CA",Current Employee ,Nice Place to Work at,I have been working at Cisco Systems full-time for more than a year,1,"Flexibly , strong remote work culture, great work life balance, good diversity (gender and racial), variability in teams and projects you can choose to work on, solid benefits and perks","new in data science, frequent re-orgs, no free food every day of the week",at least in the bay area offices provide more food options to add efficiency and compete with other big companies,5.0,5.0,5.0,5.0,4.0,4.0
