date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Fri Oct 04 2019 07:17:25 GMT-0700 (Pacific Daylight Time), Sales Specialist,"Atlanta, GA",Current Employee ,"Fantastic brand, amazing tech and services, just trending in the wrong direction",I have been working at IBM full-time for more than 5 years,,Opportunity to work at the leading edge of technology,"Massive company, often feel like a number. General market performance isn't great.",,5.0,4.0,3.0,5.0,5.0,4.0
Tue Nov 12 2019 09:17:37 GMT-0800 (Pacific Standard Time), Program Director,"Littleton, MA",Current Employee ,Always Changing,I have been working at IBM full-time for more than 10 years,,"Always moving towards new technology and delivering solutions/software to solve large fortune 500 companies problems. Thus you get to deal with many of the largest companies of the world, trying to solve the problems they face.","Always pressure to be more efficient, do more with less","Take the long term view, versus just the next quarter or two...",4.0,4.0,3.0,4.0,3.0,4.0
Tue Nov 12 2019 21:07:32 GMT-0800 (Pacific Standard Time), Software Engineer,,Former Employee ,Work EX,I worked at IBM full-time for more than 3 years,,Good Company to Learn and Grow,no so good with pay,,4.0,5.0,5.0,4.0,3.0,5.0
Mon Nov 11 2019 16:17:38 GMT-0800 (Pacific Standard Time), Research Engineer,,Current Employee ,Amazing Research; Old Company,I have been working at IBM full-time,,"Ridiculous Freedom
Great Pay
Brilliant, Collaborative Peers","Not many ""perks"" (free food, etc.)
A bit slow at times due to it being old and slow",,4.0,5.0,4.0,5.0,5.0,3.0
Mon Nov 11 2019 16:26:15 GMT-0800 (Pacific Standard Time), Executive,,Current Employee ,Great company to work,I have been working at IBM full-time for more than 8 years,,Its an amazing organization with lot of opportunities,Too big to make an impact,,4.0,3.0,3.0,4.0,3.0,4.0
Sun Nov 10 2019 04:16:15 GMT-0800 (Pacific Standard Time), Senior Advisory Consultant,"New York, NY",Current Employee ,Company that is invested in you,I have been working at IBM full-time for more than 10 years,,"Opportunity to work with cutting edge technology, flexibility to define one's own career path, opportunity to learn and grow","Tool based career growth path leading to slow growth, compensation much below market",,4.0,5.0,5.0,5.0,3.0,5.0
Tue Nov 05 2019 09:23:05 GMT-0800 (Pacific Standard Time), Advisory Software Engineer,"Endicott, NY",Current Employee ,"Good place to work, though everything is *just good enough*",I have been working at IBM full-time for more than 10 years,1,"somewhat competetive salary, work with modern technologies, fairly good benefits. Great work/life balance.","base salary compensation is essentially all you get. bonuses are possible, but they are not guaranteed, and are usually very tiny. Not many ""perks"" left to being an IBMer either. No free food, or even coffee at the office.",,4.0,5.0,5.0,4.0,3.0,3.0
Thu Nov 07 2019 16:33:48 GMT-0800 (Pacific Standard Time), Cloud Software Engineer,,Current Employee ,Great company,I have been working at IBM full-time for less than a year,,"benefits, ethics, leadership, training, security",The company is gigantic and so their processes are slow,,5.0,4.0,5.0,5.0,5.0,5.0
Wed Nov 06 2019 14:50:58 GMT-0800 (Pacific Standard Time), Regional Sales Manager,"New York, NY",Former Employee ,great company,I worked at IBM full-time for more than 3 years,,company treats it employees well,lots of employees and employees are not visable,no real advice,4.0,4.0,4.0,4.0,4.0,4.0
Tue Nov 05 2019 07:01:11 GMT-0800 (Pacific Standard Time), Partner,"Charlotte, NC",Former Employee ,startup within 100 year old company,I worked at IBM full-time for more than a year,,enables new technology investments to mature,Bonusses are not so great,,4.0,3.0,4.0,3.0,2.0,3.0
Tue Nov 05 2019 17:58:44 GMT-0800 (Pacific Standard Time), Business Transformation Consultant,"New York, NY",Current Employee ,Great Introduction to Tech Industry,I have been working at IBM full-time for more than a year,,Consulting at IBM provides you with great introduction to technology. Projects typically more on the side of long-term implementations versus short strategy projects.,No guarantee where you will end up within Global Business Services. Some practices have tremendous community while others are very isolating.,,4.0,4.0,5.0,4.0,4.0,4.0
Sat Nov 02 2019 21:52:37 GMT-0700 (Pacific Daylight Time), Hardware Engineer,,Former Employee ,Good,I worked at IBM full-time for more than 3 years,,"Great perks, fine time And good people",Lots of work To do,,5.0,5.0,5.0,5.0,5.0,5.0
Sun Nov 03 2019 11:50:09 GMT-0800 (Pacific Standard Time), IT Project Manager,"Jacksonville, FL",Former Employee ,great company to work for,I worked at IBM full-time for more than 10 years,,IBM Provides lots of training for their employees,IBM does not provide many raises.,,4.0,4.0,4.0,4.0,4.0,4.0
Fri Nov 01 2019 20:55:15 GMT-0700 (Pacific Daylight Time), Technology Analyst,,Former Employee ,Best working experience one could ever ask for.,I worked at IBM full-time,,Great Environment and company culture,A little slow and lumbering at times,,5.0,3.0,5.0,5.0,5.0,4.0
Thu Oct 31 2019 13:49:18 GMT-0700 (Pacific Daylight Time), Human Resources Professional,,Former Employee ,Smart people looking to do the right thing,I worked at IBM full-time,,"Working with good people, with very strong ethics and values.",Bit of an hierarchical environment,,4.0,4.0,5.0,4.0,4.0,4.0
Thu Oct 31 2019 20:38:01 GMT-0700 (Pacific Daylight Time), Project Manager,,Former Employee ,Good place to work,I worked at IBM full-time for more than 8 years,,"Good place to work.
Work from home option available",Not a great pay master.,,4.0,,,,,
Wed Oct 30 2019 19:22:41 GMT-0700 (Pacific Daylight Time), Senior Financial Analyst,"New York, NY",Current Employee ,Great experience,I have been working at IBM full-time for more than 5 years,,Going through large scale transformation,Very complex and multilayered organization,Be open,4.0,3.0,4.0,4.0,3.0,3.0
Wed Oct 30 2019 20:54:07 GMT-0700 (Pacific Daylight Time), Financial Analyst,"New York, NY",Current Employee ,Good starting point,I have been working at IBM full-time for more than a year,,Lots to learn. Surrounded by very intelligent people OUTSIDE of finance,Old technology within the company. Lots of turnover,Invest in your people,4.0,5.0,5.0,5.0,3.0,5.0
Tue Oct 29 2019 06:19:09 GMT-0700 (Pacific Daylight Time),,,Current Employee ,technician,I have been working at IBM full-time for more than a year,,A very flexible place as long as you do your tasks.,Not as big as it used to be.,,4.0,5.0,5.0,4.0,4.0,4.0
Tue Oct 29 2019 07:04:41 GMT-0700 (Pacific Daylight Time),,,Current Employee ,Struggling but good,I have been working at IBM full-time,,Opportunity for early career professionals,Quarter to quarter focus for sales - loses sight of long term plays.,,4.0,,,,,
Tue Nov 12 2019 06:43:46 GMT-0800 (Pacific Standard Time), Software Engineer,,Former Employee ,Underpaid for type of work,I worked at IBM full-time for more than 5 years,,they provided great benefits to employees,they lack culture in the office,,3.0,,,,,
Tue Nov 12 2019 11:41:47 GMT-0800 (Pacific Standard Time), Associate Director,,Current Employee ,Decent Pay / Customer Support is not good,I have been working at IBM full-time for more than a year,,Decent pay and good training in place,Mid Level Management leaves because Top manages just bounce around doing whatever necessary to stay. Support for clients is not good and they spend to much time using Slack to troubleshoot issues vs communicate via phone on emergencies.,,3.0,,,,,
Mon Oct 28 2019 19:32:49 GMT-0700 (Pacific Daylight Time),,"Poughkeepsie, AR",Current Employee ,Software Developer,I have been working at IBM full-time for less than a year,,"Flexible, Lots of Free time, Good work from my experience, and decent pay.",Overall needs revamp to become major company again. It has the potential but squanders it on old tech. I believe in the company though.,,5.0,5.0,4.0,4.0,4.0,5.0
Tue Nov 12 2019 14:45:49 GMT-0800 (Pacific Standard Time), Consultant,,Former Employee ,Hop on the downward spiral,I worked at IBM full-time for more than a year,,Still some access to some interesting projects,Management doesn't know how to properly manage interesting projects,,2.0,2.0,4.0,1.0,3.0,1.0
Thu Oct 24 2019 14:35:24 GMT-0700 (Pacific Daylight Time)," Director, Data Science","Raleigh, NC",Current Employee ,Best Company to work!,I have been working at IBM full-time for more than 10 years,1,"Great environment. True, open and honest collaboration towards enabling the client's success.",No Bonus. Weak Benefits. Poor Health Insurance Options,Reinstate meaningful Bonus (GDP) payments as back in the early 2000s.,5.0,4.0,5.0,5.0,1.0,3.0
Mon Oct 28 2019 11:57:13 GMT-0700 (Pacific Daylight Time),,,Former Employee ,somewhere to work,I worked at IBM full-time for less than a year,,friendly coworkers for the most part,just not the right fit for everyone,,4.0,,,,,
Mon Oct 28 2019 14:36:08 GMT-0700 (Pacific Daylight Time),,"Dallas, TX",Former Employee ,DPE Role,I worked at IBM full-time for more than a year,,Dynamic position with flexible challenges and solutions. Never a dull moment.,Resource constraints were constant.,Spend the money to support the client.,4.0,3.0,4.0,4.0,3.0,3.0
Sat Nov 09 2019 15:21:52 GMT-0800 (Pacific Standard Time), Competitive Specialist,"New York, NY",Former Employee ,Ok.. but there's better employers in the high tech field,I worked at IBM full-time for more than 8 years,1,Good team. Great management. Flexibility and autonomy,Top Leadership are out of touch and believe their own press releases.,Bring in new leaders with the ability to make change. Force brands to work together instead of everyone trying to increase their own fortunes. Provide stock grants to employees. Focus on employee engagement and moral.,3.0,3.0,2.0,4.0,4.0,2.0
