date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Sun Sep 29 2019 23:01:24 GMT-0700 (Pacific Daylight Time), Senior Staff Engineer,"San Jose, CA",Current Employee ,Very good company,I have been working at Samsung Electronics full-time for less than a year,,"very good benefit, including medical, cafe, gym. The coworkers are nicer. Team culture is a kind of like a family.",Need to call with Korea team and India team often. So most of the evenings are occupied by meetings.,,5.0,3.0,4.0,4.0,5.0,4.0
Wed Nov 06 2019 16:27:33 GMT-0800 (Pacific Standard Time), Senior Engineer,,Former Employee ,Good place to work!,I worked at Samsung Electronics full-time for more than a year,,"With Samsung across so many sectors, you'll find some of the best people in their fields.",The work culture probably isn't upto the mark.,,4.0,,,,,
Sat Nov 02 2019 19:04:42 GMT-0700 (Pacific Daylight Time), Engineer,,Former Employee ,Good for foreigners if you can adapt to local customs and culture.,I worked at Samsung Electronics full-time for more than 5 years,,Great benefits and campus. Has large resources.,Highly competitive. Limited upward mobility. Difficult to move internally. Experience highly dependent on team and business division.,,4.0,4.0,2.0,3.0,5.0,2.0
Fri Nov 01 2019 12:30:27 GMT-0700 (Pacific Daylight Time), Senior Financial Analyst,,Current Employee ,Potential - Growing Company,I have been working at Samsung Electronics full-time,,Potential Growing Company in business,Great place I like it,,5.0,4.0,4.0,4.0,4.0,4.0
Wed Oct 30 2019 20:36:09 GMT-0700 (Pacific Daylight Time),,, ,Forklift operator and Assembly operator warehouse associate,I worked at Samsung Electronics,,Great place to work great pay. Great place to retire and family environment.,From my knowledge there are no cons from what I read on your company page .,I would love to work for your company it's been a dream too now that you have located a plant here in my home town and your products are the best product to buy .,5.0,,,,,
Sat Nov 09 2019 23:47:40 GMT-0800 (Pacific Standard Time), Semiconductor Technician,"Austin, TX",Current Employee ,Probably the top semiconductor company in Texas,I have been working at Samsung Electronics full-time for more than a year,,"Excellent modern Facility
Innovative Technology
Awesome Benefits
Clean and Organized","Engineers are treated better than anyone else
Technician Advice is usually ignored
Terrible parking arrangement
High Stress
Slow pay increases, will low ball you in pay if you let them",,3.0,3.0,3.0,3.0,3.0,3.0
Fri Nov 08 2019 16:25:46 GMT-0800 (Pacific Standard Time), Field Sales Manager,,Current Employee ,No,I have been working at Samsung Electronics full-time for more than a year,,"Pay, discounts, varied work, travel to events",No work life balance. Numerous operational inefficiencies. No job security,,2.0,1.0,2.0,2.0,4.0,2.0
Sat Nov 02 2019 20:58:42 GMT-0700 (Pacific Daylight Time), Senior Product Manager,,Former Employee ,Strategic Product Work,I worked at Samsung Electronics full-time for more than 5 years,,"Most of the PM work was very strategic - preparing business cases, evangelizing and pitching.",Top Management re-org very often,,3.0,3.0,3.0,4.0,3.0,3.0
Fri Oct 18 2019 11:44:31 GMT-0700 (Pacific Daylight Time), Samsung Experience Consultant,"Dallas, TX",Current Employee ,Work life balance,I have been working at Samsung Electronics full-time for more than a year,,"good place to learn, good benefits",work life balance is not good,,4.0,3.0,4.0,2.0,3.0,3.0
Thu Oct 17 2019 20:09:04 GMT-0700 (Pacific Daylight Time), DRAM Design Engineer,,Former Employee ,Great workplace in the world,I worked at Samsung Electronics full-time,,"Good compensation and benefits.
Smart people to work together.",Location was limited to Korea.,,4.0,,,,,
