date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Mon Oct 14 2019 10:38:12 GMT-0700 (Pacific Daylight Time),,, ,Great place to work,I have been working at Walmart eCommerce,,Flexible hours and workable hours,I just wish there was more pay,,5.0,3.0,3.0,5.0,3.0,3.0
Mon Nov 11 2019 15:26:05 GMT-0800 (Pacific Standard Time), Software Engineer III,,Current Employee ,A good place to work as a new grad,I have been working at Walmart eCommerce full-time for less than a year,,"The team is great, most people are friendly and easy to cooperate with. Work-life balance is good.","Limited free snacks, no healthy snacks, only apples and bananas; Limited parking lots.",,4.0,5.0,4.0,5.0,4.0,5.0
Sat Nov 02 2019 22:28:50 GMT-0700 (Pacific Daylight Time), Software Engineer,,Current Employee ,A decent place to work,I have been working at Walmart eCommerce full-time,,High base salary; good work-life balance; high-potential work,No free lunch and dinner; not generous at giving stocks,,4.0,4.0,4.0,3.0,3.0,3.0
Wed Oct 30 2019 11:59:29 GMT-0700 (Pacific Daylight Time), Pharmacy Manager,,Current Employee ,Pharmacy manager,I have been working at Walmart eCommerce full-time for more than 3 years,,Benifits are great at walmart,Hours are very long not much room to change Vacation time not always approved,,5.0,4.0,4.0,4.0,4.0,4.0
Tue Oct 29 2019 18:18:54 GMT-0700 (Pacific Daylight Time), QA Manager,,Current Employee ,Good learning experience,I have been working at Walmart eCommerce full-time,,This was a great position to learn about data integrity,The hours were demanding for this position,,4.0,,,,,
Mon Nov 11 2019 12:42:01 GMT-0800 (Pacific Standard Time), Cashier/CSM,,Former Employee ,Nope Never Again Will i...,I worked at Walmart eCommerce full-time for more than a year,,Money. Hours and thats about it,"hours, management, horrible lack in communication",,3.0,2.0,4.0,2.0,2.0,1.0
Sat Oct 26 2019 01:02:52 GMT-0700 (Pacific Daylight Time),,,Current Employee ,Tech Company with aspects of Traditional structure,I have been working at Walmart eCommerce full-time,,Flexible working times. WFH allowed Lunch and snacks available for free Open to trying out new things,"Organization structure is very rigid which causes working across teams difficult Work-life balance Showcasing yourself ""can be"" more rewarding than working hard",,4.0,2.0,4.0,4.0,3.0,3.0
Tue Nov 05 2019 20:08:27 GMT-0800 (Pacific Standard Time), Technician,,Current Employee ,have to write a review,I have been working at Walmart eCommerce full-time,,not much to say. it's a job,it's a typical retail job.,,2.0,,,,,
Mon Oct 21 2019 18:40:53 GMT-0700 (Pacific Daylight Time), Stock Clerk,,Former Employee ,Decent pay,I worked at Walmart eCommerce full-time for more than a year,,The schedule is great and benifits are OK.,Management is stressed to the max for productivity,,4.0,4.0,3.0,3.0,3.0,3.0
Tue Nov 05 2019 12:38:05 GMT-0800 (Pacific Standard Time),,, ,Assistant store manager,I worked at Walmart eCommerce,,Great pay Great opportunity for advancement,Excessive pressure to perform Last minute corporate visits Endless hours,,3.0,,,,,
Wed Oct 30 2019 14:48:47 GMT-0700 (Pacific Daylight Time), Category Specialist,"San Bruno, CA",Current Employee ,"frustrating and misleading role, do not fall for it",I have been working at Walmart eCommerce full-time for more than a year,4,"culture was fun at first, knowledgeable manager, exposure to wide variety of tasks/projects. decent pay and the unlimited PTO is amazing - but why would being away from the job be the best pro?","scope of the role is far too large and ill defined. day to day is spent flying by the seat of your pants to get things done last minute. upper management only cares about optics and reporting up, they don't care about developing those under them. nothing works from a cross-functional technology standpoint and forced to clean up messes/put out fires constantly as lowest level employees. anyone who has been here for a year is so miserable. i can't stress this enough.",,2.0,5.0,2.0,2.0,3.0,2.0
Thu Oct 17 2019 12:31:19 GMT-0700 (Pacific Daylight Time), Senior Legal Counsel,,Current Employee ,Better than I thought it would be,I have been working at Walmart eCommerce full-time for more than 8 years,,"Interesting legal work, good salary, mostly great co-workers","Politics, leadership, chaos, churn, lack of direction",,4.0,3.0,3.0,4.0,4.0,2.0
Mon Oct 14 2019 15:42:59 GMT-0700 (Pacific Daylight Time), Order Picker,,Current Employee ,Hood,I have been working at Walmart eCommerce full-time,,Good place to work and for experience,Not enough hours more pay,,4.0,4.0,,,,
Thu Oct 24 2019 15:03:29 GMT-0700 (Pacific Daylight Time), Category Specialist,,Current Employee ,Category Specialist at Walmart eCommerce,I have been working at Walmart eCommerce full-time for less than a year,2,• the work we were expected to do was interesting (pulling data and analyzing data),•the work environment was very competitive • there was a lot of tension between upper management,,2.0,2.0,2.0,4.0,3.0,1.0
