date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Thu Nov 14 2019 20:25:39 GMT-0800 (Pacific Standard Time), Technical,,Current Employee ,Great Company,I have been working at VMware full-time,,Best company I've ever worked for,Should have figured out a way to work here a long time ago.,Stay the course with great leadership,5.0,5.0,5.0,5.0,5.0,5.0
Mon Jun 24 2019 13:28:33 GMT-0700 (Pacific Daylight Time), Software Engineer,"Palo Alto, CA",Former Employee ,Great place to work that values quality of life and family,I worked at VMware full-time for more than 8 years,50,"VMware is a big company but in many ways had a startup vibe. That was great because the resources and infrastructure of a big company were there, but it gave most people I worked with freedom to work on many projects, influence, move around, and contribute in many ways. Plus, many things moved faster than they might at other companies of the same size. Perks were really great including bonuses, events on the campus, opportunities, etc.","The biggest con is the annual layoff. During most of the years I was there, we were growing like crazy, beating expectations, gaining in stock price, etc. It was always positive and upward. However, every single January, it was known that there would be a round of layoffs, even when all numbers were looking great as they almost always were. Management called it restructuring. But, over the years, some really good people were let go for no apparent reason. Then to add insult to injury, a week or two later, there would be a company quarterly meeting discussing how VMware was doing so well and is still hiring, but they had to make some changes. It always felt dishonest and the sympathy for those let go came across as disingenuous.",January was always a nerve racking month and it completely destroyed any sense of loyalty to the company. I know a few people that completely changed their perception of VMware after a colleague of theirs was let go with no apparent rhyme or reason. Many people left shortly after as a result of losing loyalty to the company or for just being stressed out about themselves getting cut the next year.,5.0,5.0,4.0,4.0,4.0,1.0
Tue Nov 12 2019 20:33:44 GMT-0800 (Pacific Standard Time), Member of Technical Staff,,Current Employee ,Awesome work,I have been working at VMware full-time,,I loved the culture and team,All was good and nothing as much,Keep it up. Awesome place to work for!,5.0,5.0,5.0,5.0,5.0,5.0
Mon Nov 11 2019 16:41:43 GMT-0800 (Pacific Standard Time), MTS3,,Current Employee ,Good engineering culture and work life balance,I have been working at VMware full-time,,Good engineering culture and work life balance,RSU refreshers have been on decline,,5.0,,,,,
Tue Nov 12 2019 09:56:33 GMT-0800 (Pacific Standard Time), MTS2,"Atlanta, GA",Current Employee ,Excellent work life balance & Engineering culture,I have been working at VMware full-time for more than a year,,Excellent work life balance & Engineering culture,RSU refresher have been on decline,,5.0,,,,,
Sun Nov 10 2019 12:36:47 GMT-0800 (Pacific Standard Time), MTS1 Software Engineer,,Former Employee ,Awesome experience. Lot of learning,I worked at VMware full-time,,Lot of learning Flexible timing Friendly employers,I cannot think of any cons,,5.0,,,,,
Thu Nov 14 2019 22:45:00 GMT-0800 (Pacific Standard Time), Senior Program Manager,,Former Employee ,"Great company, depending on your manager",I worked at VMware full-time for more than 8 years,,The company vision and strategy are truly inspiring. Benefits are excellent. VMware has amazing people to work with!,Your manager can make your life miserable and is allowed to do so. Working up the management chain to get relief is useless. HR is useless. No ability to transfer if your manager does not support the transfer.,"Pay attention to what many prior employees say about power hungry, micro-managing, controlling managers. This has driven many stellar employees away.",4.0,5.0,5.0,3.0,5.0,3.0
Wed Oct 30 2019 10:03:24 GMT-0700 (Pacific Daylight Time), Prefer Not to Answer,"Palo Alto, CA",Former Employee ,Great Culture and Great People,I worked at VMware full-time for less than a year,,The people who work here are incredibly friendly and enjoy coming into work every day. The hours are flexible and the focus is in the value that you have to the company and what works best for your schedule rather than mandating a rigid 9-5 schedule.,"It is a large company that recently went through a reorganization, so a lot of individuals were still trying to figure out their new roles and how they fit into the grand scheme. Overall though I believe the company did a good job detailing the new structure and goals.",,5.0,5.0,5.0,5.0,5.0,5.0
Mon Nov 11 2019 13:55:56 GMT-0800 (Pacific Standard Time), Sales,"Palo Alto, CA",Former Employee ,vmware palo alto,I worked at VMware full-time for more than a year,,"great tech, strong vision, relevant in the market",Lots of policies and politics,,4.0,3.0,4.0,4.0,4.0,4.0
Tue Oct 22 2019 16:46:30 GMT-0700 (Pacific Daylight Time), Business Systems Analyst,"Austin, TX",Former Employee ,One of the best employers,I worked at VMware full-time for more than 3 years,,"Great company - Good culture, lots of opportunities to learn, Great benefits",Not many - typical of a larger company,,5.0,5.0,5.0,4.0,5.0,5.0
