"jobTitle","meanPay","Range"
"Computer Scientist","$131,410/yr","Range: $12K - $194K"
"Software Engineer","$114,624/yr","Range: $75K - $170K"
"Senior Computer Scientist","$176,234/yr","Range: $120K - $241K"
"Senior Software Engineer","$141,455/yr","Range: $93K - $192K"
"Product Manager","$141,469/yr","Range: $101K - $184K"
"Senior Product Manager","$165,227/yr","Range: $127K - $198K"
"Quality Engineer","$106,718/yr","Range: $86K - $134K"
"Senior Program Manager","$155,690/yr","Range: $116K - $194K"
"Software Quality Engineer","$108,724/yr","Range: $80K - $145K"
"Account Development Manager","$61,498/yr","Range: $45K - $119K"
"Senior Manager","$164,074/yr","Range: $104K - $222K"
"Engineering Manager","$163,555/yr","Range: $137K - $206K"
"Program Manager","$127,217/yr","Range: $85K - $174K"
"Member of Technical Staff","$99,403/yr","Range: $82K - $125K"
"Intern - Hourly","$32/hr","Range: $13 - $57"
"Group Product Manager","$196,660/yr","Range: $172K - $238K"
"Account Manager","$78,035/yr","Range: $51K - $115K"
"Senior Consultant","$127,891/yr","Range: $99K - $150K"
"Senior Engineering Manager","$200,678/yr","Range: $165K - $246K"
"Director","$208,859/yr","Range: $146K - $267K"
"Intern - Hourly","$27/hr","Range: $22 - $51"
"Project Manager","$99,715/yr","Range: $61K - $147K"
"Scientist","$120,944/yr","Range: $103K - $150K"
"Senior Product Marketing Manager","$166,369/yr","Range: $140K - $200K"
"Product Marketing Manager","$136,912/yr","Range: $107K - $153K"
"Senior Account Executive","$127,963/yr","Range: $73K - $173K"
"Research Scientist","$155,304/yr","Range: $129K - $184K"
"User Experience Designer","$111,428/yr","Range: $65K - $162K"
"Financial Analyst","$65,936/yr","Range: $53K - $87K"
"Software Developer","$104,981/yr","Range: $78K - $141K"
"Software Engineer() - Hourly Intern","$39/hr","Range: $33 - $45"
"Senior Solutions Consultant","$143,918/yr","Range: $106K - $183K"
"Senior Experience Designer","$143,508/yr","Range: $133K - $148K"
"Business Development Manager","$138,201/yr","Range: $102K - $154K"
"Senior Marketing Manager","$172,517/yr","Range: $128K - $194K"
"Experience Designer","$115,885/yr","Range: $97K - $133K"
"Associate Consultant","$72,549/yr","Range: $62K - $101K"
"Quality Engineering Developer","$97,931/yr","Range: $89K - $155K"
"Senior Scientist","$158,940/yr","Range: $140K - $187K"
"Enterprise Account Executive","$110,316/yr","Range: $82K - $155K"
"Business Systems Analyst","$112,152/yr","Range: $80K - $159K"
"Business Analyst","$97,550/yr","Range: $55K - $135K"
"Solutions Consultant","$125,096/yr","Range: $76K - $162K"
"Marketing Specialist","$78,130/yr","Range: $64K - $90K"
"Technical Support Engineer","$72,694/yr","Range: $48K - $118K"
"Senior User Experience Designer","$141,161/yr","Range: $114K - $199K"
"Senior Account Manager","$106,361/yr","Range: $73K - $179K"
"Senior Financial Analyst","$118,979/yr","Range: $99K - $130K"
"Marketing Manager","$147,535/yr","Range: $96K - $162K"
"Senior Quality Engineer","$107,840/yr","Range: $100K - $129K"
"Principal Scientist","$246,885/yr","Range: $229K - $277K"
"Account Executive","$85,292/yr","Range: $50K - $159K"
"Senior Site Reliability Engineer","$148,023/yr","Range: $131K - $177K"
"Research - Hourly Intern","$54/hr","Range: $51 - $60"
"Technical Architect","$161,192/yr","Range: $136K - $178K"
"Customer Success Manager","$121,326/yr","Range: $68K - $162K"
"Data Scientist","$133,284/yr","Range: $87K - $238K"
"Computer Scientist II","$129,853/yr","Range: $109K - $152K"
"Consultant","$103,074/yr","Range: $69K - $143K"
"Software Engineering Manager","$165,693/yr","Range: $152K - $211K"
"Senior Technical Consultant","$118,686/yr","Range: $100K - $155K"
"Lead Quality Engineer","$108,311/yr","Range: $91K - $135K"
"Senior Project Manager","$121,920/yr","Range: $98K - $153K"
"Software Developer II","$113,125/yr","Range: $76K - $136K"
"Associate Account Manager","$56,156/yr","Range: $44K - $86K"
"Executive Assistant","$91,252/yr","Range: $72K - $110K"
"Software Engineer - Hourly Intern","$40/hr","Range: $32 - $56"
"Devops Engineer","$131,809/yr","Range: $108K - $169K"
"Site Reliability Engineer","$109,249/yr","Range: $83K - $158K"
"Member of Technical Staff II","$104,589/yr","Range: $90K - $131K"
"Manager","$161,735/yr","Range: $114K - $219K"
"Senior Enterprise Account Executive","$123,985/yr","Range: $79K - $146K"
"Senior Systems Engineer","$136,501/yr","Range: $102K - $181K"
"Software Engineering - Hourly Intern","$36/hr","Range: $30 - $43"
"Solutions Architect","$138,829/yr","Range: $87K - $189K"
"Business Solutions Analyst","$129,213/yr","Range: $108K - $156K"
"Software QA Engineer","$105,562/yr","Range: $74K - $145K"
"Legal Counsel","$179,886/yr","Range: $116K - $207K"
"Technical Consultant","$94,423/yr","Range: $74K - $130K"
"Product Management Director","$216,677/yr","Range: $211K - $261K"
"IT Project Manager","$124,373/yr","Range: $72K - $156K"
"Internship - Hourly","$52/hr","Range: $26 - $56"
"Systems Engineer","$118,593/yr","Range: $82K - $135K"
"Security Researcher","$133,559/yr","Range: $96K - $163K"
"IT Manager","$144,163/yr","Range: $122K - $195K"
"Network Engineer","$97,653/yr","Range: $78K - $144K"
"Senior Solutions Architect","$159,083/yr","Range: $120K - $193K"
"Senior Business Systems Analyst","$145,660/yr","Range: $125K - $173K"
"Engagement Manager","$165,067/yr","Range: $100K - $187K"
"Sales","$142,734/yr","Range: $97K - $171K"
"Principal Product Manager","$202,568/yr","Range: $171K - $248K"
"Senior Director","$220,091/yr","Range: $138K - $316K"
"California","$137,525/yr","Range: $77K - $210K"
"Staff Consultant","$94,188/yr","Range: $77K - $115K"
"Senior Technical Support Engineer","$112,207/yr","Range: $91K - $123K"
"Technical Account Manager","$113,300/yr","Range: $73K - $141K"
"Inside Sales Representative","$68,328/yr","Range: $54K - $129K"
"Quality Engineering Manager","$141,592/yr","Range: $112K - $159K"
"Sales Operations Manager","$80,886/yr","Range: $65K - $159K"
"Web Developer","$107,672/yr","Range: $61K - $113K"
"Group Product Marketing Manager","$187,647/yr","Range: $179K - $191K"
"Software Engineer Intern","$91,249/yr","Range: $79K - $101K"
"CA","$129,831/yr","Range: $77K - $160K"
"Data Analyst","$98,372/yr","Range: $49K - $140K"
"Finance Manager","$150,976/yr","Range: $143K - $163K"
"Sales Engineer","$138,709/yr","Range: $95K - $154K"
"Inside Sales","$64,100/yr","Range: $42K - $69K"
"Senior Technical Writer","$121,064/yr","Range: $103K - $138K"
"Quality Manager","$140,919/yr","Range: $128K - $151K"
"Senior Software Quality Engineer","$119,588/yr","Range: $94K - $166K"
"Software Engineer II","$115,460/yr","Range: $92K - $123K"
"Principal Consultant","$145,854/yr","Range: $115K - $154K"
"Business Consultant","$113,870/yr","Range: $88K - $165K"
"Staff Consultant, Adobe Consulting, for Omniture Technology","$87,213/yr","Range: $72K - $113K"
"Inside Sales Executive","$63,239/yr","Range: $55K - $76K"
"Research Scientist - Hourly Intern","$55/hr","Range: $54 - $59"
"Consultant III","$87,120/yr","Range: $77K - $99K"
"Software Developer - Hourly Intern","$34/hr","Range: $31 - $43"
"Data Science - Hourly Intern","$54/hr","Range: $48 - $54"
"Software Engineer - Hourly","$40/hr","Range: $37 - $61"
