"jobTitle","company","meanPay"
"Banking","Bank of America","$56,562/yr"
"Banking - Hourly","Bank of America","$19/hr"
"Banking","PNC Financial Services Group","$33,421/yr"
"Banking","J.P. Morgan","$85,178/yr"
"Banking","Goldman Sachs","$81,979/yr"
"Banking - Hourly","Popular","$11/hr"
"Banking","Quicken Loans","$41,584/yr"
"Banking","TD","$36,155/yr"
"Banking","Citi","$87,820/yr"
"Banking","Chase","$34,500/yr"
"Banking - Hourly","U.S. Bank","$17/hr"
"Banking","Admirals Bank","$54,020/yr"
"Banking","Wood & Huston Bank","$47,977/yr"
"Banking","Seacoast Bank","$42,802/yr"
"Banking","Amarillo National","$27,505/yr"
"Banking - Hourly","Commerce Bank","$19/hr"
"Banking - Hourly Intern","PNC Financial Services Group","$25/hr"
"Banking","Bay Federal Credit Union","$44,033/yr"
"Banking - Hourly","ASI Federal Credit Union","$11/hr"
"Banking","Wells Fargo","$50,543/yr"
"Banking - Hourly","Suncoast Credit Union","$17/hr"
"Banking - Hourly","M&T Bank","$15/hr"
"Banking - Hourly","J. C. Penney","$13/hr"
"Banking - Hourly","Kern Schools Federal Credit Union","$25/hr"
"Banking - Hourly","LogiGear","$40/hr"
"Banking","State Bank","$42,786/yr"
"Banking","Situs","$167,379/yr"
"Banking","First Independent Bank","$42,676/yr"
"Banking - Hourly","Columbia Bank (WA, OR & ID)","$13/hr"
"Banking","Charles Schwab","$37,799/yr"
"Banking - Hourly","Randstad US","$16/hr"
"Banking - Hourly","Chemung Canal Trust Company","$14/hr"
"Banking - Hourly","Cathay General Bancorp","$16/hr"
"Banking - Hourly","Allied Universal","$12/hr"
"Banking","State Street","$62,503/yr"
"Banking - Hourly Intern","Silicon Valley Bank","$18/hr"
"Banking","Barclays","$127,014/yr"
"Banking - Hourly","Chase","$16/hr"
"Banking - Hourly","Citizens Bank","$21/hr"
"Banking","Westamerica","$64,833/yr"
"Banking","North Dallas Bank","$131,126/yr"
"Banking - Hourly","Chemical Bank","$19/hr"
"Banking","Nuvision Federal Credit union","$140,472/yr"
"Banking","U.S. Bank","$96,814/yr"
"Banking - Hourly","Cadence Bank","$17/hr"
"Banking - Hourly Intern","Greenwich Associates","$16/hr"
"Banking - Hourly","BCU","$17/hr"
"Banking","Old Second National Bank","$154,063/yr"
"Banking","Joel R. Mogy Investment Counsel","$64,607/yr"
"Banking","Bankers Trust Company","$51,282/yr"
"Banking","Chesapeake Bank","$53,482/yr"
"Banking","Howard Bank","$45,888/yr"
"Banking","UPS","$43,525/yr"
"Banking","Presidential Bank","$34,369/yr"
"Banking","Assemblies of God Credit Union","$32,631/yr"
"Banking - Hourly","Synchrony","$13/hr"
"Banking - Hourly","Notre Dame Federal Credit Union","$18/hr"
"Banking","Commonwealth Bank of Australia","$164,170/yr"
"Banking - Hourly","Kim Elmore","$17/hr"
"Banking","General Motors (GM)","$58,638/yr"
"Banking","KeyBank","$26,919/yr"
"Banking","Citizens Bank","$70,237/yr"
"Banking - Hourly","C&I","$15/hr"
"Banking","Fifth Third","$45,225/yr"
"Banking","70kft","$75,468/yr"
"Banking - Hourly","USAA","$18/hr"
"Banking - Hourly","Umpqua Bank","$18/hr"
"Banking","myself","$22,685/yr"
"Banking - Hourly","Provident Bank","$13/hr"
"Banking","Columbia Bank (WA, OR & ID)","$64,795/yr"
"Banking","FirstBank (TN)","$50,806/yr"
"Banking - Hourly","Loomis","$15/hr"
"Banking - Hourly","Valley National Bank (OK)","$19/hr"
"Banking","FHLBank San Francisco","$158,225/yr"
"Banking","Eleni's NY","$23,119/yr"
"Banking","Comerica","$48,916/yr"
"Banking","CresCom Bank","$32,274/yr"
"Banking - Monthly","Bank of America","$3,140/mo"
"Banking","Centerview Partners","$97,030/yr"
"Banking","CNB Financial (PA)","$42,959/yr"
"Banking - Hourly","Capital Bank","$13/hr"
"Banking - Hourly","Fulton Bank","$14/hr"
"Banking","BrandBank","$97,041/yr"
"Banking - Monthly","Sitel","$4,013/mo"
"Banking","BB&T","$32,303/yr"
"Banking - Hourly","Independent Financial","$13/hr"
"Banking - Hourly","Netcost Funding","$18/hr"
"Banking - Hourly","Wells Fargo","$16/hr"
"Banking - Hourly","Unitus Community Credit Union","$25/hr"
"Banking - Hourly","Union Bank","$16/hr"
"Banking - Hourly","Educational Systems Federal Credit Union","$15/hr"
"Banking","Snoqualmie Casino","$45,888/yr"
"Banking","Azat","$30,024/yr"
"Banking","Spencer Trask Ventures","$64,694/yr"
"Banking - Hourly","Tyndall Federal Credit Union","$16/hr"
"Banking - Hourly","Amazon","$9/hr"
"Banking","Banco do Brasil","$27,115/yr"
"Banking","Huntington National Bank","$41,960/yr"
"Banking","Ridgewood Savings Bank","$63,290/yr"
"Banking","Northern Bank and Trust (MA)","$158,310/yr"
"Banking","Extraco","$53,482/yr"
"Banking - Hourly Intern","Capital One","$12/hr"
"Banking","Hughes Federal Credit Union","$37,252/yr"
"Banking - Hourly","Argosy Casino Hotel & Spa","$15/hr"
"Banking - Hourly","Hancock Whitney Bank","$12/hr"
"Banking","Genesee Regional Bank","$54,413/yr"
"Banking","NY SEFCU","$39,694/yr"
"Banking - Hourly Intern","Arvest Bank","$13/hr"
"Banking - Hourly","GardaWorld","$13/hr"
"Personal Banker I","Wells Fargo","$38,428/yr"
"Personal Banker","Bank of America","$43,420/yr"
"Licensed Personal Banker","J.P. Morgan","$36,733/yr"
"Personal Banker I - Hourly","Wells Fargo","$18/hr"
"Bank Teller - Hourly","Chase","$14/hr"
"Bank Teller - Hourly","J.P. Morgan","$13/hr"
"Personal Banker","Wells Fargo","$40,636/yr"
"Relationship Banker","J.P. Morgan","$41,607/yr"
"Relationship Banker","Chase","$37,160/yr"
"Personal Banker","Chase","$35,032/yr"
"Licensed Relationship Banker","Chase","$37,165/yr"
"Private Client Banker","Chase","$40,514/yr"
"Personal Banker I (SAFE)","Wells Fargo","$38,512/yr"
"Personal Banker","Citi","$45,726/yr"
"Personal Banker - Hourly","Bank of America","$20/hr"
"Investment Banking Associate","J.P. Morgan","$129,398/yr"
"Personal Banker - Hourly","Wells Fargo","$18/hr"
"Investment Banking Analyst","J.P. Morgan","$86,623/yr"
