"jobTitle","company","meanPay"
"Legal - Hourly Intern","Thomson Reuters","$16/hr"
"Legal","Jones Day","$190,368/yr"
"Legal - Hourly Intern","Quicken Loans","$12/hr"
"Legal","WLT Group","$69,354/yr"
"Legal - Hourly Intern","General Atomics","$17/hr"
"Legal - Hourly Intern","District Council 37","$18/hr"
"Legal - Hourly Intern","Weitz & Luxenberg","$18/hr"
"Legal - Hourly Intern","NetApp","$30/hr"
"Legal - Hourly Intern","Commonwealth of Massachusetts","$14/hr"
"Legal - Hourly Intern","Pratt & Whitney","$23/hr"
"Legal - Hourly Intern","Marvel Entertainment","$13/hr"
"Legal - Hourly Intern","Princess Cruise Lines","$19/hr"
"Legal","Jones Day","$187,920/yr"
"Legal","Progressive Insurance","$42,297/yr"
"Legal - Hourly Intern","NBCUniversal","$11/hr"
"Legal - Hourly Intern","FINRA","$23/hr"
"Legal - Hourly Intern","Legal Services of Eastern Missouri","$11/hr"
"Legal","Travelers","$59,037/yr"
"Legal - Hourly Intern","San Francisco City Attorney’s Office,","$16/hr"
"Legal - Hourly Intern","Coye Law Firm","$10/hr"
"Legal - Hourly Intern","Twentieth Century Fox","$13/hr"
"Legal - Hourly","Encore Capital Group","$16/hr"
"Legal - Hourly Intern","Travelers","$28/hr"
"Legal - Hourly Intern","MasTec","$16/hr"
"Legal - Monthly Intern","Amazon","$2,115/mo"
"Legal - Hourly Intern","Intuit","$27/hr"
"Legal","Starz Entertainment","$82,028/yr"
"Legal","DTI","$60,944/yr"
"Legal","UTC Aerospace Systems","$128,774/yr"
"Legal - Hourly Intern","Viacom","$22/hr"
"Legal","GEICO","$66,348/yr"
"Legal - Hourly Intern","The Kraft Group","$11/hr"
"Legal - Hourly Intern","Ain & Bank","$17/hr"
"Legal - Hourly Intern","Shumaker, Loop & Kendrick","$11/hr"
"Legal - Hourly Intern","Healthcare Legal Solutions","$18/hr"
"Legal - Hourly Intern","Fragomen","$22/hr"
"Legal","State of Wisconsin","$72,320/yr"
"Legal - Hourly Intern","Fidelity National Financial","$16/hr"
"Legal - Monthly Intern","Microsoft","$9,043/mo"
"Legal","Verizon","$125,852/yr"
"Legal","Macy's","$119,706/yr"
"Legal - Hourly Intern","Quest Diagnostics","$20/hr"
"Legal","AIG","$128,652/yr"
"Legal","FTI Consulting","$83,025/yr"
"Legal","Aramark","$80,150/yr"
"Legal - Hourly Intern","Regeneron Pharmaceuticals","$22/hr"
"Legal - Hourly Intern","Lionsgate","$10/hr"
"Legal - Hourly Intern","Pernod Ricard USA","$22/hr"
"Legal","Midland Credit Management","$101,618/yr"
"Legal - Hourly Intern","Cisco Systems","$41/hr"
"Legal","NCR","$123,401/yr"
"Legal","NBCUniversal","$58,563/yr"
"Legal - Hourly Intern","Suffolk County District Court","$14/hr"
"Legal - Hourly Intern","Maxwell Technologies","$11/hr"
"Legal - Hourly Intern","FireEye","$33/hr"
"Legal","The Coca-Cola Company","$65,922/yr"
"Legal - Hourly Intern","Anadarko Petroleum","$49/hr"
"Legal - Hourly Intern","Cypress Semiconductor","$32/hr"
"Legal - Hourly Intern","Think Finance","$22/hr"
"Legal - Hourly","Indiana State Police","$15/hr"
"Legal - Hourly Intern","Pilot Freight Services","$25/hr"
"Legal - Hourly","Codilis & Associates PC","$15/hr"
"Legal - Monthly","Inter-American Development Bank","$6,469/mo"
"Legal","Fairfax County Public Schools","$117,161/yr"
"Legal - Hourly Intern","Sturm, Ruger & Co","$18/hr"
"Legal - Hourly Intern","Harnett County- NC","$13/hr"
"Legal","Barclays","$236,875/yr"
"Legal - Hourly Intern","Center for Appellate Litigation","$16/hr"
"Legal - Hourly Intern","District Department of Transportation","$22/hr"
"Legal","Cummins","$181,123/yr"
"Legal - Hourly Intern","Alma Realty Corp","$20/hr"
"Legal - Hourly Intern","Energy Transfer","$27/hr"
"Legal - Hourly Intern","Austin Legal Group","$15/hr"
"Legal","Harry Fox Agency","$82,577/yr"
"Legal - Hourly Intern","Merrick Engineering","$20/hr"
"Legal - Hourly Intern","The Law Office of Kevin Patrick Seaver","$13/hr"
"Legal - Hourly Intern","Oshkosh Corporation","$18/hr"
"Legal","Pearson Online & Blended Learning","$64,438/yr"
"Legal","Law Offices of Ricky Malik","$92,940/yr"
"Legal","The Money Source","$74,397/yr"
"Legal - Hourly Intern","Cintra","$18/hr"
"Legal - Hourly Intern","The Office of the Ohio Public Defender","$18/hr"
"Legal - Hourly Intern","FCCI Insurance Group","$15/hr"
"Legal","America Chung Nam","$71,477/yr"
"Legal","Dell Technologies","$143,685/yr"
