"jobTitle","company","meanPay"
"Marketing","IBM","$86,547/yr"
"Marketing - Hourly Intern","Yelp","$9/hr"
"Marketing - Hourly Intern","Aramark","$10/hr"
"Marketing","Thomson Reuters","$62,246/yr"
"Marketing","Power Home Remodeling","$27,720/yr"
"Marketing - Hourly Intern","Philadelphia Insurance Companies","$13/hr"
"Marketing","Power Home Remodeling","$28,270/yr"
"Marketing - Hourly Intern","Verizon","$18/hr"
"Marketing - Hourly Intern","Stryker","$18/hr"
"Marketing","Faithlife","$43,314/yr"
"Marketing - Hourly Intern","L'Oréal","$20/hr"
"Marketing - Hourly Intern","Discover","$17/hr"
"Marketing - Hourly Intern","CUNA Mutual","$16/hr"
"Marketing - Monthly Intern","Cummins","$3,117/mo"
"Marketing - Hourly Intern","Cardinal Health","$19/hr"
"Marketing - Monthly","Power Home Remodeling","$2,061/mo"
"Marketing","Bisk","$47,899/yr"
"Marketing","GE","$83,906/yr"
"Marketing - Hourly Intern","Viacom","$11/hr"
"Marketing - Hourly Intern","Tyson Foods","$14/hr"
"Marketing","Backcountry.com","$54,098/yr"
"Marketing - Hourly Intern","Hewlett-Packard","$25/hr"
"Marketing - Hourly","Farmers Insurance Group","$11/hr"
"Marketing - Hourly Intern","Chick-fil-A","$10/hr"
"Marketing - Hourly Intern","NBCUniversal","$11/hr"
"Marketing - Hourly Intern","Southwest Airlines","$13/hr"
"Marketing - Hourly Intern","Sodexo USA","$13/hr"
"Marketing","Gibson Brands","$85,292/yr"
"Marketing - Hourly Intern","SAP Concur","$26/hr"
"Marketing","Caterpillar","$98,350/yr"
"Marketing","NCR","$79,380/yr"
"Marketing - Hourly Intern","Moen","$17/hr"
"Marketing - Hourly Intern","OpenSesame","$11/hr"
"Marketing - Hourly Intern","Unilever","$21/hr"
"Marketing - Hourly Intern","Plantronics","$16/hr"
"Marketing - Hourly Intern","PepsiCo","$27/hr"
"Marketing - Hourly Intern","State Farm","$10/hr"
"Marketing - Hourly Intern","SAP","$28/hr"
"Marketing - Hourly Intern","Ingersoll Rand","$20/hr"
"Marketing - Hourly Intern","Hasbro","$15/hr"
"Marketing","The Coca-Cola Company","$59,671/yr"
"Marketing - Hourly Intern","Walt Disney Company","$17/hr"
"Marketing","Veeam Software","$45,984/yr"
"Marketing - Hourly Intern","Paramount Pictures","$11/hr"
"Marketing - Hourly Intern","Marathon Petroleum","$21/hr"
