"jobTitle","company","meanPay"
"Pharmacy - Hourly Intern","CVS Health","$16/hr"
"Pharmacy - Hourly Intern","Walgreens","$16/hr"
"Pharmacy - Hourly Intern","KRUSE STAFFING","$18/hr"
"Pharmacy - Hourly Intern","Rite Aid","$18/hr"
"Pharmacy - Hourly Intern","Kroger","$15/hr"
"Pharmacy - Hourly Intern","Walmart","$16/hr"
"Pharmacy - Hourly","CVS Health","$15/hr"
"Pharmacy - Hourly Intern","Target","$16/hr"
"Pharmacy - Hourly","CVS Health","$15/hr"
"Pharmacy - Hourly Intern","Giant Eagle","$15/hr"
"Pharmacy - Hourly Intern","Safeway","$19/hr"
"Pharmacy - Hourly Intern","NewYork-Presbyterian Hospital","$24/hr"
"Pharmacy","Walgreens","$107,667/yr"
"Pharmacy - Hourly","Kroger","$18/hr"
"Pharmacy - Hourly Intern","Hy-Vee","$13/hr"
"Pharmacy - Hourly","Walgreens","$15/hr"
"Pharmacy - Hourly","Ingles Markets","$46/hr"
"Pharmacy - Hourly","Rite Aid","$26/hr"
"Pharmacy - Hourly Intern","Kmart","$15/hr"
"Pharmacy","CVS Health","$28,494/yr"
"Pharmacy - Hourly Intern","Ultimate Care","$39/hr"
"Pharmacy - Hourly Intern","Kaiser Permanente","$30/hr"
"Pharmacy","METRO PHARMACY","$33,736/yr"
"Pharmacy - Hourly","Kroger","$12/hr"
"Pharmacy - Intern","Neighbor Care Pharmacy","$37,297/yr"
"Pharmacy - Hourly Intern","Costco Wholesale","$19/hr"
"Pharmacy - Hourly Intern","UPMC","$18/hr"
"Pharmacy - Hourly Intern","Longs Drug","$18/hr"
"Pharmacy - Hourly","Walmart","$19/hr"
"Pharmacy - Hourly Intern","Thomas Jefferson University Hospital","$16/hr"
"Pharmacy - Hourly Intern","Boston Children's Hospital","$14/hr"
"Pharmacy - Hourly Intern","Fred Meyer","$23/hr"
"Pharmacy","AIDS Healthcare Foundation","$59,001/yr"
"Pharmacy","One Stop Pharmacy","$38,453/yr"
"Pharmacy - Hourly Intern","Massachusetts General Hospital","$16/hr"
"Pharmacy - Hourly Intern","Osco Drug","$22/hr"
"Pharmacy - Hourly","Walgreens","$18/hr"
"Pharmacy - Hourly Intern","Beaumont Health","$15/hr"
"Pharmacy","Walmart","$58,646/yr"
"Pharmacy - Hourly Intern","New England Baptist Hospital","$16/hr"
"Pharmacy - Hourly Intern","Shopko Stores","$15/hr"
"Pharmacy - Hourly Intern","Allina Health","$20/hr"
"Pharmacy - Hourly Intern","Vanderbilt University Medical Center","$15/hr"
"Pharmacy - Hourly","Kendall Regional Medical Center","$38/hr"
"Pharmacy - Hourly Intern","Stop & Shop","$15/hr"
"Pharmacy - Hourly Intern","Inova","$16/hr"
"Pharmacy - Hourly Intern","Smith's Food & Drug","$20/hr"
"Pharmacy - Hourly Intern","Boston Medical Center","$16/hr"
"Pharmacy - Hourly Intern","US Department of Veterans Affairs","$24/hr"
"Pharmacy - Hourly","Raulerson Hospital","$39/hr"
"Pharmacy - Hourly Intern","Meijer","$18/hr"
"Pharmacy - Hourly Intern","Duane Reade","$15/hr"
"Pharmacy - Hourly Intern","Irmat Drug Corp","$16/hr"
"Pharmacy - Hourly","Yakima Valley Farm Workers Clinic","$47/hr"
"Pharmacy - Intern","METRO PHARMACY","$36,032/yr"
"Pharmacy - Hourly Intern","Hannaford Bros.","$13/hr"
"Pharmacy - Intern","PALM SPRINGS GENERAL HOSPITAL","$30,998/yr"
"Pharmacy - Hourly Intern","St. Joseph's Hospital Health Center","$34/hr"
"Pharmacy - Hourly","Hospital of Saint Raphael","$24/hr"
"Pharmacy - Hourly","Sound Shore Medical Center","$19/hr"
"Pharmacy - Hourly","Walmart","$13/hr"
"Pharmacy","Target","$77,676/yr"
"Pharmacy - Intern","PSJ PHARMACY","$56,909/yr"
"Pharmacy - Hourly Intern","Brigham and Women's Hospital","$19/hr"
"Pharmacy - Hourly Intern","Nebraska Medicine","$18/hr"
"Pharmacy - Hourly Intern","Acme Markets","$15/hr"
"Pharmacy - Hourly","Giant Eagle","$14/hr"
"Pharmacy - Hourly","Target","$38/hr"
"Pharmacy - Hourly Intern","Beth Israel Deaconess Medical Center","$15/hr"
"Pharmacy","Blue Cross Blue Shield of Illinois, Montana, New Mexico, Oklahoma & Texas | HCSC","$66,177/yr"
"Pharmacy - Intern","InterFysio","$50,963/yr"
"Pharmacy - Hourly Intern","Marsh Supermarkets","$13/hr"
"Pharmacy - Hourly Intern","Blue Cross Blue Shield of Michigan","$25/hr"
"Pharmacy - Hourly Intern","SinfoníaRx","$16/hr"
"Pharmacy","Randolph Hospital","$88,606/yr"
