"jobTitle","company","meanPay"
"Customer Service","J. C. Penney","$25,490/yr"
"Customer Service","Best Buy","$28,718/yr"
"Customer Service - Hourly","Wegmans Food Markets","$11/hr"
"Customer Service","Shopko Stores","$27,198/yr"
"Customer Service - Hourly","Walmart","$11/hr"
"Customer Service - Hourly","Whole Foods Market","$12/hr"
"Customer Service - Hourly","Publix","$11/hr"
"Customer Service","DICK'S Sporting Goods","$28,854/yr"
"Customer Service - Hourly","CVS Health","$9/hr"
"Customer Service - Hourly","Best Buy","$11/hr"
"Customer Service","Verizon","$35,521/yr"
"Customer Service - Hourly","Verizon","$17/hr"
"Customer Service","REI","$23,008/yr"
"Customer Service - Hourly","Lowe's","$12/hr"
"Customer Service - Hourly","Walmart","$11/hr"
"Customer Service - Hourly","The Home Depot","$11/hr"
"Customer Service - Hourly","Kohl's","$9/hr"
"Customer Service - Hourly","Whole Foods Market","$12/hr"
"Customer Service - Hourly","McDonald's","$9/hr"
"Customer Service - Hourly","UnitedHealth Group","$15/hr"
"Customer Service - Hourly","Hy-Vee","$10/hr"
"Customer Service - Hourly","The Home Depot","$12/hr"
"Customer Service - Hourly","Lowe's","$13/hr"
"Customer Service","GEICO","$39,807/yr"
"Customer Service - Hourly","Alorica","$11/hr"
"Customer Service - Hourly","IKEA","$12/hr"
"Customer Service - Hourly","Wegmans Food Markets","$14/hr"
"Customer Service - Hourly","Best Buy","$12/hr"
"Customer Service - Hourly","Stop & Shop","$10/hr"
"Customer Service - Hourly","TTEC","$11/hr"
"Customer Service - Hourly","Taco Bell","$9/hr"
"Customer Service - Hourly","Convergys","$11/hr"
"Customer Service","Beauty Brands","$23,871/yr"
"Customer Service - Hourly","Target","$11/hr"
"Customer Service - Hourly","SYKES","$10/hr"
"Customer Service - Hourly","Nordstrom","$17/hr"
"Customer Service - Hourly","Publix","$14/hr"
"Customer Service - Hourly","Teleperformance","$12/hr"
"Customer Service","H E B","$19,461/yr"
"Customer Service - Hourly","J. C. Penney","$9/hr"
"Customer Service - Hourly","Edible Arrangements","$10/hr"
"Customer Service - Hourly","AT&T","$16/hr"
"Customer Service - Hourly","Wells Fargo","$14/hr"
"Customer Service - Hourly","Time Warner Cable","$13/hr"
"Customer Service - Hourly","Sears","$10/hr"
"Customer Service - Hourly","AutoZone","$11/hr"
"Customer Service - Hourly","Kroger","$9/hr"
"Customer Service - Hourly","CVS Health","$13/hr"
"Customer Service - Hourly","Kmart","$10/hr"
"Customer Service - Hourly","McDonald's","$10/hr"
"Customer Service - Hourly","Amazon","$13/hr"
"Customer Service - Hourly","Comcast","$15/hr"
"Customer Service - Hourly","Macy's","$10/hr"
"Customer Service - Hourly","Macy's","$12/hr"
"Customer Service","Citi","$33,862/yr"
"Customer Service - Hourly","REI","$12/hr"
"Customer Service - Hourly","Bed Bath & Beyond","$10/hr"
"Customer Service - Hourly","Chick-fil-A","$9/hr"
"Customer Service - Hourly","Overstock.com","$14/hr"
"Customer Service - Hourly","Citi","$14/hr"
"Customer Service - Hourly","Walgreens","$10/hr"
"Customer Service - Hourly","Dillard's","$12/hr"
