"jobTitle","company","meanPay"
"Educator - Hourly","lululemon","$14/hr"
"Educator - Hourly","lululemon","$14/hr"
"Educator - Hourly","Right At School","$14/hr"
"Educator","Bright Horizons Family Solutions","$36,097/yr"
"Educator - Hourly","lululemon","$13/hr"
"Educator - Hourly Contractor","lululemon","$14/hr"
"Educator","Aveda Institute","$41,578/yr"
"Educator","Chicago Public Schools","$62,108/yr"
"Educator","School District of Philadelphia","$64,646/yr"
"Educator - Hourly","Orlando Science Center","$11/hr"
"Educator","Fulton County Schools","$51,913/yr"
"Educator - Hourly","Regency Beauty Institute","$20/hr"
"Educator - Hourly","Empire Education Group","$19/hr"
"Educator","Charlotte-Mecklenburg Schools","$42,585/yr"
"Educator - Hourly","Lower East Side Tenement Museum","$18/hr"
"Educator","Dallas Independent School District","$57,484/yr"
"Educator","Atlanta Public Schools","$52,117/yr"
"Educator - Hourly","SeaWorld Parks & Entertainment","$12/hr"
"Educator","Montgomery County Public Schools (Maryland)","$76,601/yr"
"Educator","Regency Beauty Institute","$41,032/yr"
"Educator","Empire Education Group","$42,193/yr"
"Educator","DeKalb County School System","$49,303/yr"
"Educator","Wake County Public Schools","$50,160/yr"
"Educator - Hourly","Perot Museum of Nature and Science","$16/hr"
"Educator","Fairfax County Public Schools","$65,146/yr"
"Educator","New York City Department of Education","$65,220/yr"
"Educator - Hourly","Douglas J Companies","$19/hr"
"Educator","Cobb County School District","$51,718/yr"
"Educator","Salvation Army","$40,439/yr"
"Educator - Hourly","Kidspace Children's Museum","$12/hr"
"Educator","Palm Beach County School District","$44,002/yr"
"Educator - Hourly","Tricoci University","$18/hr"
"Educator","The School District of Lee County, Florida","$46,558/yr"
"Educator","AltSchool","$70,571/yr"
"Educator","AFSC","$44,216/yr"
"Educator","Durham Public Schools","$64,980/yr"
"Educator - Hourly","Delaware North","$11/hr"
"Educator - Hourly","SeaWorld Parks & Entertainment","$12/hr"
"Educator","Aramark","$54,228/yr"
"Educator","Granite School District","$43,416/yr"
"Educator","Union Station Kansas City","$30,590/yr"
"Educator","Del Valle Independent School District","$52,625/yr"
"Educator - Hourly","Saint Louis Science Center","$14/hr"
"Educator","Hamilton County Department of Education","$39,196/yr"
"Educator","Cleveland Metropolitan School District","$45,561/yr"
"Educator","Coppell ISD","$56,074/yr"
"Educator - Hourly","Brooklyn Children's Museum","$16/hr"
"Educator","San Francisco Unified School District","$52,908/yr"
"Educator","Aspire Public Schools","$43,752/yr"
"Educator","University of Maryland Global Campus","$40,753/yr"
"Educator","Harford County Public Schools","$51,296/yr"
"Educator - Hourly","Kentucky Science Center","$10/hr"
"Educator","Leander ISD","$55,043/yr"
"Educator","lululemon","$44,018/yr"
"Educator - Hourly","Museum of Fine Arts, Boston","$17/hr"
"Educator","Miami Dade Public Schools","$45,187/yr"
"Educator - Hourly","New York Historical Society","$27/hr"
"Educator","Prince Georges County Public Schools (MD)","$62,941/yr"
"Educator","Coweta County School System","$60,651/yr"
"Educator","Guilford County Schools","$43,848/yr"
"Educator","Aveda","$69,348/yr"
"Educator","Plymouth Community School Corporation","$51,258/yr"
"Educator","Greenville County Schools","$41,495/yr"
"Educator - Hourly","Pioneers Memorial Healthcare District","$25/hr"
"Educator - Hourly","Maryland Science Center","$9/hr"
"Educator","Gwinnett County Public Schools","$57,965/yr"
"Educator","Lewisville Independent School System","$65,102/yr"
"Educator","Muscogee County School District","$43,197/yr"
"Educator","Alexandria City Public Schools","$64,945/yr"
"Educator","Polk County Public School District","$43,952/yr"
"Educator","Fort Bend ISD","$58,795/yr"
"Educator","Regis Corporation","$42,724/yr"
"Educator","Special School District","$73,416/yr"
"Educator","RHC Inc","$44,805/yr"
"Educator","Saint Lucie County School Board","$45,181/yr"
"Educator","UC San Francisco","$57,745/yr"
"Educator","JCC of Northern Virginia","$32,992/yr"
"Educator","Broward County Schools","$50,488/yr"
"Educator - Hourly","Union Station Kansas City","$13/hr"
"Educator","Knox County Schools","$44,164/yr"
"Educator","Grapevine-Colleyville ISD","$50,213/yr"
"Educator","Augusta County Schools","$55,667/yr"
"Educator - Hourly","Children's Creativity Museum","$16/hr"
"Educator - Hourly","SeaWorld Parks & Entertainment","$11/hr"
"Educator","KIPP Foundation","$65,082/yr"
"Educator","Killeen Independent School District","$47,272/yr"
"Educator","Shelby County School District","$48,097/yr"
"Educator","IDEA Public Schools","$56,943/yr"
"Educator - Hourly","Aquarium of the Bay","$18/hr"
"Educator","Klein ISD","$59,134/yr"
"Educator","University of San Francisco","$84,299/yr"
"Educator","Evergreen Beauty College","$39,601/yr"
"Educator","Children's Museum of Houston","$44,914/yr"
"Educator","Alès Groupe","$55,057/yr"
"Educator","San Diego Global Vision Academy","$53,600/yr"
"Educator","Uncommon Schools","$68,009/yr"
"Educator","The Chicago Academy of Sciences and its Peggy Notebaert Nature Museum","$33,051/yr"
"Educator - Hourly","Ripley Entertainment","$9/hr"
"Educator","Forsyth County Schools","$55,088/yr"
"Educator","Harmony Public Schools","$51,488/yr"
"Educator","Democracy Prep Public Schools","$80,037/yr"
"Educator","Fulton Academy of Science and Technology","$37,518/yr"
"Educator - Hourly","SaveNature.Org","$16/hr"
"Educator","Indian Prairie School District 204","$60,924/yr"
"Educator","SVP Worldwide","$57,774/yr"
"Educator","Distinctive Schools","$60,240/yr"
"Educator","Williamson County Schools","$52,715/yr"
"Educator","Epic Charter Schools","$45,052/yr"
"Educator - Hourly","Bright Horizons Family Solutions","$17/hr"
"Educator","Plano ISD","$56,021/yr"
"Educator","Camelot Education","$60,734/yr"
"Educator - Hourly Intern","San Diego Zoo Global","$11/hr"
"Educator","Round Rock Independent School District","$55,157/yr"
"Educator - Hourly","Landry's","$12/hr"
"Educator","Desert Christian Middle School","$38,636/yr"
"Educator","Baltimore City Public School System","$65,877/yr"
"Educator","Singularity University","$66,793/yr"
"Educator","Anne Arundel County Public Schools","$62,487/yr"
"Educator","Aldine Independent School District","$55,540/yr"
"Educator","Western Governors University","$63,963/yr"
"Educator","Modernizing Medicine","$59,335/yr"
"Educator - Hourly","Kit and Ace","$15/hr"
"Educator","Houston ISD","$54,542/yr"
"Educator","Virginia Zoo in Norfolk","$24,492/yr"
"Educator","Imagine Schools","$42,189/yr"
"Educator - Hourly","Aveda Institute","$20/hr"
"Educator","Ednovate","$54,553/yr"
"Educator - Hourly","Empire Education Group","$18/hr"
"Educator","Hillsborough County Public Schools","$48,705/yr"
"Educator","Daymar College","$52,870/yr"
"Educator","Los Angeles USD","$67,423/yr"
"Educator","Cheatham County School District","$38,498/yr"
"Educator","Hall County School System","$69,698/yr"
"Educator","School District 5 of Lexington & Richland Counties","$51,148/yr"
"Educator","State of South Carolina","$31,377/yr"
"Educator - Hourly","The Butterfly Pavilion","$11/hr"
"Educator - Hourly","Hart Agency","$28/hr"
"Educator - Hourly","Via Aquarium","$12/hr"
"Educator","Jordan School District","$48,863/yr"
"Educator - Hourly","Roman Empire Living Skills","$15/hr"
"Educator","Omaha Public Schools","$64,476/yr"
"Educator","San Juan School District","$46,510/yr"
"Educator","Memorial Hermann Health System","$64,156/yr"
"Educator","Orange County Schools","$41,521/yr"
"Educator","Unity Preparatory Charter School of Brooklyn","$73,845/yr"
"Educator - Contractor","Hillsborough County Public Schools","$45,465/yr"
"Educator","Purdue University","$44,008/yr"
"Educator","Denton Independent School District","$58,812/yr"
"Educator","Pasco County Schools","$40,515/yr"
"Educator","Workfront","$49,755/yr"
"Educator - Hourly","Audubon Nature Institute","$12/hr"
"Educator","Lincoln Unified School District","$52,242/yr"
"Educator","High Museum of Art","$38,120/yr"
"Educator","National Heritage Academies","$45,422/yr"
"Educator","Harvard University","$60,432/yr"
"Educator - Hourly","Aquarium Restaurants","$12/hr"
"Educator","Michigan State University","$48,120/yr"
"Educator","Charter Schools USA","$43,940/yr"
"Educator","Liberty Public School District","$56,209/yr"
"Educator","Delta Air Lines","$81,003/yr"
"Educator","Washington Elementary School District","$62,992/yr"
"Educator","West Allis-West Milwaukee School District","$49,740/yr"
"Educator","KIPP Texas Public Schools","$56,605/yr"
"Educator","Youth Progress","$40,211/yr"
"Educator - Hourly","Museum of Discovery and Science","$9/hr"
"Educator - Hourly","Hilltop Children's Center","$21/hr"
"Educator","Henry County (Georgia) Schools","$63,702/yr"
"Educator","Adventure Science Center","$32,722/yr"
"Educator","Duval County Public School","$41,070/yr"
"Educator","Washington Latin Public Charter School","$48,823/yr"
"Educator","Brooklyn LAB Charter School","$80,045/yr"
"Educator","Baltimore County Public Schools","$58,812/yr"
"Educator","EdVenture Children's Museum","$29,679/yr"
"Educator","Clark County School District","$46,013/yr"
"Educator","Clear Creek ISD","$54,856/yr"
"Educator","Gainesville City School System","$52,037/yr"
"Educator","Dripping Springs Independent School District","$56,416/yr"
"Educator - Hourly","SIUE","$19/hr"
"Educator","The Museum of Flight","$30,813/yr"
"Educator","Rankin County School District","$45,107/yr"
"Educator - Contractor","DFS Group","$32,644/yr"
"Educator","Eagle Mountain-Saginaw ISD","$53,169/yr"
"Educator - Contractor","Evergreen Beauty College","$34,500/yr"
"Educator - Contractor","South Carolina Department of Education","$59,075/yr"
"Educator","Johnston Community School District","$62,540/yr"
"Educator - Hourly","WJCC Public Schools","$42/hr"
"Educator - Contractor","ArchDiocese of Chicago","$36,715/yr"
"Educator - Monthly Intern","Spencer Museum of Art","$1,078/mo"
"Educator","Marymount University","$52,580/yr"
"Educator","J. C. Penney","$50,983/yr"
"Educator - Hourly Intern","Wolf Trap Foundation","$8/hr"
"Educator","University of Baltimore","$68,093/yr"
"Educator - Hourly","YWCA","$42/hr"
"Educator","Forsan ISD","$43,124/yr"
"Educator","Tulsa Honor Academy","$34,117/yr"
"Educator","Denver Museum of Nature & Science","$36,315/yr"
"Educator - Hourly","Hair Dynamics Education Center","$18/hr"
"Educator","Brighter Horizons Academy","$40,061/yr"
"Educator","Springfield Public Schools - Illinois","$26,027/yr"
"Educator","Duke University TIP","$50,983/yr"
"Educator","US Navy","$58,562/yr"
"Educator","Washington County School District - TN","$62,343/yr"
"Educator - Hourly","Lavner Camps","$10/hr"
"Educator","AmeriPlan","$57,636/yr"
"Educator","AmerisourceBergen","$77,784/yr"
"Educator","Orenda Charter Schools","$45,488/yr"
"Educator","Alpha School","$97,902/yr"
"Educator","Humble ISD","$55,847/yr"
"Educator","Mercy","$69,749/yr"
"Educator","Memphis City Schools","$50,389/yr"
"Educator","James River Association","$30,046/yr"
"Educator","Hunterdon Central Regional School District","$83,979/yr"
"Educator - Hourly","Savannah Bee","$12/hr"
"Educator - Hourly","Como Park Zoo & Conservatory","$10/hr"
"Educator - Contractor","Houston ISD","$45,281/yr"
"Educator","Public Strategies (Oklahoma)","$40,789/yr"
"Educator","Brevard Academy for Individual Excellence","$34,664/yr"
"Educator","Chesapeake Bay Foundation","$38,750/yr"
"Educator","DC Public Schools","$56,312/yr"
"Educator","Galena Park ISD","$54,967/yr"
"Educator","SAS Institute","$53,041/yr"
"Educator - Contractor","Montclair School District","$72,683/yr"
"Educator","Metropolitan Nashville Public Schools","$52,087/yr"
"Educator","Anderson Community Schools","$52,822/yr"
"Educator","ASRC Federal Holding Company","$77,361/yr"
"Educator","Invictus Preparatory Charter School","$91,753/yr"
"Educator","Joliet District 86","$57,193/yr"
"Educator","Oxnard Union High School District","$47,178/yr"
"Educator","Children's Aid","$46,816/yr"
"Educator","Cox Communications","$59,223/yr"
"Educator","Vanguard Classical School","$45,249/yr"
"Educator","Learning Sciences International","$97,236/yr"
"Educator","The Children's Museum of Indianapolis","$38,516/yr"
"Educator","Thomas Jefferson University","$78,676/yr"
"Educator","Detroit Public Schools","$38,558/yr"
"Educator","Annex Teen Clinic","$42,918/yr"
"Educator","BoomTown (South Carolina)","$60,606/yr"
"Educator","The Rashi School","$61,587/yr"
"Educator - Hourly","Fresno Chaffee Zoo","$15/hr"
"Educator - Hourly","CAVA","$29/hr"
"Educator - Hourly","Busch Gardens","$12/hr"
"Educator","Springfield Public Schools - MA","$75,129/yr"
"Educator","United Community Center","$35,027/yr"
"Educator","Women's Care Center","$15,126/yr"
"Educator","Corpus Christi Independent School District","$55,597/yr"
"Educator - Hourly","Sweet Pete's Candy","$10/hr"
"Educator - Hourly","Language Studies International","$21/hr"
"Educator","Inquilinos Boricuas en Accion","$44,104/yr"
"Educator - Hourly","USS Midway Museum","$13/hr"
"Educator","Florida Virtual School","$40,434/yr"
"Educator","Edgewood of San Antonio","$53,607/yr"
"Educator - Hourly","BREC","$14/hr"
"Educator","Wichita State University","$49,010/yr"
"Educator - Hourly","Footlocker.com/Eastbay","$15/hr"
"Educator","Hoke County School District","$32,412/yr"
"Educator - Hourly","Broward County Schools","$12/hr"
"Educator","San Antonio Housing Authority","$48,265/yr"
"Educator","Mission CISD","$43,216/yr"
"Educator","Diocese of San Jose","$51,826/yr"
"Educator","William F. Ryan Community Health Center","$52,729/yr"
"Educator - Hourly Contractor","Science Center of Iowa","$9/hr"
"Educator - Hourly","Children's Aid","$22/hr"
"Educator","Glenbard West","$58,138/yr"
"Educator","Poplarville School District","$42,232/yr"
"Educator","Newport News Public Schools","$61,373/yr"
"Educator - Hourly Intern","The Chicago Academy of Sciences and its Peggy Notebaert Nature Museum","$11/hr"
"Educator","Wichita Technical Institute","$47,910/yr"
"Educator - Contractor","Jackson Public Schools","$38,316/yr"
"Educator","Sheldon ISD","$62,040/yr"
"Educator - Hourly","Appalachian Regional Healthcare","$23/hr"
"Educator","Wilkes University","$79,282/yr"
"Educator - Hourly","Wayne County Public Schools","$48/hr"
"Educator - Hourly","The Salon Professional Academy","$17/hr"
"Educator","Leon County School Board","$43,442/yr"
"Educator","University Hospital Newark","$60,838/yr"
"Educator - Hourly","Teaching and Mentoring Communities","$12/hr"
