"jobTitle","company","meanPay"
"Engineer","Caterpillar","$87,898/yr"
"Engineer","Amatel","$73,251/yr"
"Engineer","Siemens","$86,491/yr"
"Engineer","Qualcomm","$99,191/yr"
"Engineer","Wipro","$82,420/yr"
"Engineer","GE","$82,101/yr"
"Engineer","Boeing","$92,211/yr"
"Engineer","Westinghouse","$77,101/yr"
"Engineer - Hourly","Volt Information Sciences","$30/hr"
"Engineer","Bechtel","$91,174/yr"
"Engineer","Thornton Tomasetti","$65,346/yr"
"Engineer","ExxonMobil","$112,965/yr"
"Engineer","Turner Construction","$88,438/yr"
"Engineer","Tellabs","$94,607/yr"
"Engineer","Intel Corporation","$103,009/yr"
"Engineer","Intertek","$64,595/yr"
"Engineer","Toyota North America","$86,727/yr"
"Engineer","2H Offshore","$86,473/yr"
"Engineer","Cummins","$76,694/yr"
"Engineer - Hourly Intern","Boeing","$29/hr"
"Engineer","Whirlpool Corporation","$70,502/yr"
"Engineer","Shell","$113,081/yr"
"Engineer","J.P. Morgan","$107,639/yr"
"Engineer","General Dynamics Electric Boat","$69,264/yr"
"Engineer","Kiewit Corporation","$66,281/yr"
"Engineer","Emulex","$93,277/yr"
"Engineer","General Motors (GM)","$84,475/yr"
"Engineer","IBM","$101,873/yr"
"Engineer","Micron Technology","$92,990/yr"
"Engineer","UL","$65,000/yr"
"Engineer","Clark Construction Group","$70,045/yr"
"Engineer","Kimley-Horn","$83,473/yr"
"Engineer","Lockheed Martin","$79,181/yr"
"Engineer","US Navy","$84,964/yr"
"Engineer","Ford Motor Company","$86,110/yr"
"Engineer","Northrop Grumman","$95,149/yr"
"Engineer","Apple","$125,746/yr"
"Engineer","QLogic","$87,609/yr"
"Engineer","Honeywell","$83,812/yr"
"Engineer","Cisco Systems","$117,006/yr"
"Engineer","Worldwide TechServices","$66,096/yr"
"Engineer - Hourly Intern","GE","$22/hr"
"Engineer","Infosys","$74,833/yr"
"Engineer","Pratt & Whitney","$78,995/yr"
"Engineer","PJM Interconnection","$77,763/yr"
"Engineer","FCA Fiat Chrysler Automobiles","$87,407/yr"
"Engineer","Seagate Technology","$70,620/yr"
"Engineer","Samsung Austin Semiconductor","$82,320/yr"
"Engineer - Hourly Intern","Broadcom","$34/hr"
"Engineer - Hourly Intern","Qualcomm","$34/hr"
"Engineer","Amec Foster Wheeler","$80,362/yr"
"Engineer","National Grid USA","$80,791/yr"
"Engineer","Amgen","$82,018/yr"
"Engineer","GE Aviation","$84,996/yr"
"Engineer","AECOM","$84,421/yr"
"Engineer","Synapse Design","$83,385/yr"
"Engineer","Eaton","$80,290/yr"
"Engineer","Navistar","$77,391/yr"
"Engineer","Southwest Research Institute","$71,276/yr"
"Engineer","DeSimone Consulting Engineers","$72,550/yr"
"Engineer","L3 Technologies","$81,488/yr"
"Engineer","Datamatics Consultants","$74,348/yr"
"Engineer","Jacobs","$87,754/yr"
"Engineer","Raytheon","$83,846/yr"
"Engineer","Crescent Hotels & Resorts","$69,701/yr"
"Engineer","John Deere","$82,881/yr"
"Engineer","BP","$125,678/yr"
"Engineer","Google","$100,440/yr"
"Engineer","Procter & Gamble","$93,562/yr"
"Engineer","Hewlett-Packard","$104,467/yr"
"Engineer","QuEST Global","$60,997/yr"
"Engineer","Target","$86,628/yr"
"Engineer","AspenTech","$79,696/yr"
"Engineer","Western Digital","$83,615/yr"
"Engineer","US Air Force","$83,720/yr"
"Engineer","HNTB","$72,365/yr"
"Engineer","Verizon","$92,389/yr"
"Engineer","Emerson","$77,335/yr"
"Engineer","Ameren","$82,202/yr"
"Engineer","Belcan","$70,940/yr"
"Engineer","Bechtel Marine Propulsion","$73,460/yr"
"Engineer","American Airlines","$73,172/yr"
"Engineer","Microsoft","$109,000/yr"
"Engineer","Chevron","$110,131/yr"
"Engineer - Hourly","First Point Group","$47/hr"
"Engineer - Hourly Intern","Lockheed Martin","$24/hr"
"Engineer - Hourly Intern","Xcel Energy","$20/hr"
"Engineer","DNV GL","$82,886/yr"
"Engineer - Hourly Intern","Northrop Grumman","$25/hr"
"Engineer","SpaceX","$93,607/yr"
"Engineer","Genentech","$94,224/yr"
"Engineer","Bosch","$84,034/yr"
"Engineer","Orbital Sciences","$88,084/yr"
"Engineer - Hourly Intern","Caterpillar","$23/hr"
"Engineer","Alcoa","$65,339/yr"
"Engineer","Schlumberger","$90,228/yr"
"Engineer","Texas Instruments","$91,903/yr"
"Engineer - Hourly Intern","Tesla","$25/hr"
"Engineer","Tesla","$96,863/yr"
"Engineer","Southern Company","$82,544/yr"
"Engineer","Merck","$78,338/yr"
"Engineer","HERE Technologies","$99,777/yr"
"Engineer - Hourly Intern","Parker Hannifin","$21/hr"
"Engineer","Broadcom","$88,411/yr"
"Engineer","DuPont","$86,169/yr"
"Engineer","WSP","$79,150/yr"
"Engineer","GLOBALFOUNDRIES","$91,529/yr"
"Engineer","Comcast","$90,991/yr"
"Engineer","Medtronic","$90,210/yr"
"Engineer","Ericsson-Worldwide","$111,007/yr"
"Engineer","CBRE","$146,305/yr"
"Engineer","Johnson & Johnson","$94,160/yr"
"Engineer","UTC Aerospace Systems","$85,608/yr"
"Engineer","Xerox","$82,582/yr"
"Engineer - Hourly Intern","Ericsson-Worldwide","$28/hr"
"Engineer","Cessna","$72,386/yr"
"Engineer","Parker Hannifin","$77,499/yr"
"Engineer","Dril-Quip","$82,440/yr"
"Engineer","Halliburton","$67,678/yr"
"Engineer","Cook Medical Inc","$67,075/yr"
"Engineer","AMD","$98,635/yr"
"Engineer","W.L. Gore","$86,120/yr"
"Engineer","Nokia","$98,723/yr"
"Engineer","Con Edison","$98,702/yr"
"Engineer","Abbott Laboratories","$80,493/yr"
"Engineer","Parsons Brinckerhoff","$82,460/yr"
"Engineer","Honda","$65,668/yr"
"Engineer","AREVA","$89,911/yr"
"Engineer","Yazaki","$65,912/yr"
"Engineer","Flowserve","$76,585/yr"
"Engineer","CNH Industrial","$79,324/yr"
"Engineer","IM Flash Technologies","$85,456/yr"
"Engineer","MBP","$63,589/yr"
"Engineer","Johnson Controls","$79,143/yr"
"Engineer","GE Power","$84,855/yr"
"Engineer","American Bureau of Shipping (ABS)","$80,799/yr"
"Engineer","Dominion Energy","$84,105/yr"
"Engineer","Lane Construction","$64,717/yr"
"Engineer","Bettis Laboratory","$70,572/yr"
"Engineer","ABC","$80,628/yr"
"Engineer","PSEG","$79,654/yr"
"Engineer - Hourly Intern","Siemens","$22/hr"
"Engineer","CB&I","$72,551/yr"
"Engineer","Xcel Energy","$73,474/yr"
"Engineer","Force10","$93,808/yr"
"Engineer - Hourly Intern","Bell","$22/hr"
"Engineer","3M","$85,125/yr"
"Engineer","Geosyntec Consultants","$75,753/yr"
"Engineer - Hourly Intern","Air Liquide","$25/hr"
"Engineer","General Dynamics Mission Systems","$82,003/yr"
"Engineer","Nexant","$66,884/yr"
"Engineer","Marvell Semiconductor","$94,205/yr"
"Engineer","Rockwell Automation","$83,159/yr"
"Engineer - Hourly","RK&K","$31/hr"
"Engineer","Sikorsky","$74,203/yr"
"Engineer","NVIDIA","$108,379/yr"
"Engineer","Tata Consultancy Services","$75,458/yr"
"Engineer","Bell","$79,031/yr"
"Engineer","Fedex Express","$74,753/yr"
"Engineer","Goodyear","$80,899/yr"
"Engineer","Rolls-Royce","$87,974/yr"
"Engineer - Hourly Intern","Intel Corporation","$29/hr"
"Engineer - Hourly Intern","Williams","$37/hr"
"Engineer","US Department of Defense","$83,861/yr"
"Engineer","Knolls Atomic Power Laboratory","$73,715/yr"
"Engineer","GE Healthcare","$97,044/yr"
"Engineer","Juniper Networks","$131,441/yr"
"Engineer","Alcatel-Lucent","$109,487/yr"
"Engineer - Hourly Intern","Daimler Trucks North America","$20/hr"
"Engineer","Triumph Group","$85,214/yr"
"Engineer","Daimler Trucks North America","$67,530/yr"
"Engineer","BAE Systems USA","$72,560/yr"
"Engineer","Harris","$91,376/yr"
"Engineer","Freescale Semiconductor","$94,007/yr"
"Engineer","Fujitsu","$80,091/yr"
"Engineer","Stryker","$72,127/yr"
"Engineer","AEP","$77,604/yr"
"Engineer - Hourly Intern","Rockwell Automation","$23/hr"
"Engineer","Dell Technologies","$106,832/yr"
"Engineer","Exelis","$107,722/yr"
"Engineer","Schneider Electric","$76,114/yr"
"Engineer","Naval Surface Warfare Center","$77,435/yr"
"Engineer - Hourly Intern","CNH Industrial","$23/hr"
"Engineer","Pacific Gas and Electric","$104,824/yr"
"Engineer","Hilton","$59,424/yr"
