,job_title,mean_pay,salary_range,company,category
0,Software Engineer,"$114,610/yr",Range: $70K - $166K,cisco,engineering
1,Software Engineer IV,"$133,178/yr",Range: $99K - $169K,cisco,engineering
2,Software Engineer III,"$113,381/yr",Range: $79K - $162K,cisco,engineering
3,Network Consulting Engineer,"$115,899/yr",Range: $50K - $259K,cisco,engineering
4,Senior Software Engineer,"$134,594/yr",Range: $87K - $190K,cisco,engineering
5,Program Manager,"$130,726/yr",Range: $66K - $204K,cisco,managerial
6,Customer Support Engineer,"$95,275/yr",Range: $59K - $165K,cisco,engineering
7,Software QA Engineer,"$116,602/yr",Range: $69K - $174K,cisco,engineering
8,Technical Leader,"$157,687/yr",Range: $110K - $225K,cisco,others
9,Hardware Engineer,"$116,455/yr",Range: $77K - $176K,cisco,engineering
10,Product Manager,"$144,412/yr",Range: $84K - $196K,cisco,managerial
11,Technical Leader I,"$153,177/yr",Range: $117K - $182K,cisco,others
12,Systems Engineer,"$123,082/yr",Range: $63K - $178K,cisco,engineering
13,Software Engineer II,"$102,455/yr",Range: $68K - $135K,cisco,engineering
14,Business Operations Manager,"$132,710/yr",Range: $76K - $188K,cisco,managerial
15,Senior Manager,"$168,542/yr",Range: $135K - $219K,cisco,managerial
16,Business Analyst,"$87,330/yr",Range: $52K - $164K,cisco,others
17,IT Analyst,"$104,935/yr",Range: $64K - $160K,cisco,it
18,IT Engineer,"$117,811/yr",Range: $63K - $174K,cisco,it
19,Senior Product Manager,"$156,140/yr",Range: $108K - $200K,cisco,managerial
20,Technical Marketing Engineer,"$135,751/yr",Range: $81K - $188K,cisco,marketing
21,Project Manager,"$110,192/yr",Range: $59K - $168K,cisco,managerial
22,Senior Program Manager,"$147,534/yr",Range: $103K - $202K,cisco,managerial
23,Business Development Manager,"$149,945/yr",Range: $93K - $219K,cisco,managerial
24,Director,"$204,841/yr",Range: $153K - $291K,cisco,others
25,IT Project Manager,"$123,984/yr",Range: $75K - $162K,cisco,it
26,Test Engineer,"$112,172/yr",Range: $55K - $154K,cisco,engineering
27,Technical Lead,"$158,075/yr",Range: $128K - $193K,cisco,others
28,Network Engineer,"$102,287/yr",Range: $43K - $159K,cisco,engineering
29,Systems Engineer III,"$135,395/yr",Range: $105K - $171K,cisco,engineering
30,Consulting Systems Engineer,"$146,598/yr",Range: $118K - $181K,cisco,engineering
31,Marketing Manager,"$139,758/yr",Range: $78K - $186K,cisco,marketing
32,Account Manager,"$86,249/yr",Range: $47K - $181K,cisco,managerial
33,Solutions Architect,"$145,841/yr",Range: $110K - $208K,cisco,others
34,Technical Leader II,"$171,094/yr",Range: $146K - $201K,cisco,others
35,Software Engineer I,"$85,607/yr",Range: $56K - $103K,cisco,engineering
36,Financial Analyst,"$74,751/yr",Range: $60K - $108K,cisco,others
37,Senior Technical Leader,"$169,079/yr",Range: $130K - $196K,cisco,others
38,Manager,"$146,689/yr",Range: $68K - $193K,cisco,managerial
39,Product Sales Specialist,"$104,137/yr",Range: $72K - $165K,cisco,sales
40,Hardware Engineer IV,"$142,485/yr",Range: $117K - $159K,cisco,engineering
41,Customer Support Engineer III,"$98,499/yr",Range: $80K - $120K,cisco,engineering
42,Engineering Manager,"$159,317/yr",Range: $124K - $192K,cisco,engineering
43,Systems Engineer II,"$113,882/yr",Range: $94K - $165K,cisco,engineering
44,Product Marketing Manager,"$140,636/yr",Range: $102K - $174K,cisco,marketing
