"jobTitle","company","meanPay"
"IT","US Navy","$57,661/yr"
"IT - Hourly Intern","Liberty Mutual Insurance","$25/hr"
"IT - Hourly Intern","USAA","$22/hr"
"IT - Hourly Intern","Verizon","$22/hr"
"IT - Hourly Intern","Boeing","$26/hr"
"IT - Hourly Intern","Conagra Brands","$19/hr"
"IT - Hourly Intern","Principal Financial Group","$16/hr"
"IT - Hourly Intern","Johnson & Johnson","$23/hr"
"IT - Hourly Intern","The Home Depot","$22/hr"
"IT - Hourly Intern","Travelers","$20/hr"
"IT - Monthly Intern","ConocoPhillips","$5,359/mo"
"IT - Hourly Intern","Humana","$25/hr"
"IT - Hourly Intern","Genworth","$22/hr"
"IT - Hourly Intern","Ford Motor Company","$23/hr"
"IT - Hourly Intern","ADP","$22/hr"
"IT - Hourly Intern","BD","$22/hr"
"IT - Hourly Intern","Union Pacific","$19/hr"
"IT - Hourly Intern","CUNA Mutual","$20/hr"
"IT - Hourly Intern","AmerisourceBergen","$17/hr"
"IT - Hourly Intern","Marathon Petroleum","$24/hr"
"IT - Hourly Intern","Kaiser Permanente","$27/hr"
"IT - Hourly Intern","Chick-fil-A","$21/hr"
"IT - Hourly Intern","Weyerhaeuser","$22/hr"
"IT - Hourly Intern","Sherwin-Williams","$17/hr"
"IT - Hourly Intern","Federal Reserve Board","$24/hr"
"IT - Monthly Intern","Union Pacific","$4,065/mo"
"IT - Hourly Intern","Erie Insurance Group","$16/hr"
"IT - Hourly Intern","McDonald's","$24/hr"
"IT - Monthly Intern","John Deere","$4,055/mo"
"IT - Hourly Intern","Halliburton","$23/hr"
"IT - Hourly Intern","PSEG","$22/hr"
"IT - Hourly Intern","Caterpillar","$22/hr"
"IT - Hourly Intern","Interpublic Group","$15/hr"
"IT - Hourly Intern","Occidental Petroleum","$27/hr"
"IT - Hourly Intern","COUNTRY Financial","$20/hr"
"IT - Hourly Intern","Exelon","$20/hr"
"IT - Hourly Contractor","TEKsystems","$18/hr"
"IT - Hourly Intern","Rockwell Automation","$19/hr"
"IT","Microsoft","$57,599/yr"
"IT - Hourly Intern","Pacific Gas and Electric","$23/hr"
"IT - Hourly Intern","Centene","$20/hr"
"IT","IBM","$96,075/yr"
"IT - Hourly Intern","Oshkosh Corporation","$18/hr"
"IT - Hourly Intern","Deloitte","$18/hr"
"IT - Hourly Intern","GE","$17/hr"
"IT - Hourly Intern","Assurant","$16/hr"
"IT - Hourly Intern","Excellus BlueCross BlueShield","$18/hr"
"IT - Monthly Intern","Chevron","$5,156/mo"
"IT - Hourly Intern","InComm","$16/hr"
"IT - Monthly Intern","Achievement First","$1,821/mo"
"IT - Hourly Intern","Great American Insurance Group","$19/hr"
"IT - Hourly Intern","Electric Insurance","$16/hr"
"IT - Hourly Intern","Devon Energy","$26/hr"
"IT - Hourly Intern","Cook Medical Inc","$24/hr"
"IT - Hourly Intern","Abbott Laboratories","$22/hr"
"IT - Hourly Intern","Lowe's","$18/hr"
"IT - Hourly Intern","The Washington Post","$21/hr"
"IT - Hourly Intern","Quicken Loans","$12/hr"
"IT - Hourly Intern","Goodyear","$22/hr"
"IT - Hourly Intern","Direct Energy","$27/hr"
"IT - Hourly Intern","Unilever","$21/hr"
"IT - Hourly Intern","FedEx","$23/hr"
"IT - Hourly Intern","SUPERVALU","$22/hr"
"IT - Hourly Intern","United Technologies","$24/hr"
"IT - Hourly Intern","Baxter","$24/hr"
"IT - Hourly Intern","Kellogg Company","$21/hr"
"IT - Hourly Intern","Northwestern Mutual","$18/hr"
"IT - Hourly Intern","We Energies","$19/hr"
"IT - Hourly Contractor","Insight Global","$31/hr"
"IT - Hourly Intern","American Fidelity Assurance Company","$21/hr"
"IT - Hourly Intern","UnitedHealth Group","$22/hr"
"IT - Monthly Intern","Capital One","$5,416/mo"
"IT","Northrop Grumman","$78,133/yr"
"IT - Monthly","US Navy","$3,479/mo"
"IT - Hourly Intern","State Street","$22/hr"
"IT","Boeing","$87,034/yr"
"IT - Hourly Intern","OneAmerica","$18/hr"
"IT - Hourly Intern","Cardinal Health","$20/hr"
"IT","Weyerhaeuser","$105,158/yr"
"IT - Hourly Intern","Andeavor","$23/hr"
"IT - Hourly Intern","3M","$21/hr"
"IT - Hourly Intern","UPS","$19/hr"
"IT - Hourly Intern","Ameren","$21/hr"
"IT - Monthly Intern","Eaton","$4,614/mo"
"IT - Hourly Intern","Porsche Cars North America","$15/hr"
"IT","AllianceBernstein","$97,079/yr"
"IT - Hourly Intern","Central Minnesota Credit Union","$20/hr"
"IT - Hourly Intern","Sparrow Health System","$20/hr"
"IT - Hourly Intern","Raymond James Financial","$21/hr"
"IT - Hourly Intern","Chesapeake Energy","$22/hr"
"IT - Hourly Intern","Hess Corporation","$25/hr"
"IT","USAA","$107,866/yr"
"IT - Hourly Intern","KPMG","$21/hr"
"IT","Saint Louis University","$74,406/yr"
"IT - Hourly Intern","Saint Louis University","$10/hr"
"IT - Hourly Intern","Cargill","$21/hr"
"IT - Hourly Intern","Bell","$19/hr"
"IT - Monthly Intern","United Airlines","$3,664/mo"
"IT - Hourly Intern","Flex","$18/hr"
"IT - Hourly Intern","FCA Fiat Chrysler Automobiles","$22/hr"
"IT - Hourly Intern","AbbVie","$21/hr"
"IT - Hourly Intern","Kiewit Corporation","$19/hr"
"IT","Verizon","$56,277/yr"
"IT - Hourly Intern","TDS Telecommunications","$17/hr"
"IT - Hourly Intern","Cisco Systems","$28/hr"
"IT - Hourly Intern","Genesys Works","$10/hr"
"IT","Cyracom International","$86,797/yr"
"IT","Ascend Learning","$98,619/yr"
"IT - Hourly","Ford Motor Company","$20/hr"
"IT - Hourly Intern","ADM","$19/hr"
"IT - Hourly Intern","NetApp","$29/hr"
"IT - Monthly Intern","Red Frog Events","$1,818/mo"
"IT - Hourly Intern","PolyOne","$17/hr"
"IT - Hourly Intern","Express Scripts","$24/hr"
"IT - Hourly Intern","CNA","$21/hr"
"IT - Hourly Intern","Parker Hannifin","$22/hr"
"IT - Hourly Intern","Equinix","$23/hr"
