"jobTitle","meanPay","Range"
"Specialist - Hourly","$17/hr","Range: $12 - $30"
"Software Engineer","$135,048/yr","Range: $61K - $216K"
"Mac Genius - Hourly","$23/hr","Range: $14 - $32"
"Mac Specialist (Apple Store) - Hourly","$14/hr","Range: $8 - $20"
"Specialist - Hourly","$18/hr","Range: $12 - $25"
"Apple Genius - Hourly","$23/hr","Range: $15 - $32"
"Senior Software Engineer","$165,036/yr","Range: $39K - $265K"
"Apple Retail Specialist - Hourly","$17/hr","Range: $11 - $24"
"Family Room Specialist - Hourly","$17/hr","Range: $13 - $22"
"Redzone Specialist - Hourly","$16/hr","Range: $12 - $22"
"Technical Specialist - Hourly","$17/hr","Range: $14 - $22"
"Family Room Specialist - Hourly","$17/hr","Range: $11 - $23"
"Mac Genius","$47,919/yr","Range: $33K - $68K"
"Apple At Home Advisor - Hourly","$18/hr","Range: $11 - $25"
"Manager","$80,520/yr","Range: $24K - $273K"
"Sales Specialist - Hourly","$16/hr","Range: $11 - $21"
"Apple Genius","$47,156/yr","Range: $36K - $65K"
"Genius Administrator - Hourly","$19/hr","Range: $14 - $26"
"Technical Specialist - Hourly","$17/hr","Range: $14 - $23"
"Creative - Hourly","$20/hr","Range: $15 - $29"
"Applecare At Home Advisor - Hourly","$18/hr","Range: $12 - $23"
"Mac Specialist (Apple Store) - Hourly","$15/hr","Range: $10 - $25"
"Apple At Home Advisor - Hourly","$14/hr","Range: $11 - $20"
"Business Specialist - Hourly","$21/hr","Range: $15 - $29"
"Apple Expert - Hourly","$20/hr","Range: $15 - $27"
"Global Supply Manager","$136,486/yr","Range: $97K - $208K"
"Expert - Hourly","$20/hr","Range: $14 - $27"
"Business Specialist","$53,607/yr","Range: $36K - $74K"
"Software QA Engineer","$114,252/yr","Range: $87K - $146K"
"Business Manager","$91,806/yr","Range: $59K - $172K"
"Apple Family Room Specialist - Hourly","$16/hr","Range: $12 - $22"
"Applecare At Home Advisor - Hourly","$14/hr","Range: $11 - $19"
"Customer Service Representative","$35,010/yr","Range: $31K - $53K"
"Genius - Hourly","$22/hr","Range: $18 - $28"
"Red Zone Specialist - Hourly","$16/hr","Range: $12 - $20"
