"jobTitle","meanPay","Range"
"Software Engineer","$114,610/yr","Range: $70K - $166K"
"Software Engineer IV","$133,178/yr","Range: $99K - $169K"
"Software Engineer III","$113,381/yr","Range: $79K - $162K"
"Network Consulting Engineer","$115,899/yr","Range: $50K - $259K"
"Senior Software Engineer","$134,594/yr","Range: $87K - $190K"
"Program Manager","$130,726/yr","Range: $66K - $204K"
"Customer Support Engineer","$95,275/yr","Range: $59K - $165K"
"Software QA Engineer","$116,602/yr","Range: $69K - $174K"
"Technical Leader","$157,687/yr","Range: $110K - $225K"
"Hardware Engineer","$116,455/yr","Range: $77K - $176K"
"Product Manager","$144,412/yr","Range: $84K - $196K"
"Technical Leader I","$153,177/yr","Range: $117K - $182K"
"Systems Engineer","$123,082/yr","Range: $63K - $178K"
"Software Engineer II","$102,455/yr","Range: $68K - $135K"
"Business Operations Manager","$132,710/yr","Range: $76K - $188K"
"Senior Manager","$168,542/yr","Range: $135K - $219K"
"Business Analyst","$87,330/yr","Range: $52K - $164K"
"IT Analyst","$104,935/yr","Range: $64K - $160K"
"IT Engineer","$117,811/yr","Range: $63K - $174K"
"Senior Product Manager","$156,140/yr","Range: $108K - $200K"
"Technical Marketing Engineer","$135,751/yr","Range: $81K - $188K"
"Project Manager","$110,192/yr","Range: $59K - $168K"
"Senior Program Manager","$147,534/yr","Range: $103K - $202K"
"Business Development Manager","$149,945/yr","Range: $93K - $219K"
"Director","$204,841/yr","Range: $153K - $291K"
"IT Project Manager","$123,984/yr","Range: $75K - $162K"
"Test Engineer","$112,172/yr","Range: $55K - $154K"
"Technical Lead","$158,075/yr","Range: $128K - $193K"
"Software Engineer - Hourly Intern","$28/hr","Range: $13 - $42"
"Network Engineer","$102,287/yr","Range: $43K - $159K"
"Systems Engineer III","$135,395/yr","Range: $105K - $171K"
"Software Engineer() - Hourly Intern","$29/hr","Range: $21 - $43"
"Consulting Systems Engineer","$146,598/yr","Range: $118K - $181K"
"Intern - Hourly","$26/hr","Range: $13 - $45"
"Intern - Hourly","$24/hr","Range: $11 - $43"
