"jobTitle","meanPay","Range"
"Software Engineer","$153,639/yr","Range: $94K - $207K"
"Product Manager","$152,989/yr","Range: $114K - $194K"
"Software Engineer() - Monthly Intern","$7,808/mo","Range: $7K - $9K"
"Product Designer","$164,613/yr","Range: $125K - $205K"
"Software Engineering - Monthly Intern","$9,183/mo","Range: $9K - $10K"
"Dropbox Rotation Program","$75,608/yr","Range: $65K - $77K"
"Software Engineer - Monthly Intern","$9,234/mo","Range: $9K - $10K"
"Product Marketing Manager","$131,554/yr","Range: $110K - $147K"
"Engineering Manager","$179,810/yr","Range: $150K - $243K"
"Site Reliability Engineer","$164,613/yr","Range: $142K - $182K"
"Account Executive","$78,735/yr","Range: $63K - $130K"
"Enterprise Account Executive","$101,045/yr","Range: $59K - $113K"
"Recruiting Coordinator","$72,180/yr","Range: $60K - $86K"
"Product Specialist","$107,863/yr","Range: $92K - $110K"
"Web Developer","$129,590/yr","Range: $120K - $143K"
"Business Development Manager","$149,007/yr","Range: $128K - $168K"
"Technical Program Manager","$156,682/yr","Range: $110K - $200K"
"Technical Sourcer","$78,562/yr","Range: $58K - $105K"
"Solutions Architect","$156,144/yr","Range: $94K - $169K"
"Senior Enterprise Account Executive","$127,602/yr","Range: $118K - $134K"
"Recruiter","$108,169/yr","Range: $76K - $163K"
"User Operations Team Lead","$142,665/yr","Range: $97K - $154K"
"Intern - Monthly","$8,375/mo","Range: $7K - $9K"
"User Operations Engineer","$81,648/yr","Range: $72K - $92K"
"Product Analyst","$106,005/yr","Range: $85K - $124K"
"Growth Marketing Manager","$90,787/yr","Range: $75K - $116K"
"Technical Support Engineer","$66,459/yr","Range: $65K - $73K"
"Enterprise Sales Manager","$148,001/yr","Range: $128K - $158K"
"Business Operations Analyst","$117,807/yr","Range: $81K - $142K"
"Business Operations","$130,384/yr","Range: $94K - $147K"
"Business Development Representative","$63,925/yr","Range: $50K - $78K"
"QA Engineer","$142,629/yr","Range: $109K - $149K"
"Channel Manager","$109,242/yr","Range: $103K - $113K"
"Program Manager","$130,441/yr","Range: $99K - $146K"
"Lead Recruiter","$170,258/yr","Range: $97K - $172K"
"Software Engineering","$164,013/yr","Range: $162K - $173K"
"Data Scientist","$97,819/yr","Range: $76K - $107K"
"Sales Executive","$108,445/yr","Range: $93K - $113K"
"Security Engineer","$178,827/yr","Range: $91K - $191K"
"Inside Sales Account","$66,946/yr","Range: $65K - $71K"
"Enterprise Sales","$126,692/yr","Range: $120K - $147K"
"Senior Software Engineer","$171,260/yr","Range: $168K - $194K"
"Administrative Assistant","$78,431/yr","Range: $66K - $79K"
