"jobTitle","meanPay","Range"
"Software Engineer","$146,827/yr","Range: $91K - $192K"
"Software Engineer - Monthly Intern","$8,395/mo","Range: $5K - $10K"
"Software Engineer() - Monthly Intern","$8,182/mo","Range: $5K - $10K"
"Product Designer","$145,545/yr","Range: $86K - $209K"
"Production Engineer","$144,355/yr","Range: $106K - $215K"
"Software Engineering - Monthly Intern","$7,524/mo","Range: $5K - $9K"
"Data Scientist","$145,365/yr","Range: $100K - $194K"
"Research Scientist","$147,769/yr","Range: $122K - $196K"
"Product Manager","$158,582/yr","Range: $94K - $221K"
"Intern - Monthly","$7,167/mo","Range: $1K - $10K"
"Senior Software Engineer","$176,495/yr","Range: $100K - $237K"
"Technical Program Manager","$147,453/yr","Range: $108K - $211K"
"Software Engineer IV","$148,169/yr","Range: $133K - $165K"
"Software Engineer V","$172,946/yr","Range: $145K - $206K"
"Engineering Manager","$198,910/yr","Range: $155K - $237K"
"Product Marketing Manager","$150,479/yr","Range: $100K - $188K"
"User Experience Researcher","$139,002/yr","Range: $101K - $184K"
"Technical Recruiter","$128,045/yr","Range: $94K - $171K"
"Facebook Software Engineer","$123,695/yr","Range: $104K - $165K"
"Product Specialist","$96,945/yr","Range: $71K - $151K"
"Data Engineer","$136,262/yr","Range: $100K - $180K"
"Client Solutions Manager","$97,402/yr","Range: $62K - $157K"
"Software Engineering","$114,951/yr","Range: $92K - $163K"
"Operations Engineer","$110,240/yr","Range: $88K - $155K"
"Program Manager","$125,399/yr","Range: $64K - $162K"
"Client Partner","$118,495/yr","Range: $89K - $209K"
"Technical Sourcer","$104,172/yr","Range: $56K - $155K"
"Project Manager","$107,537/yr","Range: $67K - $150K"
"Content Strategist","$119,868/yr","Range: $92K - $151K"
"Network Engineer","$150,019/yr","Range: $113K - $171K"
"Account Manager","$92,438/yr","Range: $53K - $121K"
"Data Analyst","$107,248/yr","Range: $69K - $142K"
"Front End Engineer","$149,183/yr","Range: $110K - $188K"
"Software Engineer III","$120,945/yr","Range: $108K - $163K"
"Recruiter","$121,306/yr","Range: $88K - $160K"
"Security Engineer","$159,922/yr","Range: $110K - $219K"
"Software Engineer - Monthly","$7,436/mo","Range: $5K - $10K"
"Data Scientist - Monthly Intern","$7,785/mo","Range: $7K - $9K"
"Solutions Engineer","$134,588/yr","Range: $104K - $204K"
"Intern - Monthly","$8,633/mo","Range: $7K - $10K"
"Product Analyst","$115,358/yr","Range: $97K - $151K"
"Recruiting Coordinator - Hourly Contractor","$29/hr","Range: $22 - $36"
"Facebook Software Engineer - Monthly Intern","$8,515/mo","Range: $8K - $9K"
"Executive Assistant","$104,483/yr","Range: $81K - $114K"
"Administrative Assistant","$83,807/yr","Range: $50K - $95K"
"Manager","$164,140/yr","Range: $140K - $182K"
"User Interface Engineer","$116,595/yr","Range: $108K - $204K"
"User Operations Analyst","$51,971/yr","Range: $49K - $52K"
"Software Engineering Manager","$211,124/yr","Range: $181K - $241K"
"Business Analyst","$112,833/yr","Range: $84K - $136K"
"Intern - Hourly","$26/hr","Range: $11 - $46"
"Product Design - Monthly Intern","$8,523/mo","Range: $7K - $9K"
"Internship - Monthly","$8,356/mo","Range: $7K - $9K"
"Software Development Engineer","$120,716/yr","Range: $110K - $173K"
"Senior Product Manager","$164,175/yr","Range: $130K - $215K"
"Software Developer","$118,639/yr","Range: $81K - $149K"
"Business Operations Manager","$161,117/yr","Range: $112K - $178K"
"Partner Engineer","$127,749/yr","Range: $88K - $170K"
"Production Engineer - Monthly Intern","$8,158/mo","Range: $6K - $9K"
"Contractor - Hourly","$26/hr","Range: $16 - $112"
"Software Engineering New Grad","$118,092/yr","Range: $113K - $123K"
"Director","$241,094/yr","Range: $171K - $280K"
"Applications Operations Engineer","$109,983/yr","Range: $102K - $159K"
"Analyst","$91,823/yr","Range: $44K - $136K"
"Quantitative Researcher","$144,243/yr","Range: $115K - $202K"
"CA","$130,253/yr","Range: $77K - $197K"
"Software Engineer - Intern","$90,386/yr","Range: $75K - $108K"
"Software Engineer() - Monthly","$8,150/mo","Range: $8K - $8K"
"Database Engineer","$144,355/yr","Range: $113K - $204K"
"Marketing Manager","$136,065/yr","Range: $80K - $194K"
"Technical Sourcer - Hourly Contractor","$61/hr","Range: $37 - $70"
"Partner Manager","$96,150/yr","Range: $83K - $127K"
"Intern - Hourly","$23/hr","Range: $21 - $24"
"Technical Project Manager","$135,416/yr","Range: $85K - $176K"
"Account Manager - Hourly","$25/hr","Range: $13 - $37"
"Security Manager","$105,367/yr","Range: $57K - $160K"
"Business Intelligence Engineer","$148,903/yr","Range: $126K - $159K"
"Senior Manager","$167,054/yr","Range: $104K - $192K"
"Software Development Engineer - Monthly Intern","$7,169/mo","Range: $7K - $8K"
"Software Engineer - Hourly Intern","$34/hr","Range: $15 - $51"
"Operations Program Manager","$131,173/yr","Range: $74K - $163K"
"Network Operations Engineer","$116,621/yr","Range: $107K - $128K"
"Engineer","$117,891/yr","Range: $65K - $143K"
"Hardware Engineer","$147,734/yr","Range: $111K - $202K"
"Business Operations Associate","$117,622/yr","Range: $81K - $138K"
"Recruiting Coordinator - Hourly","$31/hr","Range: $24 - $40"
"Systems Engineer","$120,716/yr","Range: $98K - $148K"
"Data Scientist, Analytics","$120,188/yr","Range: $110K - $156K"
