"jobTitle","meanPay","Range"
"Software Engineer","$87,669/yr","Range: $76K - $129K"
"Intern - Hourly","$23/hr","Range: $17 - $26"
"Intern - Hourly","$22/hr","Range: $15 - $24"
"Program Manager","$103,371/yr","Range: $75K - $179K"
"Product Manager","$121,536/yr","Range: $81K - $149K"
"Business Analyst","$70,837/yr","Range: $45K - $129K"
"Project Manager","$94,709/yr","Range: $51K - $127K"
"Software Engineer() - Hourly Intern","$25/hr","Range: $20 - $27"
"Mechanical Engineer","$81,367/yr","Range: $67K - $101K"
"Senior Software Engineer","$125,430/yr","Range: $87K - $204K"
"Firmware Engineer","$85,257/yr","Range: $74K - $103K"
"Business Operations Manager","$86,540/yr","Range: $64K - $115K"
"Senior Project Manager","$101,660/yr","Range: $72K - $133K"
"Senior Financial Analyst","$102,871/yr","Range: $79K - $145K"
"Director","$181,618/yr","Range: $154K - $230K"
"IT Developer/Engineer","$76,792/yr","Range: $63K - $104K"
"Executive Assistant","$77,131/yr","Range: $50K - $107K"
"Software Engineer - Hourly Intern","$25/hr","Range: $23 - $34"
"Process Engineer","$82,915/yr","Range: $58K - $100K"
"Senior Program Manager","$141,714/yr","Range: $85K - $193K"
"Inside Account Manager","$38,764/yr","Range: $30K - $51K"
"Business Development Manager","$119,046/yr","Range: $40K - $194K"
"Senior Product Manager","$141,689/yr","Range: $113K - $165K"
"Business Planning Manager","$134,049/yr","Range: $74K - $150K"
"Financial Analyst","$53,454/yr","Range: $43K - $105K"
"Systems Engineer","$98,606/yr","Range: $75K - $106K"
"Texas","$110,902/yr","Range: $80K - $117K"
"CA","$109,657/yr","Range: $55K - $157K"
"Software Developer","$84,132/yr","Range: $75K - $107K"
"Hardware Engineer","$83,159/yr","Range: $79K - $110K"
"Inside Sales Account Manager","$39,216/yr","Range: $29K - $56K"
"Engineering Program Manager","$122,433/yr","Range: $91K - $138K"
"IT Business Consultant","$79,961/yr","Range: $65K - $92K"
"Strategic Procurement Manager","$99,078/yr","Range: $65K - $143K"
"Solutions Architect","$123,309/yr","Range: $96K - $163K"
"Field Service Engineer","$55,910/yr","Range: $40K - $69K"
"Senior Product Marketing Manager","$127,109/yr","Range: $102K - $140K"
"Senior Manager","$177,934/yr","Range: $137K - $180K"
