"jobTitle","meanPay","Range"
"Software Engineer","$139,398/yr","Range: $100K - $211K"
"Senior Software Engineer","$165,106/yr","Range: $37K - $247K"
"Account Executive","$73,615/yr","Range: $48K - $136K"
"Staff Software Engineer","$195,552/yr","Range: $161K - $248K"
"Software Engineer - Hourly Intern","$48/hr","Range: $36 - $60"
"Relationship Manager","$81,888/yr","Range: $50K - $119K"
"Intern - Hourly","$43/hr","Range: $24 - $52"
"Senior Data Scientist","$165,929/yr","Range: $141K - $198K"
"Product Manager","$150,953/yr","Range: $112K - $171K"
"Customer Success Manager","$93,199/yr","Range: $70K - $113K"
"Web Developer","$127,051/yr","Range: $109K - $151K"
"SMB Account Executive","$64,014/yr","Range: $50K - $79K"
"Senior Product Manager","$165,761/yr","Range: $143K - $235K"
"Senior Site Reliability Engineer","$159,998/yr","Range: $143K - $194K"
"Site Reliability Engineer","$135,495/yr","Range: $108K - $171K"
"Software Engineer() - Hourly Intern","$46/hr","Range: $43 - $52"
"Data Scientist","$128,957/yr","Range: $118K - $156K"
"Software Engineering - Hourly Intern","$43/hr","Range: $40 - $49"
"Enterprise Account Executive","$100,047/yr","Range: $76K - $152K"
"Manager","$145,491/yr","Range: $76K - $216K"
"Senior Account Executive","$81,560/yr","Range: $75K - $151K"
"Senior User Experience Designer","$159,204/yr","Range: $133K - $194K"
"Sales Development Representative","$60,203/yr","Range: $48K - $76K"
"Engineering Manager","$213,229/yr","Range: $187K - $273K"
"User Experience Designer","$127,384/yr","Range: $111K - $134K"
"Sales Development Specialist","$46,569/yr","Range: $40K - $73K"
"Intern - Hourly","$43/hr","Range: $25 - $49"
"Campaign Manager","$78,493/yr","Range: $61K - $99K"
"Senior Relationship Manager","$84,075/yr","Range: $61K - $121K"
"Business Operations Associate","$121,062/yr","Range: $105K - $151K"
"Associate User Experience Designer","$119,189/yr","Range: $101K - $128K"
"Program Manager","$131,773/yr","Range: $93K - $149K"
"Senior Manager","$177,668/yr","Range: $152K - $205K"
"Senior Customer Success Manager","$120,000/yr","Range: $105K - $144K"
"Enterprise Relationship Manager","$104,122/yr","Range: $77K - $112K"
"Associate Web Developer","$107,439/yr","Range: $91K - $129K"
"CA","$139,106/yr","Range: $108K - $204K"
"California","$151,529/yr","Range: $124K - $195K"
"Software Engineering Manager","$202,730/yr","Range: $177K - $218K"
"Associate Product Manager","$119,973/yr","Range: $99K - $172K"
"Senior Product Marketing Manager","$162,594/yr","Range: $141K - $178K"
"Marketing Manager","$128,487/yr","Range: $108K - $146K"
"Account Manager","$89,086/yr","Range: $63K - $136K"
"Insight Analyst","$102,561/yr","Range: $88K - $125K"
"Principal Software Engineer","$177,737/yr","Range: $165K - $189K"
"Recruiting Coordinator - Hourly Contractor","$28/hr","Range: $27 - $31"
"Business Operations Manager","$162,060/yr","Range: $147K - $200K"
"Senior Engineering Manager","$215,711/yr","Range: $185K - $261K"
"Director","$210,272/yr","Range: $154K - $250K"
"Product Marketing Manager","$130,171/yr","Range: $112K - $140K"
"Recruiter","$93,384/yr","Range: $57K - $130K"
"Senior Staff Software Engineer","$240,538/yr","Range: $216K - $269K"
"Senior Program Manager","$145,752/yr","Range: $135K - $193K"
"Senior Software QA Engineer","$158,609/yr","Range: $140K - $175K"
"Web Developer - Hourly Intern","$44/hr","Range: $41 - $49"
"Technical Recruiter","$115,000/yr","Range: $93K - $140K"
"Senior Technical Program Manager","$163,120/yr","Range: $142K - $168K"
"Senior UI Engineer","$150,723/yr","Range: $120K - $159K"
"Solutions Consultant","$114,135/yr","Range: $88K - $125K"
"Recruiting Associate - Hourly Contractor","$28/hr","Range: $25 - $47"
"Enterprise Support Specialist","$58,975/yr","Range: $50K - $71K"
"Global Program Manager","$121,038/yr","Range: $102K - $143K"
"Sales","$83,775/yr","Range: $60K - $151K"
"Summer Software Engineering - Hourly Intern","$48/hr","Range: $40 - $49"
"Senior Financial Analyst","$117,906/yr","Range: $101K - $124K"
"Senior Account Manager","$99,025/yr","Range: $94K - $129K"
"Sr. Software Engineer","$163,781/yr","Range: $151K - $187K"
"QA Engineer","$129,302/yr","Range: $87K - $196K"
"Site Reliability Engineer - Hourly Intern","$43/hr","Range: $41 - $54"
"Relationship Manager I","$69,833/yr","Range: $62K - $100K"
"Data Scientist - Hourly Intern","$55/hr","Range: $44 - $58"
"Technical Recruiter - Hourly Contractor","$56/hr","Range: $35 - $84"
"Sales Representative","$51,484/yr","Range: $48K - $183K"
"Software Engineering","$123,830/yr","Range: $121K - $135K"
"Computer Systems Analyst","$144,158/yr","Range: $55K - $201K"
"UI Engineer","$130,567/yr","Range: $122K - $145K"
"Senior Network Engineer","$156,794/yr","Range: $114K - $161K"
"Software Test Engineer","$122,560/yr","Range: $106K - $155K"
"Business Systems Analyst","$136,183/yr","Range: $123K - $190K"
"Senior Business Operations Manager","$182,190/yr","Range: $171K - $194K"
"Data Quality Analyst - Hourly Contractor","$21/hr","Range: $19 - $22"
"Senior Director","$270,525/yr","Range: $214K - $283K"
"Machine Learning Engineer","$154,000/yr","Range: $143K - $165K"
"Sales Manager","$154,652/yr","Range: $101K - $249K"
"Senior Web Developer","$140,564/yr","Range: $132K - $156K"
"Software QA Engineer","$106,701/yr","Range: $83K - $140K"
"Senior Software Engineer In Test","$157,170/yr","Range: $147K - $173K"
"Account Manager, Marketing Solutions","$86,768/yr","Range: $74K - $97K"
"Operations Manager","$120,056/yr","Range: $87K - $151K"
"Software Engineer (Member Technical Staff)","$165,295/yr","Range: $165K - $166K"
"Business Data Analyst","$134,346/yr","Range: $65K - $145K"
"Customer Service Representative","$61,102/yr","Range: $42K - $72K"
"Staff Site Reliability Engineer","$193,663/yr","Range: $167K - $200K"
"Research Associate","$76,511/yr","Range: $65K - $81K"
"Business Operations Analyst","$92,140/yr","Range: $90K - $107K"
"Associate Project Manager","$71,710/yr","Range: $69K - $73K"
"Executive Assistant","$113,722/yr","Range: $94K - $122K"
"Software Developer","$116,602/yr","Range: $106K - $159K"
"Database Engineer","$136,734/yr","Range: $114K - $163K"
"Recruiting Coordinator - Hourly","$32/hr","Range: $27 - $35"
"Senior Research Associate","$99,998/yr","Range: $56K - $113K"
"User Experience Design Manager","$196,000/yr","Range: $189K - $227K"
"SRE","$153,176/yr","Range: $129K - $164K"
"Technical Program Manager","$150,851/yr","Range: $125K - $193K"
"Grid Systems Engineer","$143,841/yr","Range: $95K - $152K"
"Sales Operations Manager","$171,189/yr","Range: $135K - $190K"
"Director of Business Operations","$217,278/yr","Range: $202K - $248K"
"Group Product Manager","$201,111/yr","Range: $174K - $216K"
"Senior Marketing Manager","$142,214/yr","Range: $135K - $167K"
"Project Manager","$143,180/yr","Range: $120K - $190K"
"Sales Associate","$51,974/yr","Range: $43K - $63K"
"Senior Applied Researcher","$162,426/yr","Range: $159K - $170K"
"Group Product Marketing Manager","$190,447/yr","Range: $175K - $193K"
"Software Engineer() - Monthly Intern","$8,143/mo","Range: $8K - $8K"
"Technical Consultant","$129,648/yr","Range: $87K - $145K"
"Enterprise Relationship Manager III","$113,216/yr","Range: $105K - $119K"
"Site Reliability Engineering Manager","$200,652/yr","Range: $196K - $240K"
"Senior Technical Recruiter","$140,883/yr","Range: $132K - $151K"
"Account Analyst","$78,092/yr","Range: $75K - $81K"
"Business Systems Analyst (Business Analytics Senior)","$188,427/yr","Range: $165K - $214K"
"Senior Recruiter","$136,612/yr","Range: $128K - $149K"
"Senior Content Producer","$116,402/yr","Range: $111K - $127K"
"Software Engineer (Data Scientist)","$131,000/yr","Range: $118K - $141K"
"Senior Systems Engineer","$150,479/yr","Range: $127K - $175K"
"Customer Service Representative - Hourly","$28/hr","Range: $26 - $32"
"Learning and Development Manager","$151,050/yr","Range: $122K - $153K"
"Business Systems Analyst Associate","$138,917/yr","Range: $136K - $141K"
"Associate Product Marketing Manager","$86,019/yr","Range: $85K - $109K"
"Brand Marketing Manager","$124,098/yr","Range: $119K - $146K"
"QA Automation Engineer","$103,499/yr","Range: $100K - $154K"
"Recruiting Coordinator","$55,847/yr","Range: $50K - $56K"
"Business Analytics Manager","$162,960/yr","Range: $153K - $217K"
"Staff Technical Program Manager","$200,787/yr","Range: $181K - $216K"
"Human Resources - Hourly Intern","$22/hr","Range: $22 - $25"
"Software Engineer (QA Engineer)","$134,540/yr","Range: $124K - $141K"
"Product Consultant","$106,149/yr","Range: $69K - $110K"
"Systems Engineer","$151,575/yr","Range: $124K - $163K"
"Associate Data Scientist","$119,926/yr","Range: $92K - $125K"
"Human Resources Director","$223,890/yr","Range: $219K - $229K"
"Mid Market Account Executive","$76,209/yr","Range: $73K - $78K"
"Recruiting Associate","$64,840/yr","Range: $45K - $86K"
"Sales Development Specialist - Hourly","$22/hr","Range: $22 - $23"
"Associate Marketing Manager","$92,344/yr","Range: $87K - $97K"
"Data Science - Hourly Intern","$50/hr","Range: $49 - $54"
"Senior Engineer","$159,922/yr","Range: $122K - $163K"
"Network Operations Center Engineer - Hourly","$57/hr","Range: $46 - $58"
"Research Consultant","$104,524/yr","Range: $97K - $112K"
"Associate Account Executive","$52,543/yr","Range: $48K - $53K"
"Sales Development Specialist Team Lead","$60,525/yr","Range: $58K - $85K"
"Software Engineer - Hourly","$47/hr","Range: $44 - $86"
"Senior Editor","$127,227/yr","Range: $117K - $139K"
"Applied Research Engineer","$185,496/yr","Range: $149K - $223K"
"Recruiter - Hourly Contractor","$69/hr","Range: $51 - $88"
"Localization Specialist","$100,441/yr","Range: $92K - $110K"
"Regional Sales Manager","$123,465/yr","Range: $98K - $150K"
"TPM","$175,549/yr","Range: $163K - $188K"
"Media Account Manager","$75,767/yr","Range: $63K - $89K"
"Support Specialist","$61,630/yr","Range: $57K - $66K"
"Associate Account Manager","$73,496/yr","Range: $58K - $90K"
"GSO Program Rotation Associate","$58,125/yr","Range: $43K - $74K"
"Software Performance Engineer","$132,419/yr","Range: $119K - $148K"
"Technical Services Manager","$111,858/yr","Range: $106K - $119K"
"Senior Localization Specialist","$91,895/yr","Range: $83K - $102K"
"Senior Database Administrator","$156,595/yr","Range: $149K - $163K"
"Senior Business Systems Analyst","$123,137/yr","Range: $91K - $156K"
"Ad Operations Manager","$159,075/yr","Range: $137K - $183K"
"Senior Manager, Business Operations","$189,885/yr","Range: $179K - $200K"
"Operations","$97,152/yr","Range: $83K - $112K"
"Project Manager/Business Analyst","$102,540/yr","Range: $52K - $156K"
"Global Customer Experience Advocate - Hourly","$19/hr","Range: $17 - $20"
"Product Operations Manager","$93,889/yr","Range: $78K - $111K"
"Data Analyst - Monthly Contractor","$5,623/mo","Range: $5K - $6K"
"Market Research Analyst (Manager Corp Comm Social)","$116,313/yr","Range: $111K - $122K"
"Finance","$78,597/yr","Range: $75K - $83K"
"Intern - Monthly","$7,333/mo","Range: $6K - $8K"
"Enterprise Sales Representative","$103,930/yr","Range: $99K - $110K"
"Front End Engineer","$134,688/yr","Range: $124K - $147K"
"Client Services","$96,268/yr","Range: $59K - $135K"
"Network Engineer","$138,662/yr","Range: $116K - $162K"
"Senior Software Test Engineer","$139,565/yr","Range: $132K - $147K"
"Business Analyst","$107,123/yr","Range: $90K - $125K"
"Communications Manager","$134,836/yr","Range: $125K - $145K"
"Sourcing Specialist - Hourly Contractor","$50/hr","Range: $48 - $53"
"Senior Research Scientist","$126,885/yr","Range: $92K - $165K"
"Software Engineer - New College Grad","$110,276/yr","Range: $106K - $115K"
"Global Sales","$104,407/yr","Range: $97K - $112K"
"LinkedIn Senior Manager","$161,880/yr","Range: $152K - $172K"
"Business Leadership Program Associate","$62,171/yr","Range: $53K - $73K"
"Senior Design Manager","$203,209/yr","Range: $188K - $218K"
"Sales Operations Senior Associate","$122,258/yr","Range: $117K - $127K"
"Associate Campaign Manager","$71,101/yr","Range: $62K - $80K"
"Senior Staff Engineer","$209,643/yr","Range: $187K - $233K"
"Administrative Assistant - Hourly","$28/hr","Range: $23 - $33"
"Creative Director","$198,100/yr","Range: $187K - $210K"
"Software Engineer New Grad","$131,285/yr","Range: $121K - $143K"
"Customer Success Manager - Hourly","$31/hr","Range: $23 - $41"
"Associate","$168,051/yr","Range: $122K - $215K"
"Customer Service Manager","$62,477/yr","Range: $35K - $93K"
"SWE","$123,980/yr","Range: $93K - $156K"
"Analyst","$84,274/yr","Range: $58K - $112K"
"Software Engineer/Quality Assurance Engineer","$133,561/yr","Range: $117K - $152K"
"Senior Web Developer/Software Engineer","$162,986/yr","Range: $155K - $171K"
"UX Designer","$124,796/yr","Range: $117K - $132K"
"Senior Quality Assurance Engineer","$152,571/yr","Range: $129K - $178K"
"Human Resources Manager","$116,829/yr","Range: $51K - $188K"
"Software Applications Engineer","$148,657/yr","Range: $120K - $179K"
"Project Manager - Hourly Contractor","$61/hr","Range: $48 - $74"
"Marketing Solutions Account Executive","$104,309/yr","Range: $73K - $137K"
"Sourcer - Hourly Contractor","$42/hr","Range: $29 - $56"
"Software Engineer - Hourly Contractor","$69/hr","Range: $65 - $73"
"Software Engineer, Project Manager","$136,633/yr","Range: $112K - $162K"
"Data Scientist - Monthly Intern","$8,082/mo","Range: $7K - $9K"
"Financial Analyst","$102,366/yr","Range: $93K - $111K"
"Trust & Safety Specialist","$61,461/yr","Range: $52K - $71K"
"Global Account Manager","$174,881/yr","Range: $163K - $188K"
"Data Analyst - Hourly Contractor","$22/hr","Range: $21 - $22"
"Technical Sourcer - Hourly Contractor","$44/hr","Range: $33 - $56"
"Finance Manager","$149,777/yr","Range: $140K - $160K"
"Talent Management Consultant","$129,127/yr","Range: $93K - $168K"
"Insights Program Manager","$136,619/yr","Range: $129K - $142K"
"Human Resources","$105,510/yr","Range: $100K - $111K"
"Software Engineer (Senior Site Reliability Engineer)","$177,987/yr","Range: $157K - $197K"
"New York","$136,672/yr","Range: $128K - $145K"
"Senior Enterprise Relationship Manager","$136,133/yr","Range: $127K - $146K"
"Mid Market Account Manager","$76,844/yr","Range: $70K - $84K"
"Director of Engineering","$238,959/yr","Range: $206K - $272K"
"Revenue Analyst","$89,581/yr","Range: $85K - $93K"
"Site Reliability Engineering - Hourly Intern","$49/hr","Range: $42 - $56"
"Business Ops Manager","$174,611/yr","Range: $149K - $200K"
"Business Analyst Staff","$159,882/yr","Range: $125K - $196K"
"Marketing Analyst","$97,496/yr","Range: $91K - $105K"
"Relationship Manager II","$88,339/yr","Range: $82K - $96K"
"SDE1","$113,329/yr","Range: $96K - $132K"
"Data Quality Analyst - Hourly","$22/hr","Range: $21 - $23"
"Technical Recruiter - Contractor","$122,414/yr","Range: $104K - $142K"
"Customer Success Director","$139,237/yr","Range: $124K - $156K"
"Business Data Analyst (Associate Business Analytics)","$127,923/yr","Range: $107K - $151K"
"Contractor - Hourly","$45/hr","Range: $31 - $61"
"Language Specialist","$89,767/yr","Range: $82K - $98K"
"Senior Test Engineer","$135,858/yr","Range: $122K - $151K"
"Software Engineer - Monthly Intern","$6,808/mo","Range: $6K - $8K"
"Senior Front End Engineer","$168,418/yr","Range: $153K - $186K"
"Corporate Communications Manager","$114,577/yr","Range: $107K - $122K"
"Project Coordinator","$66,378/yr","Range: $52K - $81K"
"Web Developer - Hourly Contractor","$59/hr","Range: $45 - $74"
"SDE2 - Monthly","$6,493/mo","Range: $6K - $7K"
"Nebraska","$58,569/yr","Range: $57K - $61K"
"Staff Applied Research Engineer","$190,305/yr","Range: $184K - $198K"
"Customer Advocate - Hourly","$15/hr","Range: $15 - $16"
"Strategic Account Executive","$112,170/yr","Range: $107K - $118K"
"Software Engineer/Senior Designer","$167,307/yr","Range: $161K - $173K"
"HR Business Partner","$133,559/yr","Range: $128K - $140K"
"Senior IOS Engineer","$183,279/yr","Range: $175K - $192K"
"IP Project Manager","$53,110/yr","Range: $51K - $56K"
"Solutions Engineer","$156,614/yr","Range: $152K - $162K"
"Recruitment Product Consultant","$100,724/yr","Range: $97K - $106K"
"Senior Global Sales","$126,766/yr","Range: $121K - $132K"
"Billing Analyst","$73,211/yr","Range: $71K - $76K"
"Business Systems Analyst (Business Operations Senior)","$172,108/yr","Range: $166K - $178K"
"Lab Assistant","$29,109/yr","Range: $28K - $30K"
"LMS Account Manager","$75,757/yr","Range: $73K - $79K"
"Marketing Automation Consultant","$107,397/yr","Range: $103K - $113K"
"Sales Development","$60,511/yr","Range: $59K - $62K"
"Sales Representative - Hourly","$12/hr","Range: $12 - $13"
"Senior Manager, Product Management","$186,552/yr","Range: $181K - $194K"
"Solutions Consultant - Hourly Intern","$22/hr","Range: $21 - $23"
"Procurement Analyst - Hourly Contractor","$31/hr","Range: $30 - $33"
"Sales Solutions","$107,952/yr","Range: $104K - $113K"
"Senior Sales Analyst","$124,837/yr","Range: $119K - $130K"
"AV Lead Technician - Hourly","$38/hr","Range: $36 - $39"
"Site Reliability Operations Engineer","$149,532/yr","Range: $145K - $155K"
"Insights Manager","$165,253/yr","Range: $159K - $170K"
"QA Analyst - Hourly Contractor","$31/hr","Range: $29 - $32"
"Event Coordinator","$70,499/yr","Range: $68K - $73K"
"Senior Data Analyst","$138,696/yr","Range: $133K - $143K"
"Editor - Hourly Contractor","$20/hr","Range: $19 - $21"
"Director, Product Marketing","$199,450/yr","Range: $191K - $208K"
"Operations Associate","$80,063/yr","Range: $77K - $84K"
"Operations Analyst - Hourly","$35/hr","Range: $33 - $36"
"Technical Producer","$129,373/yr","Range: $125K - $134K"
"Test Engineer","$117,661/yr","Range: $113K - $123K"
"Project Manager - IT (Software Engineer)","$133,916/yr","Range: $127K - $138K"
"Senior Technical Consultant","$112,294/yr","Range: $108K - $117K"
"Summer Engineering - Hourly Intern","$49/hr","Range: $47 - $50"
"Search Marketing Specialist - Contractor","$56,219/yr","Range: $54K - $58K"
"Frontend Engineer","$150,936/yr","Range: $145K - $156K"
"Front Desk Receptionist","$40,084/yr","Range: $38K - $42K"
"Web Development Manager","$161,517/yr","Range: $156K - $167K"
"Senior Data Services Operations Engineer","$169,118/yr","Range: $161K - $175K"
"QA Engineer - Hourly Contractor","$41/hr","Range: $39 - $42"
"Software Engineer (Principal Engineer)","$182,675/yr","Range: $177K - $191K"
"Market Research Analyst","$100,631/yr","Range: $97K - $104K"
"Senior Video Editor","$62,796/yr","Range: $60K - $65K"
"Senior Technical Recruiter - Contractor","$210,476/yr","Range: $201K - $217K"
"Sales Strategy & Operations Analyst","$98,154/yr","Range: $95K - $103K"
"SDEII","$118,748/yr","Range: $113K - $124K"
"Data Analyst","$85,292/yr","Range: $81K - $88K"
