"jobTitle","meanPay","Range"
"Software Engineer","$123,009/yr","Range: $81K - $203K"
"Hardware Engineer","$117,613/yr","Range: $90K - $205K"
"Senior Systems Software Engineer","$147,889/yr","Range: $98K - $208K"
"Senior ASIC Design Engineer","$132,565/yr","Range: $107K - $216K"
"Senior Hardware Engineer","$141,567/yr","Range: $116K - $201K"
"Systems Software Engineer","$114,240/yr","Range: $96K - $150K"
"Senior Software Engineer","$156,350/yr","Range: $119K - $215K"
"Architect","$128,905/yr","Range: $98K - $206K"
"ASIC Design Engineer","$110,391/yr","Range: $98K - $125K"
"Senior Architect","$148,720/yr","Range: $122K - $220K"
"Senior Physical Design Engineer","$135,910/yr","Range: $108K - $174K"
"NVIDIA Corporation","$139,268/yr","Range: $102K - $193K"
"Intern - Hourly","$38/hr","Range: $28 - $53"
"Software Engineer - Hourly Intern","$35/hr","Range: $27 - $48"
"Software Engineer() - Hourly Intern","$41/hr","Range: $33 - $52"
"Senior ASIC Engineer","$149,529/yr","Range: $132K - $179K"
"Engineer III, Systems Design","$135,553/yr","Range: $109K - $155K"
"Intern - Hourly","$44/hr","Range: $30 - $52"
"Software Engineering - Hourly Intern","$32/hr","Range: $26 - $48"
"Research Scientist","$155,052/yr","Range: $130K - $174K"
"Hardware Engineering Manager","$185,659/yr","Range: $159K - $209K"
"Senior Product Manager","$180,347/yr","Range: $156K - $210K"
"Program Manager","$120,422/yr","Range: $108K - $150K"
"Systems Engineer","$109,143/yr","Range: $96K - $155K"
"Product Engineer","$101,848/yr","Range: $94K - $106K"
"Physical Design Engineer","$114,331/yr","Range: $106K - $190K"
"Principal Engineer","$235,218/yr","Range: $178K - $268K"
"Senior Product Engineer","$119,946/yr","Range: $100K - $175K"
"Software QA Engineer","$121,208/yr","Range: $82K - $166K"
"Senior Hardware Architect","$158,110/yr","Range: $123K - $201K"
"Senior Field Test Engineer","$125,704/yr","Range: $101K - $154K"
"Engineer","$108,554/yr","Range: $89K - $201K"
"Architect (Software Engineer)","$130,205/yr","Range: $97K - $192K"
"Systems Software Section Manager","$164,507/yr","Range: $150K - $188K"
"Systems Software Manager","$190,636/yr","Range: $174K - $214K"
"Applications Engineer","$102,083/yr","Range: $98K - $107K"
"Engineer II, Applications","$110,159/yr","Range: $102K - $119K"
