"jobTitle","meanPay","Range"
"Software Engineer","$101,909/yr","Range: $79K - $158K"
"Senior Software Engineer","$113,615/yr","Range: $80K - $179K"
"Senior Hardware Engineer","$128,144/yr","Range: $105K - $140K"
"Hardware Engineer","$110,560/yr","Range: $70K - $133K"
"Staff Software Engineer","$140,841/yr","Range: $94K - $170K"
"Senior Systems Engineer","$124,014/yr","Range: $32K - $145K"
"Software/Systems Test Engineer","$104,894/yr","Range: $81K - $131K"
"Staff Engineer","$137,162/yr","Range: $84K - $177K"
"Staff Hardware Engineer","$150,691/yr","Range: $95K - $171K"
"Senior Engineer","$113,937/yr","Range: $69K - $149K"
"Senior Software Systems Test Engineer","$119,581/yr","Range: $101K - $134K"
"Systems Engineer","$106,167/yr","Range: $79K - $152K"
"Senior Staff Engineer","$163,990/yr","Range: $107K - $213K"
"Systems Software Test Engineer","$101,778/yr","Range: $97K - $106K"
"Engineer","$99,459/yr","Range: $79K - $165K"
"Staff Systems Engineer","$148,917/yr","Range: $122K - $176K"
"Senior Systems Hardware Engineer","$123,891/yr","Range: $101K - $138K"
"Senior Systems Software Engineer","$116,297/yr","Range: $110K - $137K"
"Senior Staff Engineer/Manager","$170,342/yr","Range: $147K - $200K"
"Systems Test Engineer","$93,522/yr","Range: $91K - $126K"
"Interim Engineering - Hourly Intern","$36/hr","Range: $23 - $46"
"Intern - Hourly","$36/hr","Range: $17 - $46"
"Staff, Engineer","$135,419/yr","Range: $103K - $165K"
"Software Engineer III","$99,811/yr","Range: $91K - $110K"
"Senior Staff Hardware Engineer","$167,485/yr","Range: $139K - $196K"
"Senior Software Engineer II","$117,002/yr","Range: $102K - $133K"
"Senior Programmer Analyst","$106,756/yr","Range: $97K - $114K"
"Senior Staff Software Engineer","$163,071/yr","Range: $141K - $192K"
"Engineer, Senior","$115,955/yr","Range: $104K - $137K"
"Software Engineer - Hourly Intern","$33/hr","Range: $23 - $39"
"Senior Systems Analyst","$106,476/yr","Range: $93K - $111K"
"Principal Engineer","$199,473/yr","Range: $154K - $239K"
"Interim Software Engineer - Hourly Intern","$33/hr","Range: $23 - $42"
"Staff Software Systems Test Engineer","$139,797/yr","Range: $127K - $165K"
"Systems Software Engineer","$101,637/yr","Range: $93K - $109K"
"Staff Systems Software Engineer","$139,122/yr","Range: $131K - $159K"
"Staff Systems Hardware Engineer","$142,004/yr","Range: $134K - $160K"
"CA","$140,472/yr","Range: $89K - $199K"
"Systems Analyst","$88,183/yr","Range: $78K - $97K"
"Interim Intern - Hourly","$38/hr","Range: $24 - $46"
"Senior Program Manager","$146,937/yr","Range: $129K - $179K"
"Senior Product Manager","$150,749/yr","Range: $108K - $177K"
"Software Engineer() - Hourly Intern","$38/hr","Range: $24 - $41"
"Intern - Hourly","$34/hr","Range: $23 - $49"
"Staff Program Manager","$164,748/yr","Range: $152K - $184K"
"Senior Hardware Engineer II","$123,461/yr","Range: $98K - $132K"
"Staff Engineer/Manager","$138,307/yr","Range: $124K - $153K"
"Senior IT Engineer","$108,732/yr","Range: $95K - $118K"
"Staff Design Engineer","$140,883/yr","Range: $121K - $171K"
"Staff Systems Analyst","$125,678/yr","Range: $114K - $140K"
"Software Engineering - Hourly Intern","$33/hr","Range: $23 - $39"
"Senior Systems Test Engineer","$108,069/yr","Range: $104K - $113K"
"Staff Software Engineer II","$142,651/yr","Range: $128K - $157K"
"Test Engineer","$93,805/yr","Range: $77K - $112K"
"Hardware Engineer III","$100,487/yr","Range: $94K - $116K"
"Staff Product Manager","$168,649/yr","Range: $148K - $181K"
"Senior Systems Engineer II","$126,342/yr","Range: $113K - $138K"
"Staff Software Engineer/Manager","$154,899/yr","Range: $138K - $174K"
"Senior Design Engineer","$122,509/yr","Range: $115K - $131K"
"Systems Hardware Engineer","$100,627/yr","Range: $94K - $109K"
"Staff Programmer Analyst","$123,840/yr","Range: $112K - $134K"
"Engineering - Hourly Intern","$34/hr","Range: $25 - $45"
"Senior Software Test Engineer","$109,615/yr","Range: $103K - $125K"
"Director","$189,369/yr","Range: $166K - $226K"
"California","$125,881/yr","Range: $66K - $194K"
"Director, Engineering","$205,484/yr","Range: $181K - $251K"
"Applications Engineer","$95,184/yr","Range: $68K - $153K"
"Product Manager","$115,272/yr","Range: $96K - $151K"
"Engineer, Senior Staff","$161,860/yr","Range: $152K - $183K"
"IT Engineer","$87,241/yr","Range: $49K - $152K"
"Engineer, Senior Staff/Manager","$171,515/yr","Range: $154K - $187K"
"IT Engineer Staff","$127,943/yr","Range: $116K - $136K"
"Principal Engineer/Manager","$194,184/yr","Range: $177K - $219K"
"Hardware Test Engineer","$97,983/yr","Range: $91K - $106K"
"Senior Hardware Test Engineer","$119,287/yr","Range: $115K - $128K"
"Senior Systems Design Engineer","$120,173/yr","Range: $102K - $129K"
"Senior Staff Systems Engineer","$177,293/yr","Range: $156K - $196K"
"Director of Engineering","$205,388/yr","Range: $178K - $224K"
"Senior Manager","$153,048/yr","Range: $119K - $174K"
"Senior Software Systems Engineer","$127,365/yr","Range: $117K - $139K"
"IT Engineer, Senior","$99,332/yr","Range: $92K - $109K"
"Senior Financial Analyst","$94,181/yr","Range: $81K - $137K"
"Project Manager","$114,524/yr","Range: $89K - $128K"
"Software Development Engineer","$98,271/yr","Range: $90K - $130K"
"Modem Systems Test Engineer","$94,755/yr","Range: $77K - $103K"
"Senior Director","$227,580/yr","Range: $215K - $265K"
"Principal Software Engineer","$188,492/yr","Range: $169K - $226K"
"Senior Embedded Software Engineer","$112,506/yr","Range: $106K - $152K"
"Staff Systems Engineer II","$145,584/yr","Range: $141K - $166K"
"Financial Analyst","$71,747/yr","Range: $63K - $79K"
"Programmer Analyst","$90,713/yr","Range: $87K - $94K"
"Staff Hardware Engineer II","$144,318/yr","Range: $123K - $156K"
"Senior Project Manager","$136,607/yr","Range: $119K - $158K"
"Senior Director Engineering","$249,421/yr","Range: $213K - $258K"
"Senior Staff","$166,770/yr","Range: $146K - $185K"
