"jobTitle","meanPay","Range"
"Senior Software Engineer","$120,663/yr","Range: $91K - $150K"
"Software Engineer","$100,157/yr","Range: $73K - $135K"
"Senior Engineer","$113,124/yr","Range: $77K - $141K"
"Field Sales Manager","$56,905/yr","Range: $46K - $71K"
"Software Engineer II","$105,326/yr","Range: $84K - $115K"
"Staff Engineer","$141,121/yr","Range: $100K - $165K"
"Staff Software Engineer","$130,954/yr","Range: $113K - $155K"
"Senior Standards Engineer","$100,816/yr","Range: $95K - $116K"
"Marketing Manager","$104,255/yr","Range: $76K - $142K"
"Software Engineer I","$88,248/yr","Range: $77K - $102K"
"Engineer II","$89,289/yr","Range: $81K - $116K"
"Senior Software Engineer II","$124,551/yr","Range: $105K - $189K"
"Manager","$104,105/yr","Range: $54K - $188K"
"Director","$187,946/yr","Range: $153K - $218K"
"Senior Staff Engineer","$158,081/yr","Range: $141K - $210K"
"Senior Manager","$133,042/yr","Range: $117K - $146K"
"Project Manager","$114,589/yr","Range: $85K - $147K"
"Intern - Hourly","$22/hr","Range: $16 - $41"
"Field Engineer","$77,834/yr","Range: $76K - $98K"
"Software Test Engineer II","$99,696/yr","Range: $83K - $102K"
"Principal Engineer","$144,363/yr","Range: $113K - $257K"
"Intern - Hourly","$27/hr","Range: $16 - $34"
"QA Engineer","$73,615/yr","Range: $61K - $109K"
"Engineer","$98,687/yr","Range: $79K - $153K"
"Senior Director","$235,402/yr","Range: $152K - $280K"
"QA Test Engineer I","$64,359/yr","Range: $55K - $66K"
"Systems Engineer","$103,934/yr","Range: $56K - $119K"
"Senior Systems Engineer","$108,031/yr","Range: $100K - $119K"
"Senior Engineer II","$124,837/yr","Range: $73K - $125K"
"Staff Accountant","$59,033/yr","Range: $44K - $62K"
"Systems Engineer II","$90,305/yr","Range: $84K - $92K"
"Assistant Manager","$61,723/yr","Range: $51K - $92K"
"Marketing Director","$195,692/yr","Range: $150K - $266K"
"QA Test Engineer","$64,355/yr","Range: $55K - $71K"
"Logistics Coordinator","$42,918/yr","Range: $39K - $53K"
"Senior Staff RF Engineer","$146,434/yr","Range: $140K - $149K"
"Market Manager","$59,642/yr","Range: $46K - $78K"
"Senior Test Engineer","$103,057/yr","Range: $91K - $108K"
"Staff Systems Engineer","$140,022/yr","Range: $130K - $145K"
"Network Engineer","$66,309/yr","Range: $63K - $100K"
"Account Manager","$94,807/yr","Range: $54K - $190K"
"Software Test Engineer I","$79,951/yr","Range: $76K - $86K"
"Senior Software Test Engineer","$100,943/yr","Range: $98K - $126K"
"Sales Manager","$102,820/yr","Range: $77K - $177K"
"Product Manager","$113,254/yr","Range: $59K - $117K"
"Financial Analyst","$67,087/yr","Range: $48K - $74K"
"Senior Engineering Manager","$181,417/yr","Range: $156K - $208K"
"Senior Sales Manager","$146,861/yr","Range: $137K - $155K"
"District Manager","$87,746/yr","Range: $71K - $120K"
"Research Manager","$110,602/yr","Range: $70K - $129K"
"Technical Project Manager","$108,226/yr","Range: $95K - $117K"
"Senior Business Analyst","$85,018/yr","Range: $79K - $97K"
"Engineer I","$95,856/yr","Range: $89K - $100K"
"General Manager","$145,713/yr","Range: $53K - $171K"
"Product Support Engineer","$78,912/yr","Range: $78K - $80K"
"Senior Business Planning Analyst","$83,736/yr","Range: $71K - $102K"
"Regional Sales Manager","$163,066/yr","Range: $92K - $168K"
"Senior UI Designer","$108,624/yr","Range: $104K - $113K"
"Business Analyst","$64,750/yr","Range: $63K - $132K"
"Process Engineer","$80,363/yr","Range: $44K - $97K"
"Business Operations Manager","$113,244/yr","Range: $94K - $149K"
"Senior Software Development Engineer","$122,246/yr","Range: $116K - $129K"
"FSM","$50,100/yr","Range: $33K - $54K"
"Senior Product Manager","$140,635/yr","Range: $97K - $174K"
"Logistics Manager","$76,521/yr","Range: $62K - $82K"
"Supply Chain Manager","$99,101/yr","Range: $95K - $117K"
"California","$170,738/yr","Range: $65K - $174K"
"Windows Systems Administrator","$73,938/yr","Range: $70K - $84K"
"Business Planning Manager","$94,088/yr","Range: $84K - $112K"
"Senior Project Manager","$124,768/yr","Range: $121K - $138K"
"Samsung Field Sales Manager","$63,631/yr","Range: $61K - $65K"
"Vice President","$197,733/yr","Range: $132K - $280K"
"Design Engineer","$101,512/yr","Range: $80K - $136K"
"Terminal Performance Engineer","$81,903/yr","Range: $78K - $90K"
"Technical Translator","$61,784/yr","Range: $59K - $66K"
"Staff Test Engineer","$119,263/yr","Range: $119K - $138K"
"Samsung Experience Consultant - Hourly","$16/hr","Range: $15 - $21"
"Engineering Technician - Hourly","$23/hr","Range: $22 - $23"
"Data Engineer","$106,467/yr","Range: $95K - $144K"
"Finance Manager","$120,636/yr","Range: $95K - $146K"
"National Account Manager","$70,843/yr","Range: $49K - $110K"
"Samsung Experience Consultant - Hourly","$14/hr","Range: $14 - $15"
"Quality Assurance Manager","$136,185/yr","Range: $121K - $136K"
"Human Resources Manager","$110,045/yr","Range: $106K - $162K"
"Web Developer","$87,643/yr","Range: $86K - $94K"
"Computer Engineer","$102,583/yr","Range: $84K - $106K"
"Senior Product Marketing Manager","$161,517/yr","Range: $152K - $167K"
"Field Test Engineer","$79,271/yr","Range: $74K - $83K"
"Senior Computer Systems Analyst","$107,530/yr","Range: $103K - $108K"
"CA","$96,486/yr","Range: $64K - $152K"
"Senior Terminal Performance Engineer","$119,263/yr","Range: $117K - $128K"
"Hardware Test Engineer I","$85,759/yr","Range: $86K - $87K"
"Software Engineer - Contractor","$91,071/yr","Range: $76K - $100K"
"Test Engineer II","$92,975/yr","Range: $93K - $103K"
"Infrastructure Engineer","$73,126/yr","Range: $72K - $80K"
"Technical Support","$50,978/yr","Range: $47K - $63K"
"Specialist","$75,178/yr","Range: $38K - $98K"
"Data Applications Engineer","$83,282/yr","Range: $77K - $83K"
"Senior Financial Analyst","$89,981/yr","Range: $84K - $98K"
"Program Manager","$115,757/yr","Range: $102K - $129K"
"Solutions Sales Specialist","$74,044/yr","Range: $70K - $77K"
"User Experience Designer","$100,640/yr","Range: $90K - $112K"
"Procurement Specialist","$57,789/yr","Range: $37K - $80K"
"Vice President Marketing","$329,668/yr","Range: $311K - $348K"
"Analytics Manager","$159,761/yr","Range: $144K - $177K"
"Senior Systems Test Engineer","$126,406/yr","Range: $99K - $155K"
"Instructional Designer","$83,827/yr","Range: $78K - $89K"
"Sales Operations Manager","$108,403/yr","Range: $92K - $126K"
"Director of Product Management","$224,382/yr","Range: $185K - $266K"
"Recruiter","$94,585/yr","Range: $47K - $145K"
"Senior Manager of Content and Services","$137,887/yr","Range: $129K - $148K"
"Team Leader - Hourly","$19/hr","Range: $16 - $21"
"Systems Engineer Manager","$146,015/yr","Range: $135K - $159K"
"Administrative Assistant","$54,275/yr","Range: $52K - $57K"
"Solutions Architect","$133,252/yr","Range: $116K - $151K"
"Investment Research Analyst","$65,257/yr","Range: $62K - $68K"
"Software Engineer Senior Staff","$125,854/yr","Range: $118K - $134K"
"Project Manager II","$92,577/yr","Range: $89K - $97K"
"Build and Tools Engineer","$98,387/yr","Range: $85K - $112K"
"Logistics","$60,009/yr","Range: $58K - $63K"
"Business Planning Analyst","$61,947/yr","Range: $59K - $65K"
"Senior Strategic Account Manager","$104,406/yr","Range: $100K - $109K"
"Software Test Engineer","$99,982/yr","Range: $80K - $123K"
"Customer Relations Specialist","$51,986/yr","Range: $41K - $64K"
"Executive Assistant","$78,389/yr","Range: $67K - $90K"
"Senior Business Development Manager","$172,669/yr","Range: $143K - $204K"
"Senior Manager - Product Planning","$165,709/yr","Range: $153K - $178K"
"National Sales Director","$168,192/yr","Range: $157K - $182K"
"Sales Director","$153,990/yr","Range: $103K - $208K"
"Market Trainer","$51,234/yr","Range: $48K - $55K"
"Maintenance Technician - Hourly","$23/hr","Range: $20 - $26"
"IT Director","$143,435/yr","Range: $96K - $195K"
"Terminal Performance Engineer I","$73,566/yr","Range: $63K - $85K"
"Financial Manager","$97,835/yr","Range: $90K - $106K"
"PC Technician","$49,577/yr","Range: $46K - $54K"
"Financial Analyst Manager","$83,721/yr","Range: $73K - $96K"
"Standards Engineer","$105,705/yr","Range: $96K - $116K"
"Engineer III","$103,959/yr","Range: $98K - $110K"
"S/W Quality Assurance Engineer and Tester","$117,638/yr","Range: $105K - $130K"
"Supply Chain Analyst - Contractor","$58,943/yr","Range: $56K - $62K"
"Supervisor","$65,097/yr","Range: $58K - $72K"
"Sales Assistant Manager","$51,861/yr","Range: $44K - $61K"
"Quality Engineer","$84,022/yr","Range: $72K - $96K"
"Data Analyst","$58,380/yr","Range: $48K - $69K"
