"jobTitle","meanPay","Range"
"Member of Technical Staff","$113,034/yr","Range: $72K - $170K"
"Member of Technical Staff Software Engineer","$115,229/yr","Range: $81K - $169K"
"Senior Member of Technical Staff","$145,602/yr","Range: $77K - $219K"
"QA Engineer","$102,203/yr","Range: $54K - $135K"
"Staff Engineer","$170,100/yr","Range: $102K - $224K"
"Software Engineer","$118,367/yr","Range: $65K - $162K"
"Member of Technical Staff, Software Engineer","$113,965/yr","Range: $87K - $169K"
"Inside Sales Representative","$60,514/yr","Range: $42K - $97K"
"Senior Member of Technical Staff Software Engineer","$141,860/yr","Range: $118K - $168K"
"Senior Consultant","$142,467/yr","Range: $116K - $173K"
"Senior Systems Engineer","$142,890/yr","Range: $104K - $171K"
"Senior Manager","$167,590/yr","Range: $119K - $231K"
"Account Executive","$57,142/yr","Range: $43K - $145K"
"Senior QA Engineer","$119,875/yr","Range: $108K - $149K"
"Director","$204,055/yr","Range: $147K - $240K"
"Senior Member Technical Staff","$146,779/yr","Range: $120K - $166K"
"Senior Member of Technical Staff (Software Engineer)","$143,411/yr","Range: $120K - $165K"
"Intern - Hourly","$41/hr","Range: $17 - $59"
"Senior Program Manager","$150,000/yr","Range: $119K - $178K"
"Technical Support Engineer","$71,187/yr","Range: $59K - $93K"
"Member of Technical Staff II","$116,651/yr","Range: $84K - $135K"
"Senior Product Manager","$166,574/yr","Range: $130K - $186K"
"Senior Software Engineer","$145,716/yr","Range: $103K - $168K"
"Product Manager","$127,561/yr","Range: $86K - $171K"
"QA Engineer II","$100,187/yr","Range: $61K - $114K"
"Product Marketing Manager","$144,677/yr","Range: $126K - $155K"
"Program Manager","$121,476/yr","Range: $94K - $163K"
"Member of Technical Staff III","$126,711/yr","Range: $112K - $150K"
"Technical Account Manager","$117,068/yr","Range: $81K - $160K"
"Senior Product Marketing Manager","$158,879/yr","Range: $127K - $186K"
"Senior Staff Engineer","$216,704/yr","Range: $160K - $272K"
"Staff Systems Engineer","$172,482/yr","Range: $145K - $193K"
"MTS2","$122,367/yr","Range: $109K - $143K"
"Senior Marketing Manager","$142,338/yr","Range: $125K - $174K"
"Senior Director","$255,686/yr","Range: $201K - $303K"
"Enterprise Account Executive","$128,802/yr","Range: $93K - $146K"
"Member of Technical Staff - Hourly Intern","$51/hr","Range: $41 - $63"
"Technical Support Engineer II","$78,613/yr","Range: $61K - $87K"
