"jobTitle","meanPay","Range"
"Software Development Engineer II","$136,553/yr","Range: $107K - $184K"
"Software Development Engineer I","$107,397/yr","Range: $91K - $141K"
"Software Development Engineer","$120,000/yr","Range: $99K - $183K"
"Warehouse Associate - Hourly","$15/hr","Range: $11 - $20"
"Software Development Engineer - Monthly Intern","$8,047/mo","Range: $3K - $10K"
"Fulfillment Associate - Hourly","$15/hr","Range: $11 - $18"
"Area Manager","$56,367/yr","Range: $45K - $99K"
"Amazon Warehouse Worker - Hourly","$14/hr","Range: $11 - $19"
"Software Engineer","$118,263/yr","Range: $60K - $168K"
"Senior Product Manager","$140,330/yr","Range: $90K - $206K"
"Operations Manager","$106,200/yr","Range: $41K - $171K"
"Amazon Area Manager","$60,717/yr","Range: $46K - $100K"
"Process Assistant - Hourly","$17/hr","Range: $12 - $22"
"Software Development Manager","$156,488/yr","Range: $69K - $225K"
"Warehouse Associate - Hourly","$15/hr","Range: $10 - $18"
"Senior Financial Analyst","$113,152/yr","Range: $82K - $150K"
"Program Manager","$91,421/yr","Range: $56K - $165K"
"Software Development Engineer III","$141,196/yr","Range: $112K - $199K"
"Amazon Warehouse Worker - Hourly","$14/hr","Range: $9 - $18"
"Fulfillment Associate - Hourly","$13/hr","Range: $10 - $19"
"SDE1","$109,172/yr","Range: $71K - $158K"
"Technical Program Manager","$129,213/yr","Range: $85K - $168K"
"Senior Program Manager","$129,674/yr","Range: $93K - $176K"
"Software Development Engineer-II","$140,196/yr","Range: $114K - $203K"
"Product Manager","$124,702/yr","Range: $66K - $194K"
"Software Development Manager III","$160,251/yr","Range: $126K - $192K"
"Sortation Associate - Hourly","$13/hr","Range: $11 - $15"
"Stower - Hourly","$13/hr","Range: $11 - $16"
"Technical Program Manager II","$131,590/yr","Range: $98K - $168K"
"SDE2","$137,507/yr","Range: $105K - $178K"
"Senior Software Development Engineer","$152,357/yr","Range: $108K - $193K"
"Picker - Hourly","$13/hr","Range: $11 - $16"
"Senior Technical Program Manager","$152,864/yr","Range: $117K - $190K"
"Senior Manager","$161,909/yr","Range: $90K - $235K"
"FC Associate - Hourly","$14/hr","Range: $11 - $17"
"Order Picker - Hourly","$14/hr","Range: $11 - $16"
"Brand Specialist","$61,577/yr","Range: $52K - $112K"
"Fullfilment Associate - Hourly","$14/hr","Range: $10 - $17"
"Packer - Hourly","$13/hr","Range: $11 - $17"
"Program Manager II","$93,782/yr","Range: $73K - $136K"
"Software Engineer() - Monthly Intern","$7,902/mo","Range: $5K - $9K"
"Business Analyst","$74,578/yr","Range: $43K - $120K"
"Amazon Software Development Engineer","$108,371/yr","Range: $49K - $156K"
"Software Engineer I","$106,192/yr","Range: $93K - $132K"
"Software Engineer II","$128,993/yr","Range: $100K - $172K"
"Customer Service Representative - Hourly","$11/hr","Range: $10 - $22"
"Executive Assistant","$69,452/yr","Range: $40K - $86K"
"Warehouse Worker - Hourly","$14/hr","Range: $10 - $20"
"Financial Analyst","$67,998/yr","Range: $49K - $105K"
"Senior Operations Manager","$134,655/yr","Range: $94K - $173K"
"Software Engineer - Monthly Intern","$6,930/mo","Range: $5K - $9K"
"Senior Software Engineer","$150,958/yr","Range: $94K - $191K"
"Finance Manager","$125,220/yr","Range: $93K - $150K"
"Data Engineer","$106,797/yr","Range: $83K - $139K"
"Business Intelligence Engineer","$103,748/yr","Range: $79K - $141K"
"Software Development Engineer In Test II","$117,784/yr","Range: $99K - $149K"
"Senior Marketing Manager","$137,825/yr","Range: $90K - $216K"
"Marketing Manager","$91,972/yr","Range: $52K - $169K"
"Quality Assurance Engineer II","$108,827/yr","Range: $91K - $140K"
"Manager","$102,824/yr","Range: $32K - $194K"
"Financial Analyst II","$81,527/yr","Range: $61K - $108K"
"Cloud Support Engineer","$91,561/yr","Range: $62K - $138K"
"Outbound Order Picker - Hourly","$13/hr","Range: $11 - $17"
"IT Support Technician - Hourly","$16/hr","Range: $14 - $23"
"FC Associate - Hourly","$14/hr","Range: $11 - $16"
"Account Manager","$82,912/yr","Range: $56K - $145K"
"Intern - Monthly","$6,603/mo","Range: $3K - $9K"
"Research Scientist","$121,422/yr","Range: $92K - $154K"
"Software Development Manager II","$139,764/yr","Range: $105K - $171K"
"Account Executive","$73,490/yr","Range: $56K - $150K"
"Vendor Manager","$85,129/yr","Range: $55K - $126K"
"Delivery Driver - Hourly","$16/hr","Range: $14 - $26"
"Senior Vendor Manager","$128,840/yr","Range: $108K - $154K"
"Customer Service Associate - Hourly","$12/hr","Range: $10 - $17"
"Software Development Engineer In Test I","$107,753/yr","Range: $94K - $133K"
"Data Engineer II","$118,606/yr","Range: $101K - $144K"
"Support Engineer","$85,292/yr","Range: $62K - $119K"
"Picker/Packer - Hourly","$13/hr","Range: $11 - $15"
"Technical Recruiter","$85,479/yr","Range: $57K - $121K"
"Warehouse Picker - Hourly","$13/hr","Range: $11 - $16"
"Recruiter","$76,632/yr","Range: $50K - $108K"
"SDEII","$132,556/yr","Range: $111K - $160K"
