"jobTitle","meanPay","Range"
"Software Development Engineer II","$122,995/yr","Range: $87K - $148K"
"Program Manager","$113,076/yr","Range: $88K - $140K"
"Software Design Engineer","$116,905/yr","Range: $95K - $125K"
"Director","$152,287/yr","Range: $115K - $197K"
"Senior Software Development Engineer","$141,057/yr","Range: $117K - $164K"
"Software Development Engineer I","$102,749/yr","Range: $80K - $122K"
"Software Development Engineer","$108,183/yr","Range: $86K - $139K"
"Product Manager","$115,324/yr","Range: $76K - $148K"
"Software Engineer In Test - II","$112,396/yr","Range: $89K - $130K"
"Software Engineer","$110,167/yr","Range: $94K - $146K"
"Market Manager","$81,239/yr","Range: $59K - $109K"
"Senior Program Manager","$135,235/yr","Range: $110K - $163K"
"Senior Product Manager","$140,761/yr","Range: $109K - $178K"
"Technical Product Manager","$116,122/yr","Range: $85K - $139K"
"Market Associate","$56,775/yr","Range: $48K - $66K"
"Associate Market Manager","$73,911/yr","Range: $59K - $90K"
"Marketing Associate","$56,137/yr","Range: $49K - $73K"
"Database Developer","$113,493/yr","Range: $98K - $132K"
"Software Test Engineer","$94,686/yr","Range: $83K - $114K"
"Senior Financial Analyst","$89,423/yr","Range: $78K - $103K"
"Senior Software Engineer","$144,711/yr","Range: $120K - $158K"
"Software Engineer In Test","$106,780/yr","Range: $102K - $122K"
"Senior Database Administrator","$118,492/yr","Range: $111K - $124K"
"Senior Project Manager","$115,410/yr","Range: $85K - $146K"
"Concierge - Hourly","$11/hr","Range: $10 - $13"
"Senior Manager","$125,413/yr","Range: $91K - $163K"
"Applications Engineer II","$113,934/yr","Range: $91K - $128K"
"Program Manager II","$116,214/yr","Range: $102K - $127K"
"Senior Director","$198,771/yr","Range: $174K - $227K"
"Business Analyst","$76,632/yr","Range: $51K - $106K"
"Senior Business Analyst","$92,136/yr","Range: $70K - $118K"
"Database Developer II","$122,622/yr","Range: $111K - $130K"
"Senior Software Design Engineer","$127,459/yr","Range: $115K - $144K"
"Project Manager","$96,509/yr","Range: $77K - $128K"
"Area Manager","$104,967/yr","Range: $94K - $131K"
"Software Development Engineer - Hourly Intern","$41/hr","Range: $36 - $52"
"Analytics Manager","$108,851/yr","Range: $103K - $129K"
"Finance Manager","$107,341/yr","Range: $72K - $118K"
"Marketing Manager","$90,579/yr","Range: $75K - $110K"
"Engineering Manager","$148,417/yr","Range: $133K - $187K"
"Manager","$91,526/yr","Range: $55K - $157K"
"Fraud Analyst","$44,613/yr","Range: $40K - $81K"
"Senior Marketing Manager","$115,745/yr","Range: $98K - $151K"
"Senior Technical Product Manager","$138,722/yr","Range: $124K - $152K"
"Analyst","$68,281/yr","Range: $48K - $91K"
"Software Engineer In Test, I","$94,340/yr","Range: $88K - $108K"
"Software Development Engineer-II","$126,922/yr","Range: $97K - $142K"
"Manager, Software Development","$137,840/yr","Range: $131K - $168K"
"Test Manager","$134,367/yr","Range: $112K - $146K"
"Software Engineering Manager","$149,641/yr","Range: $112K - $202K"
"Software Design Engineer II","$116,507/yr","Range: $108K - $121K"
"Senior Account Manager","$98,911/yr","Range: $89K - $110K"
"Director of Technology","$171,773/yr","Range: $142K - $199K"
"Software Development Manager","$146,618/yr","Range: $131K - $158K"
"Technical Program Manager","$128,241/yr","Range: $91K - $135K"
"Supervisor","$52,086/yr","Range: $45K - $59K"
"Washington","$122,313/yr","Range: $64K - $158K"
"Software Engineer() - Hourly Intern","$49/hr","Range: $39 - $49"
"Executive Assistant","$74,371/yr","Range: $58K - $92K"
"Financial Analyst","$67,595/yr","Range: $35K - $112K"
"Group Manager","$158,305/yr","Range: $148K - $187K"
"Account Manager","$76,529/yr","Range: $60K - $100K"
"Software Engineer II","$117,804/yr","Range: $92K - $131K"
"Marketing Director","$148,561/yr","Range: $132K - $190K"
"Vice President","$239,740/yr","Range: $216K - $324K"
"Senior Analyst","$106,081/yr","Range: $66K - $121K"
"Data Scientist","$128,437/yr","Range: $93K - $166K"
"Director, Technology","$164,230/yr","Range: $149K - $203K"
"Senior Reporting Analyst","$88,346/yr","Range: $76K - $93K"
"Sales Agent - Hourly","$12/hr","Range: $11 - $21"
"Senior Systems Engineer","$131,463/yr","Range: $117K - $142K"
"Content Editor - Hourly Contractor","$17/hr","Range: $15 - $25"
"Test Design Engineer","$103,915/yr","Range: $82K - $133K"
"Director, Product Management","$165,970/yr","Range: $145K - $180K"
"Test Lead","$109,697/yr","Range: $100K - $111K"
"IT Manager","$127,867/yr","Range: $67K - $212K"
"Operations Manager","$95,081/yr","Range: $64K - $112K"
"Software Development Engineer In Test (SDET)","$107,225/yr","Range: $101K - $145K"
"Fraud Analyst - Hourly","$20/hr","Range: $17 - $25"
"Principal Software Engineer","$156,080/yr","Range: $140K - $201K"
"Product Manager II","$113,124/yr","Range: $98K - $133K"
"Customer Service Representative - Hourly","$16/hr","Range: $10 - $20"
"Senior Software Engineer In Test","$130,092/yr","Range: $110K - $146K"
"Manager - Engineering","$147,847/yr","Range: $133K - $163K"
"Senior Systems Analyst","$79,233/yr","Range: $57K - $121K"
"Software Architect","$161,869/yr","Range: $153K - $173K"
"Senior Project/Program Manager","$125,554/yr","Range: $123K - $142K"
"Intern - Hourly","$28/hr","Range: $16 - $53"
"Associate Marketing Manager","$64,547/yr","Range: $40K - $72K"
"Senior Accountant","$79,741/yr","Range: $68K - $81K"
"Senior Technical Program Manager","$158,027/yr","Range: $142K - $162K"
"Senior Applications Engineer","$124,458/yr","Range: $104K - $166K"
"Intern - Hourly","$41/hr","Range: $29 - $52"
"User Experience Designer","$84,552/yr","Range: $70K - $95K"
"Systems Administrator","$76,649/yr","Range: $68K - $113K"
"Software Engineer/Developer II","$120,852/yr","Range: $110K - $135K"
"Account Management Manager","$81,581/yr","Range: $76K - $96K"
"Sr. Software Engineer","$151,835/yr","Range: $127K - $156K"
"Director of Product Management","$164,334/yr","Range: $129K - $179K"
"Development Lead","$130,937/yr","Range: $109K - $149K"
"Database Administrator","$105,269/yr","Range: $101K - $124K"
"Systems Analyst","$78,468/yr","Range: $54K - $92K"
"Senior Systems Administrator","$116,166/yr","Range: $99K - $125K"
"Finance Analyst","$74,437/yr","Range: $55K - $92K"
"Software Engineer-II","$121,778/yr","Range: $97K - $136K"
"Senior Software Dev Engineer","$130,461/yr","Range: $122K - $156K"
"Systems Engineer II","$113,705/yr","Range: $86K - $125K"
"Media Producer - Hourly Contractor","$16/hr","Range: $13 - $28"
"Concierge - Hourly","$11/hr","Range: $10 - $13"
"Product Management Director","$152,474/yr","Range: $133K - $179K"
"IOS Engineer","$132,435/yr","Range: $103K - $151K"
"Applications Engineer","$87,720/yr","Range: $78K - $120K"
"SDE1","$103,924/yr","Range: $100K - $125K"
"Lodging Operations Agent - Hourly","$16/hr","Range: $15 - $17"
"Concierge","$26,249/yr","Range: $21K - $28K"
"Senior Technology Lead","$138,191/yr","Range: $125K - $146K"
"Senior IT Project Manager","$142,959/yr","Range: $131K - $154K"
"HR Associate III","$67,835/yr","Range: $67K - $73K"
"Software Engineer - Hourly Intern","$40/hr","Range: $32 - $43"
"Software Development Engineer In Test II","$116,142/yr","Range: $105K - $126K"
"Director of Development","$159,119/yr","Range: $154K - $176K"
"Content Strategist","$89,492/yr","Range: $62K - $96K"
"SDEII","$130,705/yr","Range: $113K - $135K"
"Content Editor/Writer","$51,745/yr","Range: $47K - $76K"
"Senior Finance Analyst","$84,739/yr","Range: $81K - $93K"
"Systems Engineer","$107,025/yr","Range: $77K - $122K"
"SEO Manager","$99,500/yr","Range: $90K - $111K"
"Market Management Coordinator","$50,683/yr","Range: $35K - $59K"
"SDE2","$120,663/yr","Range: $113K - $142K"
"Software Design Engineer In Test","$100,743/yr","Range: $93K - $109K"
"Senior Database Developer","$125,690/yr","Range: $109K - $133K"
"Software Developer","$126,855/yr","Range: $82K - $152K"
"Senior Interaction Designer","$101,172/yr","Range: $100K - $131K"
"SDET2","$109,905/yr","Range: $93K - $128K"
"Software Dev Engineer II (Applications Developer)","$129,125/yr","Range: $85K - $134K"
"Operations Analyst","$61,613/yr","Range: $53K - $80K"
"Director, Marketing","$131,362/yr","Range: $126K - $157K"
"Senior Partner Marketing Manager","$103,497/yr","Range: $94K - $110K"
"Engineering Program Manager II","$124,069/yr","Range: $120K - $128K"
"Development Manager","$150,356/yr","Range: $115K - $157K"
"Instructional Designer","$67,942/yr","Range: $58K - $82K"
"Senior Operations Manager","$134,168/yr","Range: $75K - $170K"
"Senior Web Designer","$108,776/yr","Range: $98K - $123K"
"Content Manager","$79,071/yr","Range: $71K - $98K"
"Senior Director, Product Management","$208,341/yr","Range: $168K - $220K"
"Data Engineer","$98,361/yr","Range: $82K - $135K"
"Senior Recruiter","$118,794/yr","Range: $114K - $126K"
"Tier III Customer Service Representative - Hourly","$16/hr","Range: $14 - $17"
"Geographer","$60,756/yr","Range: $55K - $68K"
"Senior Market Manager","$107,421/yr","Range: $14K - $118K"
"Data Manager","$73,585/yr","Range: $70K - $77K"
"Marketing Manager - Hourly Contractor","$54/hr","Range: $46 - $56"
"Senior Accountant I","$70,184/yr","Range: $65K - $73K"
"Market Management Coordinator - Hourly","$22/hr","Range: $22 - $24"
"Star Ratings Specialist - Hourly Contractor","$20/hr","Range: $20 - $24"
"Associate Software Engineer","$100,309/yr","Range: $73K - $113K"
"Principal Software Development Engineer","$184,336/yr","Range: $171K - $191K"
"SDE-II","$128,473/yr","Range: $119K - $136K"
"Senior Finance Manager","$125,553/yr","Range: $123K - $134K"
"Human Resources Manager","$104,030/yr","Range: $86K - $106K"
"Senior Data Analyst","$124,325/yr","Range: $121K - $126K"
"Collector - Hourly","$17/hr","Range: $15 - $18"
"Revenue Specialist","$46,638/yr","Range: $45K - $55K"
"Business Development Manager","$117,195/yr","Range: $116K - $129K"
"Software Engineer I","$116,931/yr","Range: $108K - $139K"
"Software Development Engineer Intern","$103,019/yr","Range: $94K - $112K"
"Web Developer","$85,561/yr","Range: $73K - $101K"
"Accountant","$61,039/yr","Range: $35K - $70K"
"Senior Software Development Engineer In Test (SDET)","$131,583/yr","Range: $106K - $136K"
"Training Manager","$94,874/yr","Range: $77K - $95K"
"Senior Android Engineer","$148,561/yr","Range: $136K - $156K"
"Senior Data Scientist","$145,789/yr","Range: $144K - $158K"
"Director of Analytics","$149,502/yr","Range: $147K - $172K"
"Senior Product Analyst","$98,242/yr","Range: $92K - $116K"
"Group Program Manager","$136,340/yr","Range: $123K - $149K"
"Accounting Manager","$104,122/yr","Range: $100K - $111K"
"Software Development Engineer II - Hourly Contractor","$65/hr","Range: $59 - $68"
"Director, Operations Management","$129,872/yr","Range: $126K - $133K"
"Senior BI Manager","$139,863/yr","Range: $137K - $144K"
"Graphic Designer","$68,201/yr","Range: $61K - $77K"
"Devops Engineer","$114,630/yr","Range: $100K - $123K"
"Financial Systems Manager","$116,580/yr","Range: $110K - $120K"
"User Experience Researcher","$106,864/yr","Range: $94K - $129K"
"Senior Network Engineer","$124,547/yr","Range: $99K - $136K"
"Senior Marketing Analyst","$86,771/yr","Range: $87K - $103K"
"Revenue Manager","$82,864/yr","Range: $80K - $103K"
"Software Development Engineer In Test","$106,102/yr","Range: $104K - $113K"
"Senior Software Test Engineer","$136,015/yr","Range: $120K - $146K"
"Product Designer","$92,906/yr","Range: $80K - $117K"
"Senior Security Engineer","$132,196/yr","Range: $129K - $152K"
"Performance Engineer II","$111,567/yr","Range: $103K - $119K"
"Account Executive","$69,991/yr","Range: $56K - $94K"
"Software Engineer - Hourly Contractor","$62/hr","Range: $41 - $136"
"Associate Software Development Engineer","$81,345/yr","Range: $76K - $88K"
"Trainer","$49,637/yr","Range: $42K - $62K"
"Associate Account Management Manager","$69,157/yr","Range: $67K - $74K"
"Senior HR Business Partner","$108,305/yr","Range: $98K - $118K"
"Coordinator - Hourly","$19/hr","Range: $18 - $25"
"Statistician","$112,618/yr","Range: $94K - $121K"
"Market Analyst","$82,210/yr","Range: $80K - $91K"
"Senior Functional Oracle Analyst","$124,556/yr","Range: $124K - $128K"
"Campaign Manager","$76,746/yr","Range: $66K - $84K"
"Senior Database Engineer","$122,318/yr","Range: $114K - $129K"
"Operations Support Analyst","$63,096/yr","Range: $54K - $64K"
"Senior Product Marketing Manager","$141,039/yr","Range: $133K - $154K"
"Principal Program Manager","$161,517/yr","Range: $133K - $183K"
"Copywriter","$73,421/yr","Range: $56K - $80K"
"Senior CopyWriter","$86,964/yr","Range: $80K - $91K"
"Senior User Experience Designer","$104,109/yr","Range: $102K - $109K"
"Human Resources","$99,041/yr","Range: $78K - $167K"
"Interaction Designer","$77,754/yr","Range: $77K - $92K"
"Senior Trainer","$51,821/yr","Range: $46K - $63K"
"Manager, Program Management","$139,331/yr","Range: $119K - $152K"
"Principal Product Manager","$141,071/yr","Range: $126K - $176K"
"Corporate Account Manager","$79,996/yr","Range: $66K - $94K"
"Security Engineer","$104,967/yr","Range: $82K - $128K"
"Implementation Engineer","$94,865/yr","Range: $93K - $102K"
"Online Marketing Manager","$91,365/yr","Range: $91K - $92K"
"BI Developer","$94,874/yr","Range: $88K - $130K"
"Recruiter","$64,807/yr","Range: $65K - $105K"
"Lodging Support Agent - Hourly","$16/hr","Range: $14 - $18"
"Senior Global Product Manager","$146,348/yr","Range: $139K - $153K"
"E-Commerce Manager","$92,647/yr","Range: $89K - $97K"
"Marketing Coordinator","$44,231/yr","Range: $42K - $46K"
"Senior Web Developer","$104,105/yr","Range: $94K - $110K"
"Media Producer","$58,984/yr","Range: $57K - $60K"
"Senior Software Developer","$145,038/yr","Range: $132K - $167K"
"PR Manager","$91,223/yr","Range: $79K - $93K"
"Test Engineer","$90,058/yr","Range: $76K - $120K"
"IT Director","$174,478/yr","Range: $170K - $183K"
"Contract Specialist","$74,665/yr","Range: $69K - $76K"
"Senior Tax Analyst","$91,288/yr","Range: $80K - $99K"
"Senior Director of Technology","$215,740/yr","Range: $207K - $224K"
"Content Editor","$56,062/yr","Range: $54K - $58K"
"Program Manager I","$105,173/yr","Range: $94K - $108K"
"UI Engineer","$113,555/yr","Range: $105K - $121K"
"SEM Payments Specialist","$50,624/yr","Range: $48K - $53K"
"Expedia Local Expert - Hourly","$14/hr","Range: $13 - $15"
"Senior Manager Financial Systems","$125,900/yr","Range: $120K - $131K"
"Project Manager I","$92,228/yr","Range: $86K - $99K"
"Senior Director Technology","$215,206/yr","Range: $191K - $240K"
"Media Producer - Hourly","$19/hr","Range: $16 - $22"
"Business Analysis Manager","$107,955/yr","Range: $104K - $113K"
"Network Engineer","$91,349/yr","Range: $70K - $114K"
"HR Associate","$64,484/yr","Range: $59K - $69K"
"User Experience Lead","$122,151/yr","Range: $117K - $127K"
"Senior UX Researcher","$119,317/yr","Range: $114K - $124K"
"Tax Manager","$115,041/yr","Range: $101K - $130K"
"Lodging Support Services - Hourly","$17/hr","Range: $16 - $18"
"Senior Performance Engineer","$109,948/yr","Range: $104K - $116K"
"Lead Program Manager","$133,210/yr","Range: $115K - $153K"
"Senior FP&A Manager","$121,325/yr","Range: $112K - $132K"
"Audit Manager","$114,198/yr","Range: $98K - $131K"
"Director, Analytics Management","$156,432/yr","Range: $137K - $177K"
"Senior Release Manager","$124,318/yr","Range: $104K - $147K"
"Customer Service Agent","$34,040/yr","Range: $30K - $38K"
"Senior Technical Manager","$129,309/yr","Range: $124K - $135K"
"Human Resources Generalist","$66,978/yr","Range: $59K - $75K"
"Senior SEO Specialist","$76,427/yr","Range: $67K - $87K"
"Ecommerce Director","$145,471/yr","Range: $124K - $170K"
"Vice President, Product Management","$228,592/yr","Range: $187K - $274K"
"Recruiting Coordinator - Hourly","$24/hr","Range: $23 - $25"
"Marketing Specialist","$65,189/yr","Range: $40K - $93K"
"Senior Executive Assistant","$80,278/yr","Range: $78K - $84K"
"Business Analyst - Hourly","$25/hr","Range: $20 - $30"
"Windows Systems Administrator","$90,258/yr","Range: $83K - $97K"
"UI Developer","$100,739/yr","Range: $97K - $105K"
"Release Manager","$119,479/yr","Range: $110K - $130K"
"Business Intelligence Manager","$110,459/yr","Range: $103K - $118K"
"Senior Designer","$97,251/yr","Range: $81K - $115K"
"Sales Representative - Hourly","$15/hr","Range: $11 - $20"
"California","$87,310/yr","Range: $54K - $123K"
"Market Coordinator - Hourly","$21/hr","Range: $19 - $24"
"IT Project Manager","$127,065/yr","Range: $120K - $133K"
"Technology Operations Manager","$141,389/yr","Range: $135K - $149K"
"Senior Process Analyst","$90,362/yr","Range: $86K - $95K"
"Senior Manager Analytics","$138,855/yr","Range: $129K - $147K"
"Senior Director, IT","$219,168/yr","Range: $209K - $231K"
"Senior Internal Auditor","$90,002/yr","Range: $85K - $95K"
"Site Conversion Manager","$90,685/yr","Range: $80K - $101K"
"IT Support Technician - Hourly","$25/hr","Range: $24 - $26"
"Product Marketing Manager","$106,456/yr","Range: $94K - $121K"
"Salesforce Administrator","$91,732/yr","Range: $80K - $103K"
"Global Product Manager","$110,869/yr","Range: $96K - $127K"
"Web Producer","$69,881/yr","Range: $59K - $80K"
"Geographer - Hourly Contractor","$25/hr","Range: $21 - $29"
"Business Objects Developer","$111,208/yr","Range: $98K - $126K"
"Software Test Engineer II","$113,693/yr","Range: $102K - $127K"
"Training and Development Manager","$93,994/yr","Range: $88K - $100K"
"Principal Technical Product Manager","$121,995/yr","Range: $79K - $169K"
"Senior Data Engineer","$157,630/yr","Range: $137K - $180K"
"Clerical","$39,713/yr","Range: $34K - $46K"
"Director, Communications Management","$123,872/yr","Range: $118K - $130K"
"Salesforce Developer","$98,139/yr","Range: $80K - $119K"
"Software Development Engineer In Test I","$105,185/yr","Range: $100K - $110K"
"Support Manager","$59,642/yr","Range: $56K - $63K"
"Software Engineer In Test I","$99,569/yr","Range: $81K - $118K"
"Systems Administrator - Hourly","$42/hr","Range: $30 - $55"
"Compliance Manager","$86,427/yr","Range: $77K - $97K"
"Administrative Assistant - Hourly","$22/hr","Range: $19 - $25"
"Engineer","$58,327/yr","Range: $39K - $79K"
"Vice President Engineering","$242,741/yr","Range: $198K - $290K"
"Release Engineer II","$110,206/yr","Range: $97K - $124K"
"Financial Operations Supervisor","$47,909/yr","Range: $45K - $50K"
"Product Manager Mobile","$122,501/yr","Range: $115K - $130K"
"Senior Technical Project Manager","$125,303/yr","Range: $100K - $152K"
