"jobTitle","meanPay","Range"
"Senior Consultant","$99,890/yr","Range: $61K - $186K"
"Managing Consultant","$133,707/yr","Range: $81K - $194K"
"Computer Programmer","$77,444/yr","Range: $45K - $119K"
"Software Engineer","$101,093/yr","Range: $48K - $169K"
"Advisory Software Engineer","$124,633/yr","Range: $73K - $168K"
"Computer Systems Analyst","$87,009/yr","Range: $68K - $130K"
"Consultant","$75,142/yr","Range: $26K - $161K"
"Staff Software Engineer","$101,027/yr","Range: $76K - $157K"
"Application Developer","$74,649/yr","Range: $41K - $129K"
"Senior Software Engineer","$144,470/yr","Range: $72K - $199K"
"Senior Managing Consultant","$169,854/yr","Range: $91K - $241K"
"IT Specialist","$80,057/yr","Range: $41K - $171K"
"Senior Systems Engineer","$76,625/yr","Range: $61K - $167K"
"Project Manager","$100,009/yr","Range: $52K - $186K"
"Research Staff Member","$167,626/yr","Range: $67K - $272K"
"Financial Analyst","$50,457/yr","Range: $37K - $162K"
"Application Programmer","$75,208/yr","Range: $41K - $106K"
"Systems Engineer","$76,718/yr","Range: $48K - $197K"
"Associate Partner","$219,364/yr","Range: $137K - $325K"
"IBM Corporation","$109,929/yr","Range: $38K - $244K"
"Senior IT Specialist","$115,780/yr","Range: $55K - $165K"
"Software Developer","$88,551/yr","Range: $44K - $160K"
"Business Analyst","$77,922/yr","Range: $36K - $264K"
"Technical Lead","$76,082/yr","Range: $54K - $157K"
"Package Solution Consultant","$82,672/yr","Range: $46K - $161K"
"Senior Project Manager","$129,109/yr","Range: $78K - $197K"
"Program Manager","$113,526/yr","Range: $53K - $216K"
"Advisory IT Specialist","$94,172/yr","Range: $67K - $146K"
"IT Architect","$113,156/yr","Range: $68K - $171K"
"IBM GBS Consulting By Degrees Entry Level Consultant","$73,829/yr","Range: $53K - $83K"
"Postdoctoral Researcher","$129,175/yr","Range: $82K - $203K"
"Senior Strategy Consultant","$134,017/yr","Range: $83K - $154K"
"Intern - Hourly","$25/hr","Range: $16 - $46"
"Advisory Systems Analyst","$81,840/yr","Range: $68K - $108K"
"Manager","$128,486/yr","Range: $49K - $204K"
"Advisory Engineer","$118,813/yr","Range: $94K - $148K"
"Senior Applications Developer","$76,305/yr","Range: $62K - $125K"
"Solutions Architect","$129,001/yr","Range: $67K - $199K"
"SAP Consultant","$79,758/yr","Range: $43K - $130K"
"Service Delivery Manager","$100,022/yr","Range: $60K - $190K"
"Product Manager","$117,484/yr","Range: $57K - $230K"
"Test Lead","$74,364/yr","Range: $60K - $89K"
"Software Engineer - Hourly Intern","$26/hr","Range: $20 - $38"
"Applications Developer","$62,945/yr","Range: $41K - $132K"
"Software Developer - Hourly Intern","$26/hr","Range: $19 - $36"
"Advisory Hardware Engineer","$114,449/yr","Range: $92K - $140K"
"Test Specialist","$74,910/yr","Range: $60K - $104K"
"Technical Team Lead","$77,781/yr","Range: $63K - $130K"
"Advisory Software Engineer (Band 8)","$122,607/yr","Range: $97K - $159K"
"Sales Specialist","$105,459/yr","Range: $47K - $192K"
"Applications Architect","$86,623/yr","Range: $65K - $165K"
"Senior Financial Analyst","$91,373/yr","Range: $52K - $158K"
"Senior IT Architect","$143,883/yr","Range: $89K - $185K"
"Applications Consultant","$82,801/yr","Range: $65K - $108K"
"Managing Consultant - Strategy","$151,627/yr","Range: $87K - $181K"
"Program Director","$176,070/yr","Range: $132K - $230K"
"Marketing Manager","$116,284/yr","Range: $61K - $175K"
"Software Engineer (Band 6)","$77,523/yr","Range: $67K - $97K"
"IT Project Manager","$100,729/yr","Range: $64K - $177K"
"Advisory Consultant","$86,096/yr","Range: $77K - $105K"
"Senior Program Manager","$138,954/yr","Range: $94K - $189K"
"Advisory Project Manager","$110,067/yr","Range: $82K - $148K"
"Staff Engineer","$93,494/yr","Range: $56K - $114K"
"Technical Sales Specialist","$113,004/yr","Range: $75K - $178K"
"Delivery Project Executive","$128,630/yr","Range: $80K - $200K"
"Senior Product Manager","$143,787/yr","Range: $103K - $196K"
"Software Sales Representative","$115,594/yr","Range: $54K - $173K"
"Management Consultant","$111,724/yr","Range: $69K - $171K"
