"jobTitle","meanPay","Range"
"Senior Software Engineer","$134,273/yr","Range: $91K - $190K"
"Software Engineer","$104,376/yr","Range: $58K - $184K"
"Staff Software Engineer","$161,848/yr","Range: $96K - $226K"
"Product Manager","$124,931/yr","Range: $79K - $170K"
"Senior Product Manager","$159,076/yr","Range: $113K - $197K"
"Software Engineer II","$111,297/yr","Range: $81K - $139K"
"Marketing Manager","$117,867/yr","Range: $69K - $143K"
"Senior Marketing Manager","$152,107/yr","Range: $124K - $173K"
"QA Engineer","$102,281/yr","Range: $82K - $129K"
"Software Engineer() - Hourly Intern","$40/hr","Range: $33 - $44"
"Software Engineer - Hourly Intern","$35/hr","Range: $27 - $43"
"Senior Systems Engineer","$108,405/yr","Range: $95K - $139K"
"Senior QA Engineer","$127,517/yr","Range: $94K - $155K"
"Director","$237,563/yr","Range: $195K - $265K"
"Group Marketing Manager","$184,038/yr","Range: $164K - $217K"
"Senior Business Analyst","$109,104/yr","Range: $75K - $154K"
"Software Engineer I","$102,754/yr","Range: $83K - $121K"
"Senior Program Manager","$145,227/yr","Range: $100K - $189K"
"Senior Manager","$148,824/yr","Range: $85K - $210K"
"Software Engineering - Hourly Intern","$32/hr","Range: $30 - $39"
"Rotational Development Associate","$73,782/yr","Range: $65K - $121K"
"Group Manager","$169,493/yr","Range: $133K - $202K"
"Group Product Manager","$184,896/yr","Range: $162K - $210K"
"Senior Software QA Engineer","$119,531/yr","Range: $108K - $141K"
"Software Architect","$201,887/yr","Range: $161K - $290K"
"Senior Interaction Designer","$129,281/yr","Range: $112K - $151K"
"Senior Business Data Analyst","$129,303/yr","Range: $88K - $152K"
"Staff Business Analyst","$132,897/yr","Range: $96K - $162K"
"Associate Marketing Manager","$90,287/yr","Range: $67K - $114K"
"Technical Support Representative - Hourly","$18/hr","Range: $14 - $23"
"Principal Software Engineer","$188,033/yr","Range: $158K - $211K"
"Group Engineering Manager","$200,897/yr","Range: $174K - $219K"
"Staff Software QA Engineer","$135,715/yr","Range: $104K - $182K"
"Customer Service Representative - Hourly","$17/hr","Range: $10 - $22"
"Program Manager","$114,589/yr","Range: $89K - $176K"
"Senior Financial Analyst","$100,104/yr","Range: $86K - $128K"
"Staff Program Manager","$171,836/yr","Range: $138K - $198K"
"Senior Product Marketing Manager","$160,091/yr","Range: $141K - $173K"
"Project Manager","$96,340/yr","Range: $44K - $143K"
"Financial Analyst","$73,497/yr","Range: $59K - $96K"
"Senior Offering Program Manager","$149,586/yr","Range: $131K - $185K"
"Senior Engineering Manager","$185,021/yr","Range: $160K - $204K"
"Associate Product Manager","$91,995/yr","Range: $77K - $112K"
"CA","$144,155/yr","Range: $82K - $208K"
"Software Engineer Co-Op - Hourly Intern","$37/hr","Range: $30 - $44"
"Senior Software Development Manager","$167,964/yr","Range: $129K - $216K"
"Senior QA Analyst","$100,453/yr","Range: $75K - $130K"
"Instructional Designer","$92,741/yr","Range: $70K - $113K"
"Manager","$86,732/yr","Range: $50K - $215K"
"Intern - Hourly","$35/hr","Range: $25 - $41"
"Software Engineer Coop - Hourly Intern","$37/hr","Range: $29 - $42"
"Offering Program Manager","$124,243/yr","Range: $105K - $138K"
"Senior Business Systems Analyst","$96,882/yr","Range: $78K - $141K"
"Senior Applications Operations Engineer","$128,357/yr","Range: $107K - $154K"
"Account Executive","$53,906/yr","Range: $41K - $74K"
"Sales Manager","$71,254/yr","Range: $43K - $118K"
"Systems Engineer","$93,922/yr","Range: $83K - $152K"
"Director of Product Management","$225,397/yr","Range: $213K - $305K"
"Staff Systems Engineer","$124,273/yr","Range: $107K - $155K"
"Interaction Designer","$109,447/yr","Range: $73K - $172K"
"Software Engineer-II","$115,391/yr","Range: $91K - $139K"
"Senior Data Scientist","$140,219/yr","Range: $90K - $201K"
"Tax Analyst Programmer","$89,650/yr","Range: $71K - $130K"
"Intern - Hourly","$32/hr","Range: $29 - $37"
"Business Analyst","$75,809/yr","Range: $60K - $92K"
"Business Systems Analyst","$100,908/yr","Range: $55K - $112K"
"Web Developer","$93,491/yr","Range: $47K - $109K"
"Senior Applications Developer","$143,267/yr","Range: $112K - $148K"
"Engineering Manager","$162,489/yr","Range: $141K - $200K"
"Account Manager","$65,051/yr","Range: $47K - $128K"
"Software Engineer Co-Op - Hourly","$38/hr","Range: $32 - $39"
"Sales Consultant","$49,520/yr","Range: $40K - $52K"
"Director of Marketing","$237,563/yr","Range: $220K - $257K"
"Senior Database Administrator","$136,271/yr","Range: $127K - $150K"
"Executive Assistant","$84,923/yr","Range: $75K - $114K"
"Customer Service and Support Specialist - Hourly","$18/hr","Range: $14 - $25"
"IT Manager","$153,100/yr","Range: $77K - $172K"
"QA Engineer II","$96,036/yr","Range: $84K - $100K"
"Inside Sales Representative","$53,765/yr","Range: $32K - $73K"
"Manager I","$66,613/yr","Range: $55K - $88K"
"Seasonal Tax Specialist - Hourly","$22/hr","Range: $18 - $26"
"Technical Data Analyst","$99,917/yr","Range: $60K - $121K"
"Web Marketing Manager","$135,359/yr","Range: $108K - $139K"
"Staff Engineer","$160,834/yr","Range: $148K - $201K"
"Lead Financial Analyst","$132,556/yr","Range: $112K - $160K"
"Senior Project Manager","$119,587/yr","Range: $107K - $178K"
"Director Software Engineering","$231,064/yr","Range: $159K - $250K"
"Data Scientist","$133,155/yr","Range: $102K - $145K"
"Analyst","$70,581/yr","Range: $54K - $91K"
"QA Analyst","$68,843/yr","Range: $49K - $92K"
"Visual Designer","$96,361/yr","Range: $87K - $118K"
"Senior Network Engineer","$141,148/yr","Range: $119K - $172K"
"Software Engineer II In Quality","$106,720/yr","Range: $94K - $116K"
"Principal Interaction Designer","$165,657/yr","Range: $131K - $184K"
"Product Marketing Manager","$119,469/yr","Range: $88K - $136K"
"Senior Technical Program Manager","$141,984/yr","Range: $92K - $192K"
"Staff Offering Program Manager","$177,888/yr","Range: $122K - $200K"
"Customer Support Representative - Hourly","$16/hr","Range: $16 - $19"
"Senior Web Developer","$109,032/yr","Range: $103K - $146K"
"Finance Leader","$140,342/yr","Range: $106K - $146K"
"Business Data Analyst","$104,109/yr","Range: $87K - $129K"
"Database Administrator","$118,685/yr","Range: $74K - $133K"
"Director of Product Development","$242,004/yr","Range: $199K - $266K"
"Senior Technical Data Analyst","$127,669/yr","Range: $124K - $151K"
"California","$148,712/yr","Range: $86K - $185K"
