"jobTitle","meanPay","Range"
"Software Development Engineer","$120,766/yr","Range: $90K - $171K"
"Software Development Engineer In Test (SDET)","$112,456/yr","Range: $25K - $171K"
"Program Manager","$125,515/yr","Range: $60K - $188K"
"Software Development Engineer II","$133,042/yr","Range: $101K - $173K"
"Senior Software Development Engineer","$159,132/yr","Range: $100K - $199K"
"Senior Program Manager","$160,000/yr","Range: $105K - $199K"
"Program Manager II","$131,596/yr","Range: $75K - $167K"
"Software Development Engineer In Test (SDET) II","$124,064/yr","Range: $92K - $162K"
"Software Engineer","$120,000/yr","Range: $53K - $168K"
"Software Engineer II","$135,832/yr","Range: $101K - $164K"
"Software Development Engineer In Test, II","$124,279/yr","Range: $100K - $159K"
"Senior Software Engineer","$162,353/yr","Range: $91K - $198K"
"Software Development Engineer - Monthly Intern","$7,482/mo","Range: $5K - $9K"
"Software Development Engineer (SDE) II","$131,638/yr","Range: $102K - $180K"
"Senior Product Manager","$141,159/yr","Range: $111K - $189K"
"Premier Field Engineer","$122,047/yr","Range: $82K - $164K"
"Principal Program Manager","$184,983/yr","Range: $107K - $265K"
"Technical Account Manager","$87,950/yr","Range: $59K - $159K"
"Product Manager","$123,174/yr","Range: $79K - $220K"
"Lead Software Development Engineer","$148,133/yr","Range: $89K - $192K"
"Director","$182,306/yr","Range: $125K - $270K"
"Finance Manager","$114,396/yr","Range: $84K - $138K"
"Principal Software Development Engineer","$186,914/yr","Range: $89K - $256K"
"Service Engineer","$110,900/yr","Range: $79K - $151K"
"Senior Lead Program Manager","$154,390/yr","Range: $118K - $193K"
"Senior Finance Manager","$132,240/yr","Range: $109K - $168K"
"Senior Software Development Engineer In Test (SDET)","$141,546/yr","Range: $102K - $165K"
"Product Advisor - Hourly","$15/hr","Range: $12 - $19"
"Product Marketing Manager","$120,857/yr","Range: $90K - $175K"
"Software Engineer() - Monthly Intern","$7,436/mo","Range: $6K - $8K"
"Senior Product Marketing Manager","$143,882/yr","Range: $119K - $186K"
"Researcher","$154,003/yr","Range: $36K - $207K"
"Software Engineer-II","$134,928/yr","Range: $121K - $150K"
"Support Engineer","$86,997/yr","Range: $66K - $122K"
"User Experience Designer","$112,629/yr","Range: $85K - $146K"
"Lead Software Development Engineer In Test (SDET)","$121,234/yr","Range: $103K - $159K"
"Operations Program Manager","$111,664/yr","Range: $82K - $168K"
"Senior Support Escalation Engineer","$112,780/yr","Range: $98K - $146K"
"Program Manager - Monthly Intern","$7,373/mo","Range: $3K - $8K"
"SDE2","$132,096/yr","Range: $101K - $158K"
"Software Development Engineer I","$110,448/yr","Range: $80K - $134K"
"Senior Service Engineer","$142,503/yr","Range: $109K - $186K"
"Principal Program Manager Lead","$184,117/yr","Range: $151K - $220K"
"Senior Test Lead","$144,468/yr","Range: $125K - $174K"
"SDEII","$130,574/yr","Range: $105K - $160K"
"Marketing Manager","$121,352/yr","Range: $63K - $179K"
"Product Advisor - Hourly","$15/hr","Range: $13 - $20"
"Software Development Engineer In Test (SDET) - Monthly Intern","$7,054/mo","Range: $4K - $8K"
"Research - Monthly Intern","$8,622/mo","Range: $6K - $9K"
"Senior Director","$204,841/yr","Range: $157K - $270K"
"Associate Consultant","$78,086/yr","Range: $71K - $104K"
"Senior Marketing Manager","$142,552/yr","Range: $115K - $168K"
"Account Executive","$121,050/yr","Range: $51K - $200K"
"Senior Software Development Engineer In Test Lead","$141,086/yr","Range: $125K - $173K"
"Senior Software Development Engineer Lead","$153,209/yr","Range: $127K - $191K"
"Business Program Manager","$125,399/yr","Range: $90K - $164K"
"Senior Consultant","$135,757/yr","Range: $110K - $176K"
"Principal Group Program Manager","$195,684/yr","Range: $157K - $265K"
"Senior Support Engineer","$98,402/yr","Range: $65K - $128K"
"Account Manager","$110,385/yr","Range: $43K - $167K"
"Support Escalation Engineer","$97,972/yr","Range: $70K - $142K"
"Program Manager I","$108,091/yr","Range: $87K - $127K"
"Intern - Monthly","$7,536/mo","Range: $2K - $9K"
"Research Software Development Engineer","$127,700/yr","Range: $95K - $147K"
"Software Developer","$113,786/yr","Range: $54K - $140K"
"Systems Engineer","$107,019/yr","Range: $69K - $153K"
"Principal Software Engineer","$187,634/yr","Range: $161K - $210K"
"User Experience Designer II","$130,496/yr","Range: $101K - $162K"
"Marketing Director","$173,563/yr","Range: $138K - $212K"
"Solutions Architect","$154,592/yr","Range: $118K - $185K"
