"jobTitle","meanPay","Range"
"Account Executive","$78,622/yr","Range: $46K - $164K"
"Member of Technical Staff","$127,699/yr","Range: $90K - $166K"
"Senior Member of Technical Staff","$147,115/yr","Range: $120K - $189K"
"Software Engineer","$127,066/yr","Range: $69K - $181K"
"Senior Account Executive","$118,779/yr","Range: $51K - $171K"
"Associate Member of Technical Staff","$115,363/yr","Range: $69K - $131K"
"Senior Software Engineer","$142,653/yr","Range: $81K - $179K"
"Lead Member of Technical Staff","$173,392/yr","Range: $122K - $203K"
"QA Engineer","$121,817/yr","Range: $93K - $135K"
"Software Engineer() - Hourly Intern","$46/hr","Range: $22 - $54"
"Director","$189,021/yr","Range: $123K - $244K"
"Business Development Representative","$54,303/yr","Range: $44K - $77K"
"Member of Technical Staff, QE","$124,347/yr","Range: $114K - $139K"
"Software Engineer - Hourly Intern","$45/hr","Range: $32 - $52"
"Senior Manager","$166,379/yr","Range: $108K - $194K"
"Product Manager","$130,104/yr","Range: $90K - $194K"
"Enterprise Account Executive","$122,741/yr","Range: $75K - $162K"
"Senior Member Technical Staff Quality Engineering","$137,097/yr","Range: $130K - $160K"
"Senior Director","$222,212/yr","Range: $183K - $261K"
"Senior Product Manager","$167,307/yr","Range: $125K - $186K"
"Principal Member of Technical Staff","$199,080/yr","Range: $158K - $223K"
"Member of Technical Staff (Software Engineer)","$122,849/yr","Range: $117K - $140K"
"Strategic Account Executive","$134,597/yr","Range: $59K - $166K"
"SMTS Software Engineer","$145,789/yr","Range: $116K - $179K"
"Intern - Hourly","$27/hr","Range: $12 - $47"
"Intern - Hourly","$25/hr","Range: $13 - $50"
"Strategic Account Manager","$141,149/yr","Range: $108K - $162K"
"Sales Representative","$55,125/yr","Range: $33K - $162K"
"Lead Software Engineer","$176,777/yr","Range: $158K - $200K"
"Program Manager","$128,387/yr","Range: $91K - $152K"
"Executive Assistant","$94,800/yr","Range: $73K - $109K"
"Software Development Engineer","$116,595/yr","Range: $106K - $141K"
"Solutions Engineer","$105,030/yr","Range: $90K - $152K"
"Commercial Account Executive","$106,378/yr","Range: $76K - $134K"
"Sales Development Representative","$52,521/yr","Range: $44K - $63K"
"Senior Sales Engineer","$121,748/yr","Range: $98K - $133K"
"Senior Solutions Engineer","$122,961/yr","Range: $102K - $160K"
"Manager","$121,409/yr","Range: $86K - $170K"
"Software Engineer (Senior Member of Technical Staff)","$141,738/yr","Range: $134K - $159K"
"Senior Program Manager","$151,118/yr","Range: $103K - $218K"
"Product Marketing Manager","$136,133/yr","Range: $98K - $169K"
"Member of Technical Staff - Quality Engineer","$122,435/yr","Range: $117K - $131K"
"Senior Financial Analyst","$110,045/yr","Range: $82K - $128K"
"Customer Success Manager","$131,783/yr","Range: $74K - $191K"
"Solution Architect","$140,154/yr","Range: $108K - $174K"
