"jobTitle","meanPay","Range"
"Assistant Store Manager","$50,076/yr","Range: $39K - $72K"
"Assistant Manager","$50,204/yr","Range: $41K - $67K"
"Walmart Cashier - Hourly","$11/hr","Range: $8 - $15"
"Sales Associate - Hourly","$10/hr","Range: $8 - $15"
"Cashier - Hourly","$11/hr","Range: $8 - $15"
"Department Manager - Hourly","$15/hr","Range: $11 - $23"
"Guest Service Team Member - Cashier - Hourly","$10/hr","Range: $8 - $15"
"Pharmacy Manager","$152,370/yr","Range: $123K - $187K"
"Overnight Stocker - Hourly","$11/hr","Range: $8 - $18"
"Sales Associate - Hourly","$11/hr","Range: $7 - $16"
"Wal Mart Cashier - Hourly","$10/hr","Range: $8 - $14"
"Pharmacist","$140,113/yr","Range: $99K - $174K"
"Walmart Cashier - Hourly","$11/hr","Range: $8 - $16"
"Assistant Manager Trainee","$63,492/yr","Range: $27K - $81K"
"Certified Pharmacy Technician - Hourly","$15/hr","Range: $10 - $25"
"Programmer Analyst","$74,201/yr","Range: $44K - $98K"
"Department Manager- Walmart - Hourly","$14/hr","Range: $9 - $22"
"Overnight Stocker - Hourly","$11/hr","Range: $8 - $17"
"Customer Service Manager - Hourly","$14/hr","Range: $9 - $25"
"Asset Protection Associate - Hourly","$16/hr","Range: $9 - $21"
"ASM- Assistant Store Manager","$50,528/yr","Range: $40K - $72K"
"Cashier - Hourly","$11/hr","Range: $7 - $15"
"Walmart Assistant Manager","$50,026/yr","Range: $39K - $72K"
"Electronics Sales Associate - Hourly","$11/hr","Range: $8 - $14"
"Customer Service Manager (CSM) - Hourly","$14/hr","Range: $9 - $30"
"Support Manager - Hourly","$16/hr","Range: $10 - $22"
"Co-Manager","$66,255/yr","Range: $37K - $90K"
"Store Manager","$100,076/yr","Range: $33K - $143K"
"Front End Cashier - Hourly","$11/hr","Range: $8 - $18"
"Walmart Sales Associate - Hourly","$10/hr","Range: $8 - $18"
"WalMart Overnight Stocker - Hourly","$11/hr","Range: $8 - $19"
"Asset Protection Manager","$49,071/yr","Range: $34K - $79K"
"Asset Protection In Training","$34,454/yr","Range: $31K - $44K"
"Pharmacy Technician - Hourly","$13/hr","Range: $8 - $22"
"Certified Pharmacy Technician - Hourly","$14/hr","Range: $9 - $21"
"Shift Manager","$70,077/yr","Range: $37K - $86K"
"Pharmacy Technician - Hourly","$14/hr","Range: $9 - $24"
"Sales Associate/Cashier - Hourly","$10/hr","Range: $8 - $14"
"Cashier Associate - Hourly","$10/hr","Range: $8 - $15"
"Senior Programmer Analyst","$84,044/yr","Range: $70K - $99K"
