"jobTitle","company","meanPay"
"Finance","RGP","$87,206/yr"
"Finance - Hourly Intern","GE","$15/hr"
"Finance - Hourly Intern","Boeing","$22/hr"
"Finance - Hourly Intern","O'Reilly Auto Parts","$11/hr"
"Finance - Hourly Intern","Apple","$27/hr"
"Finance - Hourly Intern","Johnson & Johnson","$23/hr"
"Finance - Monthly Intern","Cummins","$2,992/mo"
"Finance - Hourly Intern","Cardinal Health","$20/hr"
"Finance","Boeing","$76,690/yr"
"Finance - Hourly Intern","FCA Fiat Chrysler Automobiles","$18/hr"
"Finance - Hourly Intern","NBCUniversal","$16/hr"
"Finance - Hourly Intern","Lockheed Martin","$19/hr"
"Finance","Bank of America","$70,252/yr"
"Finance - Hourly Intern","Dell Technologies","$24/hr"
"Finance - Hourly Intern","Abbott Laboratories","$18/hr"
"Finance - Hourly Intern","Comcast","$22/hr"
"Finance - Hourly Intern","Prudential","$26/hr"
"Finance - Hourly Intern","Johnson Controls","$19/hr"
"Finance","Dell Technologies","$90,641/yr"
"Finance - Hourly Intern","BAE Systems USA","$18/hr"
"Finance - Hourly Intern","Chubb","$18/hr"
"Finance - Hourly Intern","Ford Motor Company","$20/hr"
"Finance - Hourly Intern","Cameron","$20/hr"
"Finance - Hourly Intern","Intel Corporation","$25/hr"
"Finance - Hourly Intern","The Coca-Cola Company","$18/hr"
"Finance - Hourly Intern","Zurich North America","$18/hr"
"Finance","Procter & Gamble","$106,119/yr"
"Finance - Hourly Intern","Verizon","$19/hr"
"Finance - Hourly Intern","Commvault","$17/hr"
"Finance","EY","$81,806/yr"
"Finance - Monthly Intern","Phillips 66","$4,274/mo"
"Finance - Hourly Intern","Stryker","$19/hr"
"Finance - Hourly Intern","Liberty Mutual Insurance","$19/hr"
"Finance - Hourly Intern","L'Oréal","$22/hr"
"Finance","Marriott International","$77,497/yr"
"Finance - Hourly Intern","Avnet","$15/hr"
"Finance","PepsiCo","$100,203/yr"
"Finance","Granite Telecommunications","$43,146/yr"
"Finance - Hourly Intern","UTC Aerospace Systems","$21/hr"
"Finance - Hourly Intern","Grainger","$23/hr"
"Finance - Hourly Intern","Zimmer Biomet","$19/hr"
"Finance - Hourly Intern","DuPont","$23/hr"
"Finance - Hourly Intern","Conagra Brands","$19/hr"
