"jobTitle","company","meanPay"
"Intern - Hourly","Morgan Stanley","$11/hr"
"Intern - Hourly","PwC","$29/hr"
"Intern - Hourly","Enterprise","$12/hr"
"Intern - Hourly","Scottrade","$12/hr"
"Intern - Hourly","NBCUniversal","$11/hr"
"Intern - Hourly","Quicken Loans","$12/hr"
"Intern - Hourly","IBM","$25/hr"
"Intern - Hourly","Genentech","$23/hr"
"Intern - Hourly","Deloitte","$28/hr"
"Intern - Hourly","Boeing","$25/hr"
"Intern - Hourly","GE","$22/hr"
"Intern - Hourly","EY","$29/hr"
"Intern - Hourly","UBS","$11/hr"
"Intern - Hourly","Broadcom","$33/hr"
"Intern - Hourly","Edelman","$13/hr"
"Intern - Hourly","Lockheed Martin","$22/hr"
"Intern - Hourly","State Street","$17/hr"
"Intern - Hourly","Tesla","$28/hr"
"Intern - Hourly","Siemens","$22/hr"
"Intern - Hourly","Fidelity Investments","$21/hr"
"Intern - Hourly","Target","$19/hr"
"Intern - Hourly","Apple","$39/hr"
"Intern - Hourly","Southwest Airlines","$13/hr"
"Intern - Hourly","Viacom","$11/hr"
"Intern - Hourly","Walt Disney Company","$17/hr"
"Intern - Hourly","Merrill Lynch","$14/hr"
"Intern - Monthly","EY","$4,903/mo"
"Intern - Hourly","Northrop Grumman","$23/hr"
"Intern - Hourly","Booz Allen Hamilton","$23/hr"
"Intern - Hourly","FleishmanHillard","$13/hr"
"Intern - Hourly","Wells Fargo","$18/hr"
"Intern - Hourly","Sherwin-Williams","$13/hr"
"Intern - Hourly","State Farm","$17/hr"
"Intern - Hourly","J.P. Morgan","$26/hr"
"Intern - Hourly","Liberty Mutual Insurance","$20/hr"
"Intern - Hourly","CBRE","$12/hr"
"Intern - Monthly","Facebook","$7,155/mo"
"Intern - Hourly","Cisco Systems","$26/hr"
"Intern - Hourly","KPMG","$26/hr"
"Intern - Hourly","Qualcomm","$36/hr"
"Intern - Hourly","GE Aviation","$23/hr"
"Intern - Monthly","Microsoft","$7,545/mo"
"Intern - Hourly","Verizon","$22/hr"
"Intern","Intel Corporation","$70,571/yr"
"Intern - Hourly","Intel Corporation","$29/hr"
"Intern - Monthly","Amazon","$6,592/mo"
"Intern - Hourly","Kaiser Permanente","$21/hr"
"Intern - Hourly","Weber Shandwick","$13/hr"
"Intern - Hourly","Johnson & Johnson","$23/hr"
"Intern - Hourly","SAP","$25/hr"
"Intern - Hourly","Thomson Reuters","$22/hr"
"Intern - Hourly","Bloomberg L.P.","$25/hr"
"Intern - Hourly","PNC Financial Services Group","$22/hr"
"Intern - Hourly","PepsiCo","$24/hr"
"Intern - Hourly","Nordstrom","$12/hr"
"Intern - Hourly","BNY Mellon","$19/hr"
"Intern - Hourly","Pfizer","$19/hr"
