"Name","Company","State","City","Salary","Location","Url"
"IT Support Engineer","Audible","NJ","Newark","$49k-$82k","Newark, NJ","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=807876&s=149&guid=0000016e3fa4398aa50ceb3336c3e315&src=GD_JOB_AD&t=SRFJ&extid=4&exst=E&ist=L&ast=EL&vt=w&slr=true&cs=1_f6efaf53&cb=1573025759180&jobListingId=3308045568"
"IT Helpdesk Analyst","Loop Recruiting","IN","Indianapolis","","Indianapolis, IN","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=811866&s=149&guid=0000016e3fa4398aa50ceb3336c3e315&src=GD_JOB_AD&t=SRFJ&extid=4&exst=E&ist=L&ast=EL&vt=w&slr=true&ea=1&cs=1_3782eb94&cb=1573025759181&jobListingId=3408021776"
"IT Consultant","Burton McCumber & Longoria","TX","Brownsville","","Brownsville, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=805122&s=58&guid=0000016e3fa4398a9736f159ca904306&src=GD_JOB_AD&t=SR&extid=1&exst=E&ist=L&ast=EL&vt=w&slr=true&ea=1&cs=1_8469a43d&cb=1573025759182&jobListingId=3399070318"
"IT Support Technician","School Tech Team","IL","Oakbrook Terrace","","Oakbrook Terrace, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=812617&s=58&guid=0000016e3fa4398a9736f159ca904306&src=GD_JOB_AD&t=SR&extid=1&exst=E&ist=L&ast=EL&vt=w&slr=true&ea=1&cs=1_9ff57d2b&cb=1573025759183&jobListingId=3408490166"
"Systems Administrator","Kansas City Managed IT","MO","Kansas City","$30k-$40k","Kansas City, MO","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=753759&s=58&guid=0000016e3fa4398a9736f159ca904306&src=GD_JOB_AD&t=SR&extid=1&exst=E&ist=L&ast=EL&vt=w&slr=true&ea=1&cs=1_89fc262b&cb=1573025759184&jobListingId=3328657549"
"IT Help Desk Specialist","Lone Mountain Truck Leasing","IA","Carter Lake","","Carter Lake, IA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=801031&s=58&guid=0000016e3fa4398a9736f159ca904306&src=GD_JOB_AD&t=SR&extid=1&exst=E&ist=L&ast=EL&vt=w&slr=true&ea=1&cs=1_df34cab9&cb=1573025759185&jobListingId=3401147296"
"IT Engineer","LANgineers","CA","Burlingame","$35-$45","Burlingame, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=699599&s=58&guid=0000016e3fa4398a9736f159ca904306&src=GD_JOB_AD&t=SR&extid=1&exst=E&ist=L&ast=EL&vt=w&slr=true&ea=1&cs=1_1e5e35d4&cb=1573025759186&jobListingId=3392565167"
"IT Support Specialist","Vungle","CA","San Francisco","$61k-$102k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=767725&s=58&guid=0000016e3fa4398a9736f159ca904306&src=GD_JOB_AD&t=SR&extid=1&exst=E&ist=L&ast=EL&vt=w&slr=true&ea=1&cs=1_2b6c17fc&cb=1573025759188&jobListingId=3239366783"
"IT Field Technician","Riu Hotels & Resorts","CA","San Francisco","","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=790609&s=58&guid=0000016e3fa4398a9736f159ca904306&src=GD_JOB_AD&t=SR&extid=1&exst=E&ist=L&ast=EL&vt=w&slr=true&ea=1&cs=1_8dd1fd2f&cb=1573025759189&jobListingId=3378746094"
"IT Tech/Copier Tech","Hoosier Business Machines","IN","Jasper","","Jasper, IN","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=811816&s=58&guid=0000016e3fa4398a9736f159ca904306&src=GD_JOB_AD&t=SR&extid=1&exst=E&ist=L&ast=EL&vt=w&slr=true&ea=1&cs=1_b3cde34e&cb=1573025759190&jobListingId=3407952686"
