"Company","Rating","Title","Location","Salary"
"Modern Hire","4.6","Senior Software Engineer (Machine Learning/AI)","Delafield, WI",
"Analytical Technologies Group","5.0","Field Service Engineer","Groton, CT","$50k-$85k"
"Northwestern Surveying and Engineering","5.0","Survey Crew Member","Bemidji, MN",
"Renewable Water Resources","4.0","Asset Management Manager","Greenville, SC",
"Stainless Process Systems",,"Plating Production Manager","Oxnard, CA",
"Mango Bottling, Inc.",,"Industrial Mechanic","Cocoa, FL","$20-$30"
"A2M Consulting","3.1","WHISI Architecture Maintenance (MX) Technician","Davis Monthan AFB, AZ",
"NebraskaLink",,"Sales Engineer","Lincoln, NE","$70k-$90k"
"Mirafra Technologies","3.5","Verification Engineer","Dallas, TX",
"Mega International","3.9","Solution Engineer – Deployment Specialist","Raynham, MA","$50k-$75k"
"MKN & Associates","4.8","Principal Engineer","Fresno, CA",
"Arpac Group","4.4","Applications Engineer","Schiller Park, IL","$60k-$80k"
"Bane Staffing","3.0","MECHANICAL ASSEMBLER","Springboro, OH","$20-$30"
"Eng., Inc.",,"Project Engineer","Lansing, MI",
"Buckeye Broadband","2.9","Manager, Outside Plant Design","Northwood, OH","$44k-$74k"
"PR Hoffman","3.0","Machine / Electrical Design Engineer","Carlisle, PA",
"Cain-Forlaw Company","5.0","Sales Engineer","Cedar Rapids, IA",
"Triangle Site Design",,"Civil Engineer (FE or PE)","Raleigh, NC",
"Kalmar","3.0","Development Engineer, Mechanics","North Charleston, SC",
"Alliance Group Inc",,"Service Sales Engineer","Concord, NH",
"Met-Con","2.8","Industrial Maintenance Technician","Cocoa, FL",
"Nu-Star Inc",,"Sales Engineer","Shakopee, MN",
"Southeastern Surveying and Mapping","3.5","Utility Locator","Orlando, FL",
"TenPoint Crossbows Technologies","5.0","Senior Design Engineer","Mogadore, OH",
"Ashe Converting Equipment",,"Field Service Engineer","Brattleboro, VT",
"Orion Labs","4.0","Android Engineer","San Francisco, CA",
"Lynq Technologies",,"Senior Firmware Engineer","Brooklyn, NY","$90k-$110k"
"Creator Deck Media","4.9","Senior Engineer Position /Tech Lead","San Francisco, CA",
"Texas Health Huguley Hospital","3.9","Director of Engineering","Burleson, TX","$108k-$150k"
"Apparatus Studio","2.4","Senior Industrial Design Engineer","New York, NY",
"Pyka","5.0","Senior Prototype Fabricator & Assembler","Oakland, CA",
"TNP Inc.","5.0","Project Engineer","Fort Worth, TX",
"Owens Corning","3.6","Product Development Engineer","Granville, OH","$70k-$94k"
"WekaIO","5.0","Sales Engineer - DC","Remote",
"Lendeavor","5.0","Engineering Manager","San Francisco, CA",
"Buckeye Broadband","2.9","System Engineer","West Chester, PA","$37k-$75k"
"Kjeldsen, Sinnock & Neudeck","5.0","Senior Engineering Technician","Stockton, CA",
"ACMOS Inc.",,"Technical Service Engineer","Southfield, MI","$50k-$80k"
"Advent Cleaners",,"Maintenance Engineering Technician","Las Vegas, NV","$11-$18"
"Inspired Technology and Communications",,"Experienced Sales Design Engineer","North Easton, MA","$50k-$70k"
"Proper Technologies, Inc.",,"Senior Frontend Engineer @ Proper","Remote",
"B & I Contractors","2.9","Service Sales Engineer","Tamarac, FL",
"Mid-Sized NW NJ Architectural Firm",,"Director of MEPFP Engineering","Rockaway, NJ",
"Peloros","5.0","Landscape Drafter","Palo Alto, CA",
"Loureiro Engineering Associates","3.9","Construction Project Engineer","North Providence, RI","$58k-$79k"
"MPR Systems LLC",,"Android Engineer 3+ years experience only","Los Angeles, CA","$50-$65"
"Blue Northern Builders, Inc.",,"Commercial Construction Estimator","Rocklin, CA",
"RatPac Dimmers","4.0","Senior Electrical Engineer","Van Nuys, CA",
"Lincoln Industries","3.7","Continuous Improvement Engineer","Lincoln, NE","$70k-$105k"
"Professional Engineering Consultants Corporation",,"Transportation Design Engineer","Baton Rouge, LA",
"Genie (MA)",,"Senior Electrical Engineer","Waltham, MA",
"Rasmussen Mechanical Services","5.0","Sales Engineer","Sioux City, IA",
"Bane Staffing","3.0","CNC Operator - VERTICAL MILL OPERATOR (MAZAK)","Springboro, OH","$20-$30"
"Roberts Engineering Group, LLC",,"Civil Design Engineer","Hamilton Sq, NJ",
"Lucas-Milhaupt","3.5","Engineering Technician","Cudahy, WI","$40k-$60k"
"Federal Government Experts",,"Network Engineer","San Antonio, TX","$68k-$89k"
"Schweitzer Engineering Laboratories","3.9","Sr. Site Quality Engineer","Lewiston, ID","$47k-$76k"
"O&S Associates","3.9","Architectural Project Manager","New York, NY","$85k-$105k"
"Leslie E. Robertson and Associates","4.0","Structural Design Engineer","New York, NY","$60k-$80k"
