"Company","Rating","Title","Location","Salary"
"SourceOne Events","4.1","Marketing Manager","Lombard, IL","$40k-$50k"
"Central Insurance Companies","4.5","Marketing Manager - Virginia","Fredericksburg, VA","$68k-$102k"
"Wholesale",,"Showroom Assistant","Grand Rapids, MI",
"Mystic Therapy, LLC",,"Mental Health Clinicians (LMFT, LCSW, LPC, LADC) SIGN ON BONUS","Mystic, CT","$42k-$65k"
"Corporate Caterers","4.2","Catering Personnel","San Leandro, CA","$15-$17"
"Generation Tux","4.7","Paid Search Specialist","Encinitas, CA",
"Reach Orthotic & Prosthetic Services",,"Community Relations Coordinator","Newport News, VA",
"Supply Chain Security, Inc. (""SCS"")",,"Director, Customer and Marketing Services","Remote",
"Life Safety Technologies",,"Fire Alarm Sales/Estimating","Fort Collins, CO","$45k-$60k"
"TCA Counseling Group",,"Private Practice Psychotherapist (Salary)","Boston, MA","$55k-$95k"
"Malkan Broadcasting","4.0","Sales and Marketing Consultant","Corpus Christi, TX",
"Cromwell Media",,"Outside Sales Representative","Owensboro, KY",
"The Office of Angela Scott","5.0","Customer Experience Assistant","Santa Barbara, CA",
"Mission Bio","4.5","Field Applications Specialist","South San Francisco, CA",
"Modern Marketing Concepts, Inc (NY)","2.2","Inside Sales Professional","Binghamton, NY",
"Davis Enterprises","5.0","Community Director","Marlton, NJ",
"EIIA","3.4","Assistant Director for Property & Casualty","Chicago, IL","$50k-$60k"
"Apex Energy Solutions","4.2","Server/Bartender","Charlotte, NC","$10-$12"
"Chipotle","3.4","Service Manager","Shawnee, KS","$14-$16"
"TBD",,"Marketing/Sales for Hedge Fund Backed Lender","Teaneck, NJ",
"Drōv Technologies",,"Senior UI Designer","Oklahoma City, OK",
"Apex Energy Solutions","4.2","Server/Waiter","Charlotte, NC","$10-$12"
"US Golden Career Human Resources Technologies, Inc.",,"Marketing Associate","San Jose, CA",
"Players Health",,"Insurance Sales Producer","Minneapolis, MN",
"Eastern Standard","2.9","Designer","Philadelphia, PA",
