"Company","Rating","Title","Location","Salary"
"SourceOne Events","4.1","Marketing Manager","Lombard, IL","$40k-$50k"
"FTL Finance","5.0","Marketing Manager","Saint Charles, MO",
"Vanguard Integrity Professionals","2.9","Software Marketing Manager","Las Vegas, NV",
"Chipotle","3.4","Service Manager","Shawnee, KS","$14-$16"
"New Masters Academy",,"PPC/SEO Marketing Manager","Huntington Beach, CA","$50k-$60k"
"Industrial Appraisal Company, Inc.","5.0","Regional Territory Sales Manager","Pittsburgh, PA","$60k-$70k"
"Roundtable Learning","4.1","Marketing Manager","Chagrin Falls, OH",
"CLC Restaurants",,"Restaurant Assistant Manager","Bozeman, MT","$50k-$53k"
"US Golden Career Human Resources Technologies, Inc.",,"Marketing Associate","San Jose, CA",
"StreetShares","3.9","Direct Marketing Manager","Herndon, VA",
"Signal Financial Federal Credit Union","4.5","Marketing Manager","Kensington, MD","$47k-$72k"
"LifePharm Global Network","2.9","Digital Marketing Manager","Irvine, CA",
"FEC Enterprises LLC",,"Movie Theater Manager","Irvington, VA","$35k-$45k"
"Military Car Sales, Inc.",,"Product Marketing Manager","Woodbury, NY",
"Real Projectives","4.7","Business and Workplace Manager","Laurel, MD",
"Logi Analytics","3.4","Web Marketing Manager","McLean, VA","$63k-$96k"
"E. J. Pelton","4.0","Sales and Marketing Director","Chattanooga, TN","$27k-$42k"
"Financial Partners Credit Union","3.0","Digital Marketing Manager","Downey, CA","$49k-$79k"
"Connect Marketing Inc","4.0","Lead Gen Manager","Remote",
"MakersPlace",,"Growth Marketing Manager","San Francisco, CA","$75k-$110k"
"Proper Nutrition, Inc.",,"Sales and Marketing Manager","West Chester, PA",
"TEAM Industrial Services","2.9","Account Manager / Business Development","Green Cove Springs, FL","$61k-$105k"
"Central Insurance Companies","4.5","Marketing Manager - Virginia","Fredericksburg, VA","$68k-$102k"
"Financial Partners Credit Union","3.0","Marketing Specialist","Downey, CA","$44k-$56k"
"Macnica, Inc.","3.5","Marketing Specialist","Dallas, TX",
"TwinPeaks Online Software","2.3","Marketing Manager","Pasadena, CA",
"Instawork","4.1","Product Marketing Manager","San Francisco, CA",
"Stokely Hospitality Enterprises",,"Director of Marketing","Sevierville, TN",
"Integrated Benefits Administrators","4.1","Regional Marketing Associate","Saint Albans, WV","$14-$17"
"Service Objects","3.8","Marketing Manager","Santa Barbara, CA",
"Ondine Biomedical","3.6","Director, Product Marketing - Infection Control","Chicago, IL",
"Netradyne",,"Marketing Manager","San Diego, CA",
"K-Tek International","3.0","Sales and Marketing Coordinator","Wilsonville, OR",
"The Osborn","4.4","Home Care Sales & Marketing Manager","Rye, NY",
"Brainscope","3.5","Market Development Manager – West Coast","Remote",
"Injury Health Center",,"Marketing Specialist","Daytona Beach, FL",
"Humble Juice Co LLC",,"Marketing Manager","Thousand Oaks, CA","$70k-$80k"
"UniCarriers Americas Corporation","3.8","Marketing Manager","Marengo, IL","$64k-$95k"
"ENT Allergy & Sinus Center, Inc.",,"Practice Manager","Dover, OH",
"Meyer Corporation U.S.","3.6","Performance Marketing Manager","Vallejo, CA","$79k-$116k"
"CMT Solutions Incorporated",,"Director of Marketing","Cabin John, MD",
"NXTurn","5.0","Marketing Manager","Pompano Beach, FL",
"Akademos, Inc.","4.0","B2B Marketing Specialist","Norwalk, CT","$43k-$55k"
"Brainlabs","4.1","Group Account Director","New York, NY",
"Taro Pharmaceuticals","2.5","Manager, Marketing and Business Analytics","Hawthorne, NY","$86k-$118k"
"Fellowes","2.9","Associate Marketing Manager","Schaumburg, IL","$49k-$73k"
"Wilshire Finance Partners",,"Secondary Marketing Manager Commercial Mortgage","Newport Beach, CA","$100k-$120k"
"Affinity Property Management","3.9","Property Manager","Portland, OR","$20-$23"
"Professional Insurance Strategies",,"Field Marketing Representative","Phoenix, AZ",
"Instawork","4.1","Senior Growth Marketing Manager","San Francisco, CA",
"Ad Strategies","5.0","Marketing Coordinator","Scottsdale, AZ","$40k-$60k"
"Hermosaz",,"Digital Marketing Manager","Oakland, CA",
"xScion Solutions","4.4","Content Marketing Manager","McLean, VA",
"INFINITI HR",,"Marketing & Sales Intern","Scottsdale, AZ",
"Ad Strategies","5.0","Recruitment Marketing Account Manager","Scottsdale, AZ","$45k-$60k"
"Netradyne",,"Marketing Specialist","San Diego, CA",
"The Redefined Home",,"Social Media Manager","Champaign, IL",
"National Business Aviation Association","3.3","Senior Director, Marketing","Washington, DC","$100k-$169k"
"CodeHS","4.0","Marketing Manager","Chicago, IL","$38k-$59k"
"Envision Experience","3.6","Email Marketing Manager","Vienna, VA","$63k-$93k"
"Vial Fotheringham","2.5","Marketing Manager","Lake Oswego, OR","$35k-$45k"
"Russell Cellular","2.9","Marketing Manager","Battlefield, MO","$32k-$48k"
"FusionStorm","3.6","Marketing Manager","New York, NY","$38k-$59k"
"Particle Media dba Newsbreak",,"Head of PR & Brand Marketing","Mountain View, CA",
"PLAYSTUDIOS, Inc.","3.4","Partnership Marketing Manager","Las Vegas, NV","$56k-$86k"
"New Press","3.5","Publicity Manager","New York, NY",
"Mack Property Management",,"Marketing Manager","Seattle, WA",
"CAS","2.9","Manager, Business Intelligence","Columbus, OH","$105k-$145k"
"Niagara Conservation","3.3","Channel Marketing Manager","Flower Mound, TX","$56k-$86k"
"2nd Watch, Inc.","4.1","Practice Manager, Data Engineering and Analytics","United States",
"Pushpay","4.0","Customer Marketing Manager","Redmond, WA",
"Albea Group","3.4","Account Manager","Thomaston, CT",
"Knight Enterprises, LLC","2.6","Marketing Manager","Titusville, FL",
"Barnes & Thornburg","3.7","Marketing Manager","South Bend, IN","$39k-$60k"
"Cengage","4.0","Product Marketing Manager","Temecula, CA","$52k-$76k"
"Hire Resolve","3.1","Land Development Project Manager","Pittsburgh, PA",
"Inman News","3.8","Manager, Social Media","United States",
"Harbor Freight Tools","3.2","Manager, Brand Marketing","Calabasas, CA","$65k-$98k"
"AppDirect","3.3","Product Marketing Manager","San Francisco, CA","$118k-$162k"
"Monarch Investment and Management Group","4.1","Property Manager (Apartment Community)","Omaha, NE","$31k-$50k"
"Vertellus","3.2","Marketing Manager, Anhydrides","Parsippany, NJ","$109k-$155k"
"Attivio","4.7","Senior Marketing Manager","United States",
