"Company","Rating","Title","Location","Salary"
"Vector Marketing","4.5","Customer Sales/Service -Immediate Positions - Paid Weekly","Roanoke, VA","$12-$16"
"Family First Life","4.9","Outside Sales","Charlotte, NC",
"Your Floor Pros",,"Assistant Store Manager Sales","Grand Island, NE",
"WMB Windows",,"Customer Service -Inside Sales","Ontario, CA","$14-$17"
"Greenwich Independent Insurance",,"Insurance Agent Apprentice Assistant","Greenwich, CT",
"Simon Agency",,"Inside Sales Account Manager","Hempstead, NY","$50k-$55k"
"Allstate","3.4","Sales Telemarketer","Fairfax, VA","$35k-$40k"
"Westgate Smoky Mountain Resort and Spa",,"Sales Representative","Gatlinburg, TN","$65k-$100k"
"Select Insurance Agency",,"Licensed Insurance Representative","Millersville, MD","$45k-$75k"
"Marlins Insurance",,"Insurance Agent and/or CSR","Fort Lauderdale, FL",
"Everlast Construction Group","5.0","Insurance Restoration Sales and Estimating","Alpharetta, GA",
"Allstate","3.4","Insurance Sales Producer","Sunrise, FL","$40k-$70k"
"Wenzel Insurance Group Inc","2.0","Insurance Sales Producer","Madison, WI",
"K-Guard/Dunrtite Exteriors",,"Home Improvement Sales Rep. Needed Now ! / Leads Generated & Great Pay!","Remote","$75k-$120k"
"Harbin Automotive Group",,"Sales Specialist - Automotive","Scottsboro, AL","$25k-$45k"
"intouch Insurance Services",,"Insurance Customer Service and Sales","Lake Balboa, CA","$45k-$55k"
"Petland Hoffman Estates",,"Retail Sales Associate","Hoffman Estates, IL","$10-$15"
"Mammoth Contracting","5.0","Sales Representative","Boerne, TX","$50k-$70k"
"Cromwell Media",,"Outside Sales Representative","Owensboro, KY",
"George Brazil Plumbing & Electrical","5.0","Residential Service and Sales Plumber","Phoenix, AZ","$34-$64"
"First Coast Supply",,"Inside Sales Appliances/Data Entry Clerk","Jacksonville, FL",
"OC Elite Merchant Services",,"Inside Sales Account Executive","Laguna Beach, CA",
"Life Safety Technologies",,"Fire Alarm Sales/Estimating","Fort Collins, CO","$45k-$60k"
"Veronica's Insurance","2.6","Customer Service/Sales","Los Angeles, CA",
"Flooring America","3.4","Sales Associate","Wichita, KS","$10-$15"
"Agribusiness Risk Underwriters",,"Direct Sales and Service Agent (Hmong/Vietnamese focus)","Remote",
"Nationwide Mutual Insurance Company & Affiliated Companies","3.5","Insurance Sales Producer","Madison, MS","$35k-$50k"
"Precision Rubber Plate (PRP)","3.3","Outside Sales Representative","Indianapolis, IN",
"Players Health",,"Insurance Sales Producer","Minneapolis, MN",
"skips outdoor accents",,"Part Time Sales - Sunday and Monday only","Sutton, MA",
"PPG Paints","3.4","Outside Sales Representative","Odessa, TX","$40k-$60k"
"Smartly.io","4.7","Sales Development Representative","San Francisco, CA",
"LifeOmic","5.0","Sales Executive - JupiterOne Security Software","Remote",
"Sapphire Automation Inc",,"Sales Executive - New Business","San Francisco, CA",
"TBD",,"Marketing/Sales for Hedge Fund Backed Lender","Teaneck, NJ",
"Cain-Forlaw Company","5.0","Sales Engineer","Cedar Rapids, IA",
"Nu-Star Inc",,"Sales Engineer","Shakopee, MN",
"Holiday Inn Cincinnati Airport",,"Sales & Catering Manager","Erlanger, KY",
"Reed City Tool and Die","5.0","Tooling Sales/Program Manager","Reed City, MI",
"Wheelers Family Auto Group",,"Automotive Sales Consultant","Wisconsin Rapids, WI",
"Supreme Auto Group","3.7","Automotive Sales Consultant","Plaquemine, LA",
"LiveAction","2.6","Inside Sales Representative","Stamford, CT",
"Santie Oil Company",,"Outside Sales(Passenger Car and Automotive Lubricant Sales)","Saint Louis, MO","$60k-$85k"
"CodeCombat","4.5","Sales Development Representative","Remote",
"Bonnsu LLC",,"Sales Assistant","Sausalito, CA","$45k-$55k"
"Right Honda","4.0","Sales and Leasing Consultant","Scottsdale, AZ","$50k-$80k"
"joe pper inc",,"Sales Executive","Birmingham, AL",
"Nozzle Nolen Inc",,"Sales Specialist","West Palm Beach, FL",
"Ralph Thayer Automotive",,"New / Used Vehicle Sales Professional","Livonia, MI","$50k-$70k"
"Allied Business Solutions","5.0","Sales Account Representative","Boise, ID",
"Horton’s Carpets",,"Commissioned Sales Associate","Wichita, KS",
"French Le Concept Store",,"Sales Associate","Calabasas, CA",
"Valentine Buick GMC","5.0","Automotive Sales Consultant","Fairborn, OH","$40k-$75k"
"Vincere.io","5.0","Senior Sales Executive","Austin, TX",
"Coldwell Banker Premier Group","3.6","Residential Real Estate Agent","Washington, MO",
"Green Mountain Energy Company","3.5","Sales Agent","Chicago, IL","$12-$20"
"E Wightman & Co",,"Retail Sales Associate","San Francisco, CA",
"Novarad","3.0","Sales Operations Specialist","American Fork, UT","$33k-$37k"
"Building Supply Company",,"Regional Sales Representative","Remote",
"Restoration 1 of Lexington",,"Sales Representative","Longwood, FL",
"MaxHome","4.4","Territory In-Home Sales Consultant","Houston, TX","$90k-$125k"
"Supreme Auto Group","3.7","Automotive Sales Associate","Hammond, LA",
"Direct Sales LLC",,"Outside Sales - Northern California and Northern Nevada","Sacramento, CA",
"Workday","3.9","Corporate Sales Development Representative","San Francisco, CA",
"Homefix Custom Remodeling","4.6","Territory Sales Representative","Charlotte, NC","$85k-$125k"
"Custom-Bilt Metals","2.2","Outside Sales Representative","Chino, CA",
"Your Hiring Coaches",,"FURNITURE SHOWROOM SALES ASSOCIATE","Charlotte, NC",
"Virginia Insurance Services",,"Insurance Customer Service / Sales Representative","Midlothian, VA",
"Paradigm Partners (MA)",,"Sales - Rock Star Wanted for Growing Energy Efficiency Company","Somerville, MA","$55k-$90k"
"HoneyBaked Ham Co. and Café-Streetsboro/Solon",,"Sales Associate Part Time, Seasonal/Permanent","Streetsboro, OH",
"Nomo Solar",,"Account Sales Representative","Chicago, IL",
"Savannah Harley-Davidson","2.9","Sales Associate","Savannah, GA",
"Portable Tool LLC",,"Technology Sales Specialist","Portland, OR",
